original_text,document,paragraph_index,simplified_text
"Le presenti Linee programmatiche definiscono gli indirizzi per la programmazione regionale, stabilendo le linee di azione e organizzative prioritarie per il Sistema sanitario regionale attuazione della riforma territoriale ai sensi del DM 23 maggio 2022, n. 77. Tali linee programmatiche, che devono essere declinate nella programmazione attuativa aziendale non si intendono esaustive delle attività e dei servizi che devono essere garantiti in adempimento della normativa statale e regionale, ma indicano le priorità individuate dalla Regione. Il presente documento indirizza le funzionalità, i modelli organizzativi e di servizio, i mix di professionalità necessari per il concreto avvio delle Case di Comunità (CdC), Ospedali di Comunità (OdC), Centrali Operative Territoriali (COT), Infermiere di Famiglia e Comunità (IFeC), Assistenza Domiciliare Integrata (ADI) e tutte le altre componenti rilevanti per lo sviluppo dei servizi territoriali per promuovere la prevenzione primaria, migliorare l'accessibilità, in modo particolare quelli affetti da patologie croniche e dell'area della fragilità, in coerenza anche con le previsioni del PNRR, dell'evoluzione dell'ecosistema digitale e del modello di governance dell'area della fragilità e della cronicità realizzando un quadro organico ed armonico di evoluzione del Sistema Socio Sanitario Regionale SSSR. ",99bdc9fdd8097f067f77cb220074b1b5,1,"Queste Linee guida definiscono le direttive per la pianificazione regionale del Sistema sanitario, stabilendo le azioni e le strutture prioritari per attuare la riforma territoriale secondo il Decreto Ministeriale 23 maggio 2022, n. 77. Queste Linee guida non elencano tutte le attività e i servizi che devono essere forniti in base alla legge nazionale e regionale, ma indicano le priorità identificate dalla Regione. Questo documento fornisce indicazioni sulle funzioni, i modelli organizzativi e di servizio, il mix di professionalità necessario per avviare concretamente le Case di Comunità (CdC), gli Ospedali di Comunità (OdC), le Centrali Operative Territoriali (COT), gli Infermieri di Famiglia e Comunità (IFeC), l'Assistenza Domiciliare Integrata (ADI) e tutte le altre componenti importanti per lo sviluppo dei servizi sul territorio. L'obiettivo è promuovere la prevenzione primaria, migliorare l'accesso ai servizi, in particolare per le persone con patologie croniche e fragilità, in linea con il Piano Nazionale di Ripresa e Resilienza (PNRR), l'evoluzione dell'ecosistema digitale e il modello di governance per affrontare la fragilità e le patologie croniche, creando un quadro organico e armonico per lo sviluppo del Sistema Socio Sanitario Regionale (SSSR)."
"La situazione demografica, sanitaria, socio-economica e tecnologica della Regione Basilicata e, in una scala maggiore dell'intero Paese, è profondamente cambiata. La pandemia e le crisi socio-economiche hanno ovunque acuito le diseguaglianze e hanno evidenziato che la resilienza dei sistemi organizzati di welfare deve essere irrobustita dal punto di vista del finanziamento, dell'organizzazione a rete, del rispetto delle esigenze dei territori, del ruolo e del protagonismo degli operatori e dei cittadini in un'ottica di comunità, specialmente in un contesto di progressivo invecchiamento della popolazione e di aumentata prevalenza di malattie croniche. Le tecnologie mediche ed informatiche offrono nuove opportunità di cura e assistenza che richiedono competenze, lavoro di equipe, semplificazione organizzativa, anche in ottica di revisione continua dei processi.",99bdc9fdd8097f067f77cb220074b1b5,2,"La situazione della Regione Basilicata e dell'intero Paese è cambiata profondamente. La pandemia e le crisi socio-economiche hanno peggiorato le disuguaglianze e hanno evidenziato la necessità di rafforzare il finanziamento e l'organizzazione dei servizi di welfare. È importante rispettare le esigenze dei territori e coinvolgere attivamente operatori e cittadini. Questo è particolarmente importante considerando l'invecchiamento della popolazione e l'aumento delle malattie croniche. Le nuove tecnologie mediche e informatiche offrono opportunità di cura e assistenza che richiedono competenze specifiche, lavoro di squadra e semplificazione organizzativa. È importante anche revisionare costantemente i processi per migliorare la qualità dei servizi."
"L'analisi di contesto della popolazione residente in Basilicata evidenzia come la popolazione anziana (over 65) rappresenti il 23% della popolazione totale nella Regione, percentuale in linea con la media nazionale ",99bdc9fdd8097f067f77cb220074b1b5,3,"L'analisi della popolazione residente in Basilicata mostra che il 23% della popolazione totale nella regione è costituito da persone anziane (over 65), cifra in linea con la media nazionale."
"La Basilicata ha una superficie di 10.073 kmq con 553.254 abitanti (2019) distribuiti su 131 Comuni, per una densità pari a 54,92 abitanti per kmq. di gran lunga inferiore alla densità media nazionale che è 200 abitanti per kmq. L'età media è 45,7 anni contro i 45, dell'Italia. Il confronto con i dati del Censimento 2011 evidenzia un progressivo invecchiamento della popolazione, con ritmi superiori alla media nazionale. Tutte le classi di età sotto i 50 anni vedono diminuire il proprio peso relativo rispetto al 2011. L'indice di vecchiaia è 200,8; la percentuale della popolazione ultrasessantacinquenne è 23,9%. La rete dei servizi territoriali è governata tramite due Aziende Sanitarie, ASP e ASM. Il territorio dell'Azienda Sanitaria di Potenza (ASP) coincide con quello dell'intera provincia e ha una superficie di 6.546 Kmq suddivisa in 100 comuni nei quali è distribuita una popolazione complessiva di circa 358.000 abitanti (di questi 66.393 concentrati nel comune di Potenza); l'indice di vecchiaia è 207,4, significativamente più alto rispetto al dato regionale e alla provincia di Matera (che si attesta a 189,4). Il territorio della Azienda Sanitaria di Matera (ASM) ha una superficie di 3.527 kmq suddivisa in 31 Comuni con una popolazione complessiva di circa 195.000 abitanti (rif. prospetto 1). ",99bdc9fdd8097f067f77cb220074b1b5,4,"La Basilicata ha una superficie di 10.073 kmq e conta 553.254 abitanti (dati del 2019) distribuiti in 131 Comuni, con una densità di 54,92 abitanti per kmq, molto inferiore alla media nazionale di 200 abitanti per kmq. L'età media è di 45,7 anni, leggermente superiore all'età media nazionale di 45 anni. Rispetto al Censimento del 2011, si nota un invecchiamento della popolazione più rapido rispetto alla media nazionale, con tutte le fasce di età sotto i 50 anni che perdono peso rispetto al 2011. L'indice di vecchiaia è di 200,8 e la percentuale di persone ultra sessantacinquenni è del 23,9%. I servizi sanitari sul territorio sono gestiti da due Aziende Sanitarie, ASP e ASM. L'ASP copre l'intera provincia di Potenza con una superficie di 6.546 kmq e 100 comuni, per un totale di circa 358.000 abitanti (di cui 66.393 nel solo comune di Potenza); l'indice di vecchiaia è di 207,4, più alto rispetto alla media regionale e alla provincia di Matera (189,4). L'ASM ha una superficie di 3.527 kmq suddivisa in 31 Comuni con una popolazione di circa 195.000 abitanti (fonte: prospetto 1)."
Molto interessante è l'aspetto della tendenza demografica degli ultimi 70 anni in particolare in termini di spopolamento di alcune aree territoriali che deve far riflettere sulla modalità di configurazione della Case della Comunità e sulle opportunità offerte dalle nuove tecnologie per tenere in rete cittadini che vivono sparsi sul territorio. ,99bdc9fdd8097f067f77cb220074b1b5,5,"Negli ultimi 70 anni, è molto interessante osservare come alcune aree del nostro territorio abbiano perso popolazione. Questo ci fa riflettere su come dovremmo organizzare le Case della Comunità e sfruttare le nuove tecnologie per mantenere collegati i cittadini che abitano in zone remote."
"Se guardiamo alla tendenza demografica dei comuni e alla piramide d'età del nostro territorio ne desumiamo sicuramente un'esigenza fondamentale sul fronte dei servizi: o la Regione Basilicata investe sui servizi di territorio con innovazione, incremento delle numerosità e varietà di servizi e capacità di governo o uscirà sconfitta dalla evoluzione naturale delle cose. ",99bdc9fdd8097f067f77cb220074b1b5,6,"Analizzando la popolazione dei comuni e la distribuzione per età nel nostro territorio, possiamo notare un bisogno urgente di migliorare i servizi. La Regione Basilicata deve investire nell'innovazione, aumentando la quantità e la qualità dei servizi offerti e rafforzando la capacità di gestione. Solo così potrà affrontare con successo i cambiamenti in corso."
"La tendenza ad un aumento delle condizioni di fragilità psico-fisica della popolazione lucana si conferma anche dall'andamento della percentuale delle persone con Indice di Comorbidità di Charlson (ICC) maggiore o uguale a uno sul totale dei pazienti ricoverati in strutture ospedaliere regionali. Nel periodo 2015-2020 la percentuale di pazienti con ICC >=1 registra, per le province di Potenza e Matera, un aumento rispettivamente di +4,3% e +5,4%. ",99bdc9fdd8097f067f77cb220074b1b5,7,"Negli ultimi anni, la salute della popolazione in Basilicata sta peggiorando, sia dal punto di vista fisico che psicologico. Questo si evince dall'aumento delle persone con Indice di Comorbidità di Charlson (ICC) uguale o superiore a uno tra i pazienti ricoverati negli ospedali della regione. Tra il 2015 e il 2020, la percentuale di pazienti con ICC >=1 è aumentata del 4,3% nella provincia di Potenza e del 5,4% nella provincia di Matera."
La distribuzione per comune dell'ICC mette in luce la presenza di aree geografiche caratterizzate da una quota elevata di popolazione affetta da patologie croniche.,99bdc9fdd8097f067f77cb220074b1b5,8,L'analisi della distribuzione dell'Indice di Condizioni di Salute per Comune evidenzia che ci sono zone geografiche con un alto numero di persone affette da malattie croniche.
"Si rende necessario adeguare il livello dell'Assistenza Distrettuale, come definito dal Capo III, art. 3-20, del DPCM LEA 12 gennaio 2017e dal Decreto 23 maggio 2022, n. 77 art. 1 allegato 1 e allegato 2 prescrittivo. ",99bdc9fdd8097f067f77cb220074b1b5,9,"È necessario migliorare l'assistenza sanitaria nel distretto, come stabilito nei documenti normativi DPCM LEA del 12 gennaio 2017 e Decreto del 23 maggio 2022, n. 77, allegato 1 e allegato 2."
"Il presente Piano Operativo Territoriale è finalizzato a promuovere, attraverso gli strumenti del governo clinico, la qualità dell'assistenza, vale a dire un'assistenza che sia: 
- Efficace, fornendo servizi sanitari basati sull'evidenza a coloro che ne hanno bisogno; 
- Sicura, evitando danni alle persone cui è destinata la cura;
- Centrata sulle persone, fornendo cure che rispondano alle preferenze, ai bisogni e ai valori delle singole persone, così come alle culture delle loro comunità; 
- Tempestiva, riducendo i tempi di attesa e ritardi talvolta dannosi sia per chi riceve che per chi presta assistenza;
- Equa, fornendo la stessa qualità di assistenza indipendentemente da età, sesso, razza, etnia, posizione geografica, religione, stato socioeconomico, affiliazione linguistica o politica; 
- Integrata, fornendo cure coordinate tra livelli ed erogatori e rendendo disponibile l'intera gamma di servizi sanitari durante tutto il corso della vita;
- Efficiente, massimizzando il beneficio delle risorse disponibili ed evitando sprechi",99bdc9fdd8097f067f77cb220074b1b5,10,"Questo Piano Operativo Territoriale ha l'obiettivo di migliorare la qualità dell'assistenza sanitaria attraverso il governo clinico, garantendo un'assistenza che rispetti i seguenti principi:
- Deve essere efficace, offrendo servizi sanitari basati su prove scientifiche a chi ne ha bisogno;
- Deve essere sicura, evitando di arrecare danni alle persone che ricevono cure;
- Deve essere centrata sulle persone, rispondendo alle preferenze, ai bisogni e ai valori individuali, così come alle tradizioni delle comunità;
- Deve essere tempestiva, riducendo i tempi di attesa e i ritardi che possono essere dannosi per pazienti e operatori sanitari;
- Deve essere equa, garantendo la stessa qualità di assistenza a tutti, indipendentemente da età, sesso, razza, etnia, posizione geografica, religione, stato socioeconomico, affiliazione linguistica o politica;
- Deve essere integrata, assicurando una collaborazione tra diversi servizi e professionisti sanitari lungo tutto l'arco della vita;
- Deve essere efficiente, ottimizzando l'uso delle risorse disponibili e evitando sprechi."
