original_text,document,paragraph_index,simplified_text
"Le presenti Linee programmatiche definiscono gli indirizzi per la programmazione regionale, stabilendo le linee di azione e organizzative prioritarie per il Sistema sanitario regionale attuazione della riforma territoriale ai sensi del DM 23 maggio 2022, n. 77. Tali linee programmatiche, che devono essere declinate nella programmazione attuativa aziendale non si intendono esaustive delle attività e dei servizi che devono essere garantiti in adempimento della normativa statale e regionale, ma indicano le priorità individuate dalla Regione. Il presente documento indirizza le funzionalità, i modelli organizzativi e di servizio, i mix di professionalità necessari per il concreto avvio delle Case di Comunità (CdC), Ospedali di Comunità (OdC), Centrali Operative Territoriali (COT), Infermiere di Famiglia e Comunità (IFeC), Assistenza Domiciliare Integrata (ADI) e tutte le altre componenti rilevanti per lo sviluppo dei servizi territoriali per promuovere la prevenzione primaria, migliorare l'accessibilità, in modo particolare quelli affetti da patologie croniche e dell'area della fragilità, in coerenza anche con le previsioni del PNRR, dell'evoluzione dell'ecosistema digitale e del modello di governance dell'area della fragilità e della cronicità realizzando un quadro organico ed armonico di evoluzione del Sistema Socio Sanitario Regionale SSSR. ",99bdc9fdd8097f067f77cb220074b1b5,1,"Questo documento stabilisce le direzioni principali per la programmazione sanitaria regionale, seguendo il Decreto Ministeriale del 23 maggio 2022, n. 77. Le linee guida qui presentate non coprono tutte le attività e i servizi richiesti dalle leggi statali e regionali, ma indicano le priorità scelte dalla Regione. 

Il documento guida l'organizzazione e il funzionamento delle nuove strutture e servizi sanitari, come le Case di Comunità, gli Ospedali di Comunità, le Centrali Operative Territoriali, gli Infermieri di Famiglia e Comunità, e l'Assistenza Domiciliare Integrata. Queste strutture sono essenziali per migliorare la prevenzione delle malattie, aumentare l'accesso ai servizi sanitari, soprattutto per chi soffre di malattie croniche o è in condizioni di fragilità. Il documento si allinea anche con le strategie del PNRR e con lo sviluppo digitale, per creare un sistema sanitario regionale più coordinato e efficace."
"La situazione demografica, sanitaria, socio-economica e tecnologica della Regione Basilicata e, in una scala maggiore dell'intero Paese, è profondamente cambiata. La pandemia e le crisi socio-economiche hanno ovunque acuito le diseguaglianze e hanno evidenziato che la resilienza dei sistemi organizzati di welfare deve essere irrobustita dal punto di vista del finanziamento, dell'organizzazione a rete, del rispetto delle esigenze dei territori, del ruolo e del protagonismo degli operatori e dei cittadini in un'ottica di comunità, specialmente in un contesto di progressivo invecchiamento della popolazione e di aumentata prevalenza di malattie croniche. Le tecnologie mediche ed informatiche offrono nuove opportunità di cura e assistenza che richiedono competenze, lavoro di equipe, semplificazione organizzativa, anche in ottica di revisione continua dei processi.",99bdc9fdd8097f067f77cb220074b1b5,2,"La situazione in Basilicata, come in tutto il Paese, è molto cambiata a livello demografico, sanitario, economico e tecnologico. La pandemia e le crisi economiche hanno aumentato le disuguaglianze e mostrato che dobbiamo rafforzare i sistemi di welfare. È necessario migliorare il finanziamento, organizzare meglio la rete, rispettare le esigenze locali e valorizzare il ruolo di operatori e cittadini, soprattutto considerando l'invecchiamento della popolazione e l'aumento delle malattie croniche. Le nuove tecnologie mediche e informatiche offrono possibilità inedite di cura e assistenza, ma richiedono competenze specifiche, lavoro di squadra e una semplificazione dell'organizzazione, anche attraverso una continua revisione dei processi."
"L'analisi di contesto della popolazione residente in Basilicata evidenzia come la popolazione anziana (over 65) rappresenti il 23% della popolazione totale nella Regione, percentuale in linea con la media nazionale ",99bdc9fdd8097f067f77cb220074b1b5,3,L'analisi della popolazione che vive in Basilicata mostra che il 23% dei residenti ha più di 65 anni. Questa percentuale è uguale alla media nazionale.
"La Basilicata ha una superficie di 10.073 kmq con 553.254 abitanti (2019) distribuiti su 131 Comuni, per una densità pari a 54,92 abitanti per kmq. di gran lunga inferiore alla densità media nazionale che è 200 abitanti per kmq. L'età media è 45,7 anni contro i 45, dell'Italia. Il confronto con i dati del Censimento 2011 evidenzia un progressivo invecchiamento della popolazione, con ritmi superiori alla media nazionale. Tutte le classi di età sotto i 50 anni vedono diminuire il proprio peso relativo rispetto al 2011. L'indice di vecchiaia è 200,8; la percentuale della popolazione ultrasessantacinquenne è 23,9%. La rete dei servizi territoriali è governata tramite due Aziende Sanitarie, ASP e ASM. Il territorio dell'Azienda Sanitaria di Potenza (ASP) coincide con quello dell'intera provincia e ha una superficie di 6.546 Kmq suddivisa in 100 comuni nei quali è distribuita una popolazione complessiva di circa 358.000 abitanti (di questi 66.393 concentrati nel comune di Potenza); l'indice di vecchiaia è 207,4, significativamente più alto rispetto al dato regionale e alla provincia di Matera (che si attesta a 189,4). Il territorio della Azienda Sanitaria di Matera (ASM) ha una superficie di 3.527 kmq suddivisa in 31 Comuni con una popolazione complessiva di circa 195.000 abitanti (rif. prospetto 1). ",99bdc9fdd8097f067f77cb220074b1b5,4,"La Basilicata copre un'area di 10.073 km² e ha 553.254 abitanti (dato del 2019), distribuiti in 131 comuni. La densità di popolazione è di 54,92 abitanti per km², molto più bassa della media nazionale di 200 abitanti per km². L'età media in Basilicata è di 45,7 anni, leggermente superiore ai 45 anni della media italiana. Dal confronto con i dati del Censimento del 2011, emerge un invecchiamento progressivo della popolazione, più rapido rispetto alla media nazionale. Le fasce d'età sotto i 50 anni sono in diminuzione rispetto al 2011. L'indice di vecchiaia è di 200,8 e il 23,9% della popolazione ha più di 65 anni.

La regione è servita da due enti sanitari, l'ASP e l'ASM. L'ASP copre tutta la provincia di Potenza con un'area di 6.546 km² e 100 comuni. Qui vivono circa 358.000 persone, di cui 66.393 a Potenza. L'indice di vecchiaia qui è di 207,4, più alto rispetto al resto della regione e alla provincia di Matera, dove l'indice è 189,4.

L'ASM gestisce l'area sanitaria di Matera, che si estende su 3.527 km² e comprende 31 comuni con una popolazione totale di circa 195.000 abitanti."
Molto interessante è l'aspetto della tendenza demografica degli ultimi 70 anni in particolare in termini di spopolamento di alcune aree territoriali che deve far riflettere sulla modalità di configurazione della Case della Comunità e sulle opportunità offerte dalle nuove tecnologie per tenere in rete cittadini che vivono sparsi sul territorio. ,99bdc9fdd8097f067f77cb220074b1b5,5,"Negli ultimi 70 anni, alcune aree del territorio hanno perso molti abitanti. Questo fenomeno di spopolamento ci fa riflettere su come organizzare le Case della Comunità e su come usare le nuove tecnologie per connettere i cittadini che vivono lontani tra loro."
"Se guardiamo alla tendenza demografica dei comuni e alla piramide d'età del nostro territorio ne desumiamo sicuramente un'esigenza fondamentale sul fronte dei servizi: o la Regione Basilicata investe sui servizi di territorio con innovazione, incremento delle numerosità e varietà di servizi e capacità di governo o uscirà sconfitta dalla evoluzione naturale delle cose. ",99bdc9fdd8097f067f77cb220074b1b5,6,"La tendenza demografica e la piramide d'età del nostro territorio mostrano chiaramente che abbiamo bisogno di migliorare i servizi. La Regione Basilicata deve investire in servizi innovativi, aumentare il numero e la varietà di questi e migliorare la loro gestione. Se non lo fa, non riuscirà a tenere il passo con i cambiamenti naturali."
"La tendenza ad un aumento delle condizioni di fragilità psico-fisica della popolazione lucana si conferma anche dall'andamento della percentuale delle persone con Indice di Comorbidità di Charlson (ICC) maggiore o uguale a uno sul totale dei pazienti ricoverati in strutture ospedaliere regionali. Nel periodo 2015-2020 la percentuale di pazienti con ICC >=1 registra, per le province di Potenza e Matera, un aumento rispettivamente di +4,3% e +5,4%. ",99bdc9fdd8097f067f77cb220074b1b5,7,"La popolazione della regione Lucana sta diventando sempre più fragile dal punto di vista psico-fisico. Questo si vede anche guardando i dati dei pazienti ricoverati negli ospedali della regione che hanno un Indice di Comorbidità di Charlson (ICC) maggiore o uguale a uno. Tra il 2015 e il 2020, la percentuale di questi pazienti è aumentata del 4,3% nella provincia di Potenza e del 5,4% nella provincia di Matera."
La distribuzione per comune dell'ICC mette in luce la presenza di aree geografiche caratterizzate da una quota elevata di popolazione affetta da patologie croniche.,99bdc9fdd8097f067f77cb220074b1b5,8,La distribuzione dell'ICC nei vari comuni mostra che ci sono zone geografiche dove molte persone soffrono di malattie croniche.
"Si rende necessario adeguare il livello dell'Assistenza Distrettuale, come definito dal Capo III, art. 3-20, del DPCM LEA 12 gennaio 2017e dal Decreto 23 maggio 2022, n. 77 art. 1 allegato 1 e allegato 2 prescrittivo. ",99bdc9fdd8097f067f77cb220074b1b5,9,"È necessario migliorare il livello dell'Assistenza Distrettuale secondo quanto stabilito dal Capo III, articoli 3-20, del DPCM LEA del 12 gennaio 2017 e dal Decreto del 23 maggio 2022, numero 77, articolo 1, allegato 1 e allegato 2."
"Il presente Piano Operativo Territoriale è finalizzato a promuovere, attraverso gli strumenti del governo clinico, la qualità dell'assistenza, vale a dire un'assistenza che sia: 
- Efficace, fornendo servizi sanitari basati sull'evidenza a coloro che ne hanno bisogno; 
- Sicura, evitando danni alle persone cui è destinata la cura;
- Centrata sulle persone, fornendo cure che rispondano alle preferenze, ai bisogni e ai valori delle singole persone, così come alle culture delle loro comunità; 
- Tempestiva, riducendo i tempi di attesa e ritardi talvolta dannosi sia per chi riceve che per chi presta assistenza;
- Equa, fornendo la stessa qualità di assistenza indipendentemente da età, sesso, razza, etnia, posizione geografica, religione, stato socioeconomico, affiliazione linguistica o politica; 
- Integrata, fornendo cure coordinate tra livelli ed erogatori e rendendo disponibile l'intera gamma di servizi sanitari durante tutto il corso della vita;
- Efficiente, massimizzando il beneficio delle risorse disponibili ed evitando sprechi",99bdc9fdd8097f067f77cb220074b1b5,10,"Il Piano Operativo Territoriale ha l'obiettivo di migliorare la qualità dell'assistenza sanitaria. Questo piano si basa sui principi del governo clinico e mira a garantire che l'assistenza sia:

- Efficace: i servizi sanitari devono basarsi su prove concrete e essere forniti a chi ne ha bisogno.
- Sicura: bisogna evitare di causare danni alle persone che ricevono le cure.
- Centrata sulle persone: le cure devono rispettare le preferenze, i bisogni e i valori degli individui, tenendo conto anche delle culture delle loro comunità.
- Tempestiva: è importante ridurre i tempi di attesa e i ritardi, che possono essere dannosi sia per i pazienti che per gli operatori sanitari.
- Equa: tutti devono avere accesso alla stessa qualità di assistenza, senza distinzioni di età, sesso, razza, etnia, luogo di residenza, religione, condizione economica, lingua o orientamento politico.
- Integrata: le cure devono essere coordinate tra i vari livelli di assistenza e i diversi erogatori, coprendo tutti i servizi sanitari necessari durante la vita di una persona.
- Efficiente: è essenziale utilizzare al meglio le risorse disponibili e evitare sprechi.

Questo piano si impegna a realizzare un sistema sanitario migliore e più giusto per tutti."
