document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
99bdc9fdd8097f067f77cb220074b1b5,1,"Le presenti Linee programmatiche definiscono gli indirizzi per la programmazione regionale, stabilendo le linee di azione e organizzative prioritarie per il Sistema sanitario regionale attuazione della riforma territoriale ai sensi del DM 23 maggio 2022, n. 77. Tali linee programmatiche, che devono essere declinate nella programmazione attuativa aziendale non si intendono esaustive delle attività e dei servizi che devono essere garantiti in adempimento della normativa statale e regionale, ma indicano le priorità individuate dalla Regione. Il presente documento indirizza le funzionalità, i modelli organizzativi e di servizio, i mix di professionalità necessari per il concreto avvio delle Case di Comunità (CdC), Ospedali di Comunità (OdC), Centrali Operative Territoriali (COT), Infermiere di Famiglia e Comunità (IFeC), Assistenza Domiciliare Integrata (ADI) e tutte le altre componenti rilevanti per lo sviluppo dei servizi territoriali per promuovere la prevenzione primaria, migliorare l'accessibilità, in modo particolare quelli affetti da patologie croniche e dell'area della fragilità, in coerenza anche con le previsioni del PNRR, dell'evoluzione dell'ecosistema digitale e del modello di governance dell'area della fragilità e della cronicità realizzando un quadro organico ed armonico di evoluzione del Sistema Socio Sanitario Regionale SSSR. ","Le Linee programmatiche definiscono le scelte della programmazione regionale, le linee di azione e organizzative principali per il Sistema sanitario regionale per attuare la riforma territoriale (in base al DM 23 maggio 2022, n. 77). Le linee programmatiche devono essere declinate nella programmazione dell'azienda e non esauriscono le attività e i servizi che devono essere garantiti per obbedire alle leggi statali e regionali. Esse però mostrano le priorità individuate dalla Regione. Questo documento indirizza le funzionalità, i modelli organizzativi e di servizio, e gli insiemi di professionalità che sono necessari per avviare le Case di Comunità (CdC), gli Ospedali di Comunità (OdC), le Centrali Operative Territoriali (COT), l'Infermiere di Famiglia e di Comunità (IFeC), l'Assistenza Domiciliare Integrata (ADI) e tutte le altre componenti che fanno sviluppare i servizi territoriali per la prevenzione primaria e per migliorare l'accessibilità. In particolare i servizi quelli rivolti a persone ammalate in modo cronico e persone fragili, seguendo le previsioni del PNRR, l'evoluzione del mondo digitale e del modello di governance usato nell'area della fragilità e della cronicità. Tutto questo realizza un quadro organico ed armonico di evoluzione del Sistema Socio Sanitario Regionale SSSR. ",,,2024-04-02T18:41:14.474685,262.0
99bdc9fdd8097f067f77cb220074b1b5,2,"La situazione demografica, sanitaria, socio-economica e tecnologica della Regione Basilicata e, in una scala maggiore dell'intero Paese, è profondamente cambiata. La pandemia e le crisi socio-economiche hanno ovunque acuito le diseguaglianze e hanno evidenziato che la resilienza dei sistemi organizzati di welfare deve essere irrobustita dal punto di vista del finanziamento, dell'organizzazione a rete, del rispetto delle esigenze dei territori, del ruolo e del protagonismo degli operatori e dei cittadini in un'ottica di comunità, specialmente in un contesto di progressivo invecchiamento della popolazione e di aumentata prevalenza di malattie croniche. Le tecnologie mediche ed informatiche offrono nuove opportunità di cura e assistenza che richiedono competenze, lavoro di equipe, semplificazione organizzativa, anche in ottica di revisione continua dei processi.","La situazione demografica (della popolazione), sanitaria, socio-economica e tecnologica della Regione Basilicata  e dell'intero Paese sono profondamente cambiate. La pandemia e le crisi socio-economiche hanno aumentato le diseguaglianze e hanno evidenziato che la resistenza dei sistemi organizzati per il benessere deve essere finanziata di più, organizzata in rete, deve rispettare i bisogni dei territori, tenendo conto del ruolo degli operatori e dei cittadini  che sono una comunità, specialmente dove la popolazione invecchia e aumentano le malattie croniche. Le tecnologie mediche ed informatiche offrono nuove opportunità di cura e assistenza che richiedono competenze, lavoro di squadra, semplificazione organizzativa, anche in ottica di revisione continua dei processi.",,,2024-04-21T17:33:07.591685,179.0
99bdc9fdd8097f067f77cb220074b1b5,3,"L'analisi di contesto della popolazione residente in Basilicata evidenzia come la popolazione anziana (over 65) rappresenti il 23% della popolazione totale nella Regione, percentuale in linea con la media nazionale ","L'analisi di contesto della popolazione che risiede in Basilicata mostra come la popolazione anziana (oltre i 65 anni) è il 23% della popolazione totale nella Regione, percentuale in linea con la media nazionale. ",,,2024-04-21T17:35:34.230456,1.0
99bdc9fdd8097f067f77cb220074b1b5,4,"La Basilicata ha una superficie di 10.073 kmq con 553.254 abitanti (2019) distribuiti su 131 Comuni, per una densità pari a 54,92 abitanti per kmq. di gran lunga inferiore alla densità media nazionale che è 200 abitanti per kmq. L'età media è 45,7 anni contro i 45, dell'Italia. Il confronto con i dati del Censimento 2011 evidenzia un progressivo invecchiamento della popolazione, con ritmi superiori alla media nazionale. Tutte le classi di età sotto i 50 anni vedono diminuire il proprio peso relativo rispetto al 2011. L'indice di vecchiaia è 200,8; la percentuale della popolazione ultrasessantacinquenne è 23,9%. La rete dei servizi territoriali è governata tramite due Aziende Sanitarie, ASP e ASM. Il territorio dell'Azienda Sanitaria di Potenza (ASP) coincide con quello dell'intera provincia e ha una superficie di 6.546 Kmq suddivisa in 100 comuni nei quali è distribuita una popolazione complessiva di circa 358.000 abitanti (di questi 66.393 concentrati nel comune di Potenza); l'indice di vecchiaia è 207,4, significativamente più alto rispetto al dato regionale e alla provincia di Matera (che si attesta a 189,4). Il territorio della Azienda Sanitaria di Matera (ASM) ha una superficie di 3.527 kmq suddivisa in 31 Comuni con una popolazione complessiva di circa 195.000 abitanti (rif. prospetto 1). ","La Basilicata ha una superficie di 10.073 kmq con 553.254 abitanti (2019) distribuiti su 131 Comuni. La densità è di 54,92 abitanti per kmq., quindi più bassa della densità media nazionale che è di 200 abitanti per kmq. L'età media è di 45,7 anni contro la media di 45 anni dell'Italia. Leggendo i dati del Censimento 2011 si nota che la popolazione invecchia con ritmi superiori alla media nazionale. Tutte le classi di età sotto i 50 anni diminuiscono rispetto al 2011. L'indice di vecchiaia è 200,8; la percentuale della popolazione di oltre 65 anni è 23,9%. La rete dei servizi territoriali è governata per mezzo di due Aziende Sanitarie, ASP e ASM. Il territorio dell'Azienda Sanitaria di Potenza (ASP) coincide con quello dell'intera provincia e ha una superficie di 6.546 Kmq suddivisa in 100 comuni nei quali è distribuita una popolazione complessiva di circa 358.000 abitanti (di questi 66.393 vivono nel comune di Potenza); l'indice di vecchiaia è 207,4, cioè un indice molto più alto rispetto al dato regionale e alla provincia di Matera (che si attesta a 189,4). Il territorio della Azienda Sanitaria di Matera (ASM) ha una superficie di 3.527 kmq suddivisa in 31 Comuni con una popolazione complessiva di circa 195.000 abitanti (vedere prospetto 1). ",,,2024-04-21T17:45:23.994477,159.0
99bdc9fdd8097f067f77cb220074b1b5,5,Molto interessante è l'aspetto della tendenza demografica degli ultimi 70 anni in particolare in termini di spopolamento di alcune aree territoriali che deve far riflettere sulla modalità di configurazione della Case della Comunità e sulle opportunità offerte dalle nuove tecnologie per tenere in rete cittadini che vivono sparsi sul territorio. ,"è molto interessante vedere come cambia la popolazione negli ultimi 70 anni, in particolare osservare che alcune aree territoriali si stanno spopolando: questo ci deve far riflettere su come organizzare la Casa della Comunità e su come offrire nuove tecnologie per tenere in rete i cittadini che vivono sparsi sul territorio. ",,,2024-04-21T17:46:51.362388,86.0
99bdc9fdd8097f067f77cb220074b1b5,6,"Se guardiamo alla tendenza demografica dei comuni e alla piramide d'età del nostro territorio ne desumiamo sicuramente un'esigenza fondamentale sul fronte dei servizi: o la Regione Basilicata investe sui servizi di territorio con innovazione, incremento delle numerosità e varietà di servizi e capacità di governo o uscirà sconfitta dalla evoluzione naturale delle cose. ","Se guardiamo la tendenza di popolamento nei comuni e la piramide d'età del nostro territorio capiamo che c'è un bisogno fondamentale rispetto ai servizi: o la Regione Basilicata investe sui servizi di territorio con innovazione, aumentando quantità e varietà di servizi e la capacità di governo o uscirà sconfitta dalla evoluzione naturale delle cose. ",,,2024-04-21T17:48:07.771625,76.0
99bdc9fdd8097f067f77cb220074b1b5,7,"La tendenza ad un aumento delle condizioni di fragilità psico-fisica della popolazione lucana si conferma anche dall'andamento della percentuale delle persone con Indice di Comorbidità di Charlson (ICC) maggiore o uguale a uno sul totale dei pazienti ricoverati in strutture ospedaliere regionali. Nel periodo 2015-2020 la percentuale di pazienti con ICC >=1 registra, per le province di Potenza e Matera, un aumento rispettivamente di +4,3% e +5,4%. ","L'aumento della fragilità psico-fisica della popolazione lucana si conferma anche se si osserva come vanno le percentuali di persone con Indice di Comorbidità di Charlson (ICC) maggiore o uguale a 1 sul totale dei pazienti ricoverati in strutture ospedaliere regionali. Nel periodo 2015-2020 la percentuale di pazienti con ICC >=1 registra, per le province di Potenza e Matera, un aumento rispettivamente di +4,3% e +5,4%. ",,,2024-04-21T17:52:24.805635,0.0
99bdc9fdd8097f067f77cb220074b1b5,8,La distribuzione per comune dell'ICC mette in luce la presenza di aree geografiche caratterizzate da una quota elevata di popolazione affetta da patologie croniche.,La distribuzione nei singoli comuni dell'ICC mette in luce la presenza di aree geografiche caratterizzate da una quantità elevata di popolazione malata di malattie croniche.,,,2024-04-21T17:53:03.711348,38.0
99bdc9fdd8097f067f77cb220074b1b5,9,"Si rende necessario adeguare il livello dell'Assistenza Distrettuale, come definito dal Capo III, art. 3-20, del DPCM LEA 12 gennaio 2017e dal Decreto 23 maggio 2022, n. 77 art. 1 allegato 1 e allegato 2 prescrittivo. ","La Regione Basilicata deve cambiare il livello dell'Assistenza Distrettuale (vedi Capo III, art. 3-20, del D.P.C.M. LEA del 12 gennaio 2017 e vedi anche il Decreto 23 maggio 2022, n. 77 art. 1 allegato 1 e allegato 2 prescrittivo). ",,,2024-04-21T17:54:01.104236,57.0
99bdc9fdd8097f067f77cb220074b1b5,10,"Il presente Piano Operativo Territoriale è finalizzato a promuovere, attraverso gli strumenti del governo clinico, la qualità dell'assistenza, vale a dire un'assistenza che sia: 
- Efficace, fornendo servizi sanitari basati sull'evidenza a coloro che ne hanno bisogno; 
- Sicura, evitando danni alle persone cui è destinata la cura;
- Centrata sulle persone, fornendo cure che rispondano alle preferenze, ai bisogni e ai valori delle singole persone, così come alle culture delle loro comunità; 
- Tempestiva, riducendo i tempi di attesa e ritardi talvolta dannosi sia per chi riceve che per chi presta assistenza;
- Equa, fornendo la stessa qualità di assistenza indipendentemente da età, sesso, razza, etnia, posizione geografica, religione, stato socioeconomico, affiliazione linguistica o politica; 
- Integrata, fornendo cure coordinate tra livelli ed erogatori e rendendo disponibile l'intera gamma di servizi sanitari durante tutto il corso della vita;
- Efficiente, massimizzando il beneficio delle risorse disponibili ed evitando sprechi","Il Piano Operativo Territoriale che qui presentiamo vuole migliorare la qualità dell'assistenza usando gli strumenti del governo clinico, in altre parole vuole offrire ai cittadini un'assistenza che sia: 
- Efficace, perché offre a chi ne ha bisogno servizi sanitari basati sui dati; 
- Sicura, perché evita di danneggiare le persone a cui è destinata la cura;
- Centrata sulle persone, perché offre cure che rispondono alle preferenze, ai bisogni e ai valori delle singole persone, così come alle culture delle loro comunità; 
- Veloce, perché riduce i tempi di attesa, i ritardi talvolta dannosi sia per chi riceve che per chi presta assistenza;
- Giusta, perché offre la stessa qualità di assistenza senza pensare a età, sesso, razza, etnia, posizione geografica, religione, stato socioeconomico, lingua o ideologia politica; 
- Integrata, perché offre cure coordinate tra livelli e enti che offrono assistenza, e rende disponibile l'intera gamma di servizi sanitari durante tutto il corso della vita;
- Efficiente, perché usa bene le risorse disponibili e evita sprechi",,,2024-04-21T17:57:34.713867,213.0
