original_text,document,paragraph_index,simplified_text
"Le amministrazioni locali devono dare attuazione alle nuove disposizioni dettate dal D. Lgs. n. 175 del 19 agosto 2016, recante ""Testo unico in materia di società a partecipazione pubblica"", per come modificato e integrato dal decreto legislativo 16 giugno 2017, n. 100.",07108e7d68b7e897ed6a800be9802105,1,"Le amministrazioni locali devono mettere in pratica le nuove regole stabilite dal Decreto Legislativo numero 175 del 19 agosto 2016, che riguarda le società a partecipazione pubblica, modificato e integrato con il Decreto Legislativo numero 100 del 16 giugno 2017."
"Il ""Testo unico in materia di società a partecipazione pubblica"" (in avanti, per brevità, T.U.S.P.) impone a tutte le amministrazioni pubbliche di effettuare annualmente, entro il 31 dicembre, una ""analisi dell'assetto complessivo delle società in cui detengono partecipazioni, dirette o indirette, predisponendo, ove ricorrono i presupposti di cui al comma 2, un piano di riassetto per la loro razionalizzazione, fusione o soppressione, anche mediante messa in liquidazione o cessione..."".",07108e7d68b7e897ed6a800be9802105,2,"Il T.U.S.P. obbliga tutte le amministrazioni pubbliche a fare ogni anno, entro il 31 dicembre, un'analisi completa delle società in cui hanno quote, dirette o indirette. Devono anche preparare un piano di riorganizzazione per semplificarle, unirle o chiuderle, anche vendendole o mettendole in liquidazione, se necessario."
"Ai sensi delle previsioni di cui all'art. 4, comma 1, del predetto T.U.S.P., le Pubbliche Amministrazioni, ivi compresi le Provincie, non possono, direttamente o indirettamente, mantenere partecipazioni, anche di minoranza, in società aventi per oggetto attività di produzione di beni e servizi non strettamente necessarie per il perseguimento delle proprie finalità istituzionali. La razionalizzazione periodica deve pertanto evidenziare quelle partecipazioni delle quali non si ravvisa la necessità del mantenimento per il perseguimento delle finalità dell'Ente e che, pertanto devono essere dismesse.",07108e7d68b7e897ed6a800be9802105,3,"Secondo l'articolo 4, comma 1, del Testo Unico sulle Società Partecipate, le Pubbliche Amministrazioni, inclusi anche le Province, non possono possedere direttamente o indirettamente quote di partecipazione, anche minoritarie, in società che svolgono attività di produzione di beni e servizi non strettamente necessari per raggiungere i propri obiettivi istituzionali. Durante la revisione periodica, si deve individuare le partecipazioni che non sono essenziali per il raggiungimento degli obiettivi dell'Ente e che quindi devono essere cedute."
"Al fine della corretta gestione delle partecipazioni societarie, è necessario che la Provincia definisca un efficace sistema di controllo e di vigilanza delle società partecipate, funzionale alla preventiva acquisizione di dati ed informazioni utili alla motivazione della scelta di mantenere o dismettere la partecipazione. Nello specifico, questo Ente deve sottoporre le società partecipate ad un penetrante controllo in ordine alla realizzazione degli obiettivi preventivamente individuati, ai reciproci rapporti finanziari, alla situazione contabile, gestionale e organizzativa delle società nonché ai possibili squilibri economico-finanziari rilevanti per il bilancio della Provincia.",07108e7d68b7e897ed6a800be9802105,4,"Per gestire correttamente le partecipazioni in società, la Provincia deve creare un sistema di controllo efficace per monitorare le società partecipate. Questo sistema serve a raccogliere informazioni utili per decidere se mantenere o cedere le partecipazioni. In particolare, la Provincia deve controllare attentamente se le società stanno raggiungendo gli obiettivi prefissati, valutare i rapporti finanziari, la situazione contabile, gestionale e organizzativa delle società e verificare eventuali problemi finanziari che potrebbero influenzare il bilancio della Provincia."
"La scelta di mantenere lo strumento societario, inoltre, necessita di una puntuale ed argomentata motivazione, soprattutto nel caso di società in perdita strutturale, le cui partecipazioni si ritenga, ciò nonostante, di mantenere. La valutazione dell'Ente, dunque non può prescindere da un'attenta analisi dei risultati economici e della gestione finanziaria delle società partecipate. A tal proposito, il d. lgs. 175/2016, con l'obiettivo di responsabilizzare maggiormente gli Enti, prevede che in caso di perdite reiterate nella partecipata gli Enti sono tenuti ad accantonare risorse e a decurtare i compensi degli amministratori (art. 21), dando atto che il conseguimento di un risultato economico negativo per due anni consecutivi rappresenta giusta causa per la revoca degli amministratori, nonché per l'avvio del processo di razionalizzazione delle società con un trend negativo per quatto anni nell'ultimo quinquennio (artt. 20 e 24). La formulazione complessiva del decreto, evidenzia che la ratio legis si sostanzia nell'intento del legislatore di dare impulso al riordino e alla razionalizzazione delle partecipazioni societarie pubbliche anche mediante la previsione di pesanti sanzioni. Da quanto sopra, emerge che questo Ente è obbligato, indipendentemente dalla consistenza più o meno ampia della propria partecipazione azionaria, ad un effettivo monitoraggio sull'andamento delle società. La Provincia di Catanzaro detiene partecipazioni nelle società di seguito elencate:",07108e7d68b7e897ed6a800be9802105,5,"Per mantenere una società, è necessario avere una buona ragione, specialmente se la società è in perdita strutturale ma si decide comunque di mantenerla. Per valutare questa scelta, è importante analizzare attentamente i risultati economici e la gestione finanziaria delle società partecipate. Secondo il decreto legislativo 175/2016, gli Enti sono tenuti a mettere da parte risorse e a ridurre i compensi degli amministratori se una partecipata continua a perdere denaro. Se una società registra perdite per due anni consecutivi, gli amministratori possono essere revocati e si può avviare un processo di riorganizzazione se la società ha avuto un trend negativo per almeno quattro anni negli ultimi cinque. Questo decreto mira a ristrutturare e razionalizzare le partecipazioni societarie pubbliche, prevedendo anche sanzioni severe. Quindi, l'Ente è tenuto a monitorare attentamente le società, indipendentemente dalla quantità di azioni possedute. La Provincia di Catanzaro ha partecipazioni nelle seguenti società:"
"È una società per azioni a maggioranza pubblica che ha sede nel Comune di Lamezia Terme, Zona Industriale area ex SIR. La società è stata costituita in data 17 marzo 1997. È iscritta nel Registro delle Imprese di Catanzaro dal 14 agosto 1997 (Codice fiscale 0212133095, n. R.E.A. CZ-154049). La società ha per oggetto la promozione di attività dirette al rilancio ed allo sviluppo produttivo e occupazionale dell'area ex SIR di Lamezia Terme nel quadro dell'utilizzo di risorse rivenienti dai fondi nazionali di cui alla legge n. 263/93, alle leggi regionali n. 488/92 e n. 341/95 e di altre normative regionali, nazionali e comunitarie nonché il rilancio economico e sociale di Lamezia Terme e del suo comprensorio. Il capitale sociale è pari ad € 3.500.000,00, interamente versato, suddiviso in 700.000 azioni del valore nominale di € 5,00. L'Amministrazione Provinciale di Catanzaro possiede una partecipazione di n. 97.312 azioni, per un valore nominale di € 486.560,00 pari al 13,90%.",07108e7d68b7e897ed6a800be9802105,6,"La società è di proprietà pubblica e ha sede nella Zona Industriale ex SIR del Comune di Lamezia Terme. È stata costituita il 17 marzo 1997 e registrata presso il Registro delle Imprese di Catanzaro il 14 agosto 1997 (Codice fiscale 0212133095, n. R.E.A. CZ-154049). La sua attività principale è promuovere lo sviluppo dell'area ex SIR di Lamezia Terme utilizzando fondi nazionali (legge n. 263/93), regionali (leggi n. 488/92 e n. 341/95) e altre normative comunitarie. Inoltre, si impegna nel rilancio economico e sociale di Lamezia Terme e del suo territorio. Il capitale sociale è di € 3.500.000,00, interamente versato, diviso in 700.000 azioni da € 5,00 ciascuna. L'Amministrazione Provinciale di Catanzaro possiede il 13,90% delle azioni, pari a 97.312 azioni del valore di € 486.560,00."
"La compagine societaria è costituita da 26 soci tutti Soggetti Promotori del Patto Territoriale Lametino ed i cui azionisti di riferimento sono – oltre alla PROVINCIA di Catanzaro, il COMUNE di Lamezia Terme con una partecipazione del 28,52%, la Regione Calabria attraverso ""FINCALABRA S.P.A."", con una partecipazione del 20%, ""INVITALIA SPA"" attraverso ""Investire Partecipazioni"", con una partecipazione del 20%, la C.C.I.A.A. di Catanzaro, con una partecipazione del 14,14% - detentori del 97% delle azioni.",07108e7d68b7e897ed6a800be9802105,7,"La società è composta da 26 soci, tutti Soggetti Promotori del Patto Territoriale Lametino. Gli azionisti principali sono la PROVINCIA di Catanzaro, il COMUNE di Lamezia Terme (con una quota del 28,52%), la Regione Calabria tramite ""FINCALABRA S.P.A."" (con una quota del 20%), ""INVITALIA SPA"" tramite ""Investire Partecipazioni"" (con una quota del 20%) e la C.C.I.A.A. di Catanzaro (con una quota del 14,14%). Questi azionisti detengono il 97% delle azioni."
Il consiglio di amministrazione è composto da cinque amministratori di cui uno nominato dal Comune di Lamezia Terme.,07108e7d68b7e897ed6a800be9802105,8,"Il consiglio di amministrazione è formato da cinque amministratori, di cui uno è nominato dal Comune di Lamezia Terme."
"Con la L. R. 2 agosto 2013, n. 42, pubblicata sul B.U.R. n. 15 dell'1 agosto 2013, supplemento straordinario n. 3 del 8 agosto 2013 – recante ad oggetto ""Riconoscimento delle Agenzie di sviluppo Locale"" – la ""LAMEZIAEUROPA S.P.A."" ha ottenuto il riconoscimento di ""Agenzia di Sviluppo Locale"". Ai sensi dell'articolo 3, comma 2, della suddetta legge regionale, le ""Agenzie di Sviluppo Locale"" hanno lo scopo di ""promuovere lo sviluppo sociale, economico ed occupazionale, di qualificare le competenze e le risorse umane e di accrescere la competitività e l'attrattività dei territori di riferimento valorizzando i sistemi produttivi locali, in piena sinergia con gli strumenti della programmazione regionale e della pianificazione territoriale"". Va evidenziato che la partecipazione in ""Lamezia Europa S.p.A."" ricade nelle ipotesi di cui all'articolo 20, comma 2, lett. b) (società con un numero di amministratori superiore a quello dei dipendenti) e lett. d) (società che, nel triennio precedente, ha conseguito un fatturato medio non superiore a un milione di euro).",07108e7d68b7e897ed6a800be9802105,9,"La legge regionale n. 42 del 2 agosto 2013, pubblicata sul Bollettino Ufficiale della Regione (BUR) n. 15 dell'1 agosto 2013, supplemento straordinario n. 3 dell'8 agosto 2013, ha riconosciuto alla società ""LAMEZIAEUROPA S.P.A."" lo status di ""Agenzia di Sviluppo Locale"". Secondo l'articolo 3, comma 2, di questa legge, le ""Agenzie di Sviluppo Locale"" hanno il compito di promuovere lo sviluppo sociale, economico e occupazionale, migliorare le competenze e le risorse umane, e aumentare la competitività e l'attrattività dei territori di competenza valorizzando le attività produttive locali, in stretta collaborazione con gli strumenti di pianificazione regionale e territoriale. È importante sottolineare che la partecipazione alla società ""Lamezia Europa S.p.A."" rientra nei casi previsti dall'articolo 20, comma 2, lettera b) (società con un numero di amministratori maggiore rispetto ai dipendenti) e lettera d) (società che, nei tre anni precedenti, ha avuto un fatturato medio non superiore a un milione di euro)."
"Pertanto, risulta in contrasto con le previsioni di cui all'art. 24, comma1, TUSP, che prescrive, per tale partecipazione l'adozione di una misura di razionalizzazione di cui all'art. 20, commi 1 e 2.",07108e7d68b7e897ed6a800be9802105,10,"Quindi, non rispetta quanto stabilito dall'articolo 24, comma 1, del Testo Unico sulla Spesa Pubblica, che richiede l'attuazione di una misura di razionalizzazione indicata nell'articolo 20, commi 1 e 2."
