original_text,document,paragraph_index,simplified_text
"Le amministrazioni locali devono dare attuazione alle nuove disposizioni dettate dal D. Lgs. n. 175 del 19 agosto 2016, recante ""Testo unico in materia di società a partecipazione pubblica"", per come modificato e integrato dal decreto legislativo 16 giugno 2017, n. 100.",07108e7d68b7e897ed6a800be9802105,1,"Le amministrazioni locali devono applicare le nuove regole stabilite dal Decreto Legislativo numero 175 del 19 agosto 2016, che riguarda le società a partecipazione pubblica. Queste regole sono state poi modificate e completate dal Decreto Legislativo del 16 giugno 2017, numero 100."
"Il ""Testo unico in materia di società a partecipazione pubblica"" (in avanti, per brevità, T.U.S.P.) impone a tutte le amministrazioni pubbliche di effettuare annualmente, entro il 31 dicembre, una ""analisi dell'assetto complessivo delle società in cui detengono partecipazioni, dirette o indirette, predisponendo, ove ricorrono i presupposti di cui al comma 2, un piano di riassetto per la loro razionalizzazione, fusione o soppressione, anche mediante messa in liquidazione o cessione..."".",07108e7d68b7e897ed6a800be9802105,2,"Il ""Testo unico in materia di società a partecipazione pubblica"" (T.U.S.P.) richiede che ogni anno, entro il 31 dicembre, tutte le amministrazioni pubbliche analizzino la struttura delle società in cui hanno partecipazioni, sia dirette che indirette. Se necessario, devono preparare un piano per rendere più efficienti queste società, attraverso la razionalizzazione, la fusione o la chiusura, che può includere anche la liquidazione o la vendita."
"Ai sensi delle previsioni di cui all'art. 4, comma 1, del predetto T.U.S.P., le Pubbliche Amministrazioni, ivi compresi le Provincie, non possono, direttamente o indirettamente, mantenere partecipazioni, anche di minoranza, in società aventi per oggetto attività di produzione di beni e servizi non strettamente necessarie per il perseguimento delle proprie finalità istituzionali. La razionalizzazione periodica deve pertanto evidenziare quelle partecipazioni delle quali non si ravvisa la necessità del mantenimento per il perseguimento delle finalità dell'Ente e che, pertanto devono essere dismesse.",07108e7d68b7e897ed6a800be9802105,3,"Secondo l'articolo 4, comma 1, del T.U.S.P., le Pubbliche Amministrazioni, incluse le Provincie, non possono avere partecipazioni, nemmeno minoritarie, in società che producono beni e servizi non essenziali per i loro scopi istituzionali. Quindi, devono regolarmente verificare e eliminare quelle partecipazioni non necessarie per raggiungere i loro obiettivi."
"Al fine della corretta gestione delle partecipazioni societarie, è necessario che la Provincia definisca un efficace sistema di controllo e di vigilanza delle società partecipate, funzionale alla preventiva acquisizione di dati ed informazioni utili alla motivazione della scelta di mantenere o dismettere la partecipazione. Nello specifico, questo Ente deve sottoporre le società partecipate ad un penetrante controllo in ordine alla realizzazione degli obiettivi preventivamente individuati, ai reciproci rapporti finanziari, alla situazione contabile, gestionale e organizzativa delle società nonché ai possibili squilibri economico-finanziari rilevanti per il bilancio della Provincia.",07108e7d68b7e897ed6a800be9802105,4,"Per gestire correttamente le sue partecipazioni in altre società, la Provincia deve creare un sistema efficace di controllo e vigilanza. Questo sistema aiuterà a raccogliere dati e informazioni importanti per decidere se mantenere o vendere queste partecipazioni. In particolare, la Provincia deve controllare attentamente se queste società raggiungono gli obiettivi stabiliti, analizzare i loro rapporti finanziari, la situazione dei conti, la gestione e l'organizzazione, e anche eventuali problemi economici e finanziari che potrebbero influenzare il bilancio della Provincia."
"La scelta di mantenere lo strumento societario, inoltre, necessita di una puntuale ed argomentata motivazione, soprattutto nel caso di società in perdita strutturale, le cui partecipazioni si ritenga, ciò nonostante, di mantenere. La valutazione dell'Ente, dunque non può prescindere da un'attenta analisi dei risultati economici e della gestione finanziaria delle società partecipate. A tal proposito, il d. lgs. 175/2016, con l'obiettivo di responsabilizzare maggiormente gli Enti, prevede che in caso di perdite reiterate nella partecipata gli Enti sono tenuti ad accantonare risorse e a decurtare i compensi degli amministratori (art. 21), dando atto che il conseguimento di un risultato economico negativo per due anni consecutivi rappresenta giusta causa per la revoca degli amministratori, nonché per l'avvio del processo di razionalizzazione delle società con un trend negativo per quatto anni nell'ultimo quinquennio (artt. 20 e 24). La formulazione complessiva del decreto, evidenzia che la ratio legis si sostanzia nell'intento del legislatore di dare impulso al riordino e alla razionalizzazione delle partecipazioni societarie pubbliche anche mediante la previsione di pesanti sanzioni. Da quanto sopra, emerge che questo Ente è obbligato, indipendentemente dalla consistenza più o meno ampia della propria partecipazione azionaria, ad un effettivo monitoraggio sull'andamento delle società. La Provincia di Catanzaro detiene partecipazioni nelle società di seguito elencate:",07108e7d68b7e897ed6a800be9802105,5,"Quando si decide di mantenere una partecipazione in una società, soprattutto se questa è in perdita continua, è necessario fornire una motivazione chiara e dettagliata. È fondamentale che l'Ente analizzi attentamente i risultati economici e la gestione finanziaria delle società in cui ha partecipazioni.

Il decreto legislativo 175/2016 mira a responsabilizzare gli Enti in questo ambito. Se una società partecipata registra perdite per due anni di fila, gli Enti devono mettere da parte delle risorse e ridurre i compensi degli amministratori, come indicato all'articolo 21. Se le perdite continuano per due anni consecutivi, ciò può portare alla rimozione degli amministratori. Inoltre, se una società mostra risultati negativi per quattro anni in un periodo di cinque anni, deve iniziare un processo di riorganizzazione, come specificato agli articoli 20 e 24.

Il decreto sottolinea l'importanza di riorganizzare e razionalizzare le partecipazioni societarie pubbliche, anche attraverso l'applicazione di sanzioni severe.

Di conseguenza, questo Ente deve monitorare costantemente le performance delle società in cui detiene partecipazioni, indipendentemente dall'entità della partecipazione stessa.

La Provincia di Catanzaro ha partecipazioni nelle seguenti società:"
"È una società per azioni a maggioranza pubblica che ha sede nel Comune di Lamezia Terme, Zona Industriale area ex SIR. La società è stata costituita in data 17 marzo 1997. È iscritta nel Registro delle Imprese di Catanzaro dal 14 agosto 1997 (Codice fiscale 0212133095, n. R.E.A. CZ-154049). La società ha per oggetto la promozione di attività dirette al rilancio ed allo sviluppo produttivo e occupazionale dell'area ex SIR di Lamezia Terme nel quadro dell'utilizzo di risorse rivenienti dai fondi nazionali di cui alla legge n. 263/93, alle leggi regionali n. 488/92 e n. 341/95 e di altre normative regionali, nazionali e comunitarie nonché il rilancio economico e sociale di Lamezia Terme e del suo comprensorio. Il capitale sociale è pari ad € 3.500.000,00, interamente versato, suddiviso in 700.000 azioni del valore nominale di € 5,00. L'Amministrazione Provinciale di Catanzaro possiede una partecipazione di n. 97.312 azioni, per un valore nominale di € 486.560,00 pari al 13,90%.",07108e7d68b7e897ed6a800be9802105,6,"La società è una società per azioni con la maggioranza delle quote pubbliche e si trova a Lamezia Terme, nell'area industriale dell'ex SIR. È stata fondata il 17 marzo 1997 e registrata presso il Registro delle Imprese di Catanzaro il 14 agosto 1997, con codice fiscale 0212133095 e numero R.E.A. CZ-154049. L'obiettivo della società è promuovere lo sviluppo produttivo e occupazionale dell'area ex SIR di Lamezia Terme, utilizzando fondi nazionali e regionali previsti da varie leggi, e contribuire al rilancio economico e sociale di Lamezia Terme e dei suoi dintorni. Il capitale sociale è di 3.500.000 euro, completamente versato e diviso in 700.000 azioni da 5 euro ciascuna. L'Amministrazione Provinciale di Catanzaro detiene 97.312 azioni, che corrispondono al 13,90% del totale, per un valore di 486.560 euro."
"La compagine societaria è costituita da 26 soci tutti Soggetti Promotori del Patto Territoriale Lametino ed i cui azionisti di riferimento sono – oltre alla PROVINCIA di Catanzaro, il COMUNE di Lamezia Terme con una partecipazione del 28,52%, la Regione Calabria attraverso ""FINCALABRA S.P.A."", con una partecipazione del 20%, ""INVITALIA SPA"" attraverso ""Investire Partecipazioni"", con una partecipazione del 20%, la C.C.I.A.A. di Catanzaro, con una partecipazione del 14,14% - detentori del 97% delle azioni.",07108e7d68b7e897ed6a800be9802105,7,"La società è formata da 26 soci, tutti partecipanti al Patto Territoriale Lametino. I principali azionisti sono la Provincia di Catanzaro e il Comune di Lamezia Terme, che possiede il 28,52% delle azioni. La Regione Calabria, tramite FINCALABRA S.P.A., detiene il 20% delle azioni. INVITALIA SPA, attraverso Investire Partecipazioni, possiede anch'essa il 20%. La Camera di Commercio di Catanzaro ha il 14,14% delle azioni. Insieme, questi azionisti controllano il 97% delle azioni della società."
Il consiglio di amministrazione è composto da cinque amministratori di cui uno nominato dal Comune di Lamezia Terme.,07108e7d68b7e897ed6a800be9802105,8,Il consiglio di amministrazione ha cinque membri. Uno di questi è nominato dal Comune di Lamezia Terme.
"Con la L. R. 2 agosto 2013, n. 42, pubblicata sul B.U.R. n. 15 dell'1 agosto 2013, supplemento straordinario n. 3 del 8 agosto 2013 – recante ad oggetto ""Riconoscimento delle Agenzie di sviluppo Locale"" – la ""LAMEZIAEUROPA S.P.A."" ha ottenuto il riconoscimento di ""Agenzia di Sviluppo Locale"". Ai sensi dell'articolo 3, comma 2, della suddetta legge regionale, le ""Agenzie di Sviluppo Locale"" hanno lo scopo di ""promuovere lo sviluppo sociale, economico ed occupazionale, di qualificare le competenze e le risorse umane e di accrescere la competitività e l'attrattività dei territori di riferimento valorizzando i sistemi produttivi locali, in piena sinergia con gli strumenti della programmazione regionale e della pianificazione territoriale"". Va evidenziato che la partecipazione in ""Lamezia Europa S.p.A."" ricade nelle ipotesi di cui all'articolo 20, comma 2, lett. b) (società con un numero di amministratori superiore a quello dei dipendenti) e lett. d) (società che, nel triennio precedente, ha conseguito un fatturato medio non superiore a un milione di euro).",07108e7d68b7e897ed6a800be9802105,9,"La legge regionale del 2 agosto 2013, numero 42, pubblicata il 1 agosto 2013 e nel supplemento straordinario dell'8 agosto 2013, ha riconosciuto ""LAMEZIAEUROPA S.P.A."" come ""Agenzia di Sviluppo Locale"". Questa legge, all'articolo 3, comma 2, stabilisce che le Agenzie di Sviluppo Locale devono promuovere lo sviluppo sociale, economico e occupazionale. Devono anche migliorare le competenze e le risorse umane e aumentare la competitività e l'attrattività dei territori, valorizzando le produzioni locali e lavorando in coordinamento con la programmazione regionale e la pianificazione del territorio.

È importante notare che la partecipazione in ""Lamezia Europa S.p.A."" rientra nelle condizioni descritte nell'articolo 20, comma 2, lettera b) e lettera d). Questo significa che la società ha più amministratori che dipendenti e che nei tre anni precedenti ha avuto un fatturato medio non superiore a un milione di euro."
"Pertanto, risulta in contrasto con le previsioni di cui all'art. 24, comma1, TUSP, che prescrive, per tale partecipazione l'adozione di una misura di razionalizzazione di cui all'art. 20, commi 1 e 2.",07108e7d68b7e897ed6a800be9802105,10,"Quindi, non è in linea con quanto stabilito dall'articolo 24, comma 1, del TUSP. Questo articolo richiede che per partecipare sia necessario adottare una misura di razionalizzazione prevista dall'articolo 20, commi 1 e 2."
