document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
07108e7d68b7e897ed6a800be9802105,1,"Le amministrazioni locali devono dare attuazione alle nuove disposizioni dettate dal D. Lgs. n. 175 del 19 agosto 2016, recante ""Testo unico in materia di società a partecipazione pubblica"", per come modificato e integrato dal decreto legislativo 16 giugno 2017, n. 100.","Le amministrazioni locali devono realizzare delle indicazioni come dice la legge italiana (in particolare il D. Lgs. n. 175 del 19 agosto 2016, che parla di ""Testo unico in materia di società a partecipazione pubblica"", a cui va aggiunto il decreto legislativo 16 giugno 2017, n. 100).",,Un verbo semplice in luogo di una perifrasi | parole concrete e comuni | indicare il riferimento legge tra parentesi per farlo meglio evidenziare,2024-03-26T15:50:58.926205,118.0
07108e7d68b7e897ed6a800be9802105,2,"Il ""Testo unico in materia di società a partecipazione pubblica"" (in avanti, per brevità, T.U.S.P.) impone a tutte le amministrazioni pubbliche di effettuare annualmente, entro il 31 dicembre, una ""analisi dell'assetto complessivo delle società in cui detengono partecipazioni, dirette o indirette, predisponendo, ove ricorrono i presupposti di cui al comma 2, un piano di riassetto per la loro razionalizzazione, fusione o soppressione, anche mediante messa in liquidazione o cessione..."".","Nella legge chiamata ""Testo unico in materia di società a partecipazione pubblica"" (che ora chiamiamo con le lettere T.U.S.P.) è scritto che tutte le amministrazioni pubbliche ogni anno entro il 31 dicembre devono osservare la situazione delle società a cui partecipano e nel caso siano poco utili devono prendere decisioni che possono portare anche a cancellarle, unirle ad altre, o fare dei cambiamenti (ecco come è scritto nel testo della legge: ""analisi dell'assetto complessivo delle società in cui detengono partecipazioni, dirette o indirette, predisponendo, ove ricorrono i presupposti di cui al comma 2, un piano di riassetto per la loro razionalizzazione, fusione o soppressione, anche mediante messa in liquidazione o cessione..."").",,"Portare la citazione di legge tra parentesi e provare a sintetizzare il contenuto prima della parentesi in modo semplice e discorsivo | Usare espressioni comuni come legge chiamata X, riferirsi alla sigla come gruppo di lettere",2024-03-26T15:54:35.809688,216.0
07108e7d68b7e897ed6a800be9802105,3,"Ai sensi delle previsioni di cui all'art. 4, comma 1, del predetto T.U.S.P., le Pubbliche Amministrazioni, ivi compresi le Provincie, non possono, direttamente o indirettamente, mantenere partecipazioni, anche di minoranza, in società aventi per oggetto attività di produzione di beni e servizi non strettamente necessarie per il perseguimento delle proprie finalità istituzionali. La razionalizzazione periodica deve pertanto evidenziare quelle partecipazioni delle quali non si ravvisa la necessità del mantenimento per il perseguimento delle finalità dell'Ente e che, pertanto devono essere dismesse.","In base alla legge che abbiamo chiamato TUSP (in particolare all'art. 4, comma 1) le Pubbliche Amministrazioni - tra cui anche le Provincie - non possono partecipare né direttamente né indirettamente, anche se con poche quote (posizione di minoranza), a società che producono beni e servizi non strettamente necessari per gli obiettivi tipici delle istituzioni. Ogni anno quindi le Pubbliche Amministrazioni devono guardare quali partecipazioni a società non sono in armonia con gli obiettivi dell'istituzione, e le devono abbandonare.",,Riordino di parti | messa in parentesi dei riferimenti legislativi | eliminazione perifrasi verbali a vantaggio di forme verbali semplici e dell'indicativo | Eliminare espressioni di tipo giuridico (ai sensi di ...),2024-03-26T16:00:06.429860,330.0
07108e7d68b7e897ed6a800be9802105,4,"Al fine della corretta gestione delle partecipazioni societarie, è necessario che la Provincia definisca un efficace sistema di controllo e di vigilanza delle società partecipate, funzionale alla preventiva acquisizione di dati ed informazioni utili alla motivazione della scelta di mantenere o dismettere la partecipazione. Nello specifico, questo Ente deve sottoporre le società partecipate ad un penetrante controllo in ordine alla realizzazione degli obiettivi preventivamente individuati, ai reciproci rapporti finanziari, alla situazione contabile, gestionale e organizzativa delle società nonché ai possibili squilibri economico-finanziari rilevanti per il bilancio della Provincia.","Per questa valutazione della partecipazione della Provincia di Catanzaro ad altre società, la Provincia vuole definire un buon sistema per controllare e vigilare sulle società a cui partecipa, in modo da raccogliere dati e informazioni che saranno utili per decidere se mantenere o abbandonare la partecipazione a quella società. La Provincia deve controllare in modo molto forte le società a cui partecipa per capire se realizzano: gli obiettivi che erano stati decisi all'inizio; i rapporti economici reciproci; la situazione dei conti e dell'organizzazione delle società; e infine se le società hanno squilibri economico-finanziari che possono portare danni al bilancio della Provincia.",,Parole comuni | nomi d'azione sostituiti da verbi | Perifrasi verbali e concetti astratti sostituiti da verbi semplici e concreti,2024-03-26T16:17:50.618340,330.0
07108e7d68b7e897ed6a800be9802105,5,"La scelta di mantenere lo strumento societario, inoltre, necessita di una puntuale ed argomentata motivazione, soprattutto nel caso di società in perdita strutturale, le cui partecipazioni si ritenga, ciò nonostante, di mantenere. La valutazione dell'Ente, dunque non può prescindere da un'attenta analisi dei risultati economici e della gestione finanziaria delle società partecipate. A tal proposito, il d. lgs. 175/2016, con l'obiettivo di responsabilizzare maggiormente gli Enti, prevede che in caso di perdite reiterate nella partecipata gli Enti sono tenuti ad accantonare risorse e a decurtare i compensi degli amministratori (art. 21), dando atto che il conseguimento di un risultato economico negativo per due anni consecutivi rappresenta giusta causa per la revoca degli amministratori, nonché per l'avvio del processo di razionalizzazione delle società con un trend negativo per quatto anni nell'ultimo quinquennio (artt. 20 e 24). La formulazione complessiva del decreto, evidenzia che la ratio legis si sostanzia nell'intento del legislatore di dare impulso al riordino e alla razionalizzazione delle partecipazioni societarie pubbliche anche mediante la previsione di pesanti sanzioni. Da quanto sopra, emerge che questo Ente è obbligato, indipendentemente dalla consistenza più o meno ampia della propria partecipazione azionaria, ad un effettivo monitoraggio sull'andamento delle società. La Provincia di Catanzaro detiene partecipazioni nelle società di seguito elencate:","Se la Provincia sceglie di partecipare a una società deve offrire una ragione molto forte per partecipare con azioni a società, soprattutto se le società sono in perdita strutturale. La valutazione della Provincia deve derivare da un'attenta analisi dei risultati economici e della gestione finanziaria delle società a cui partecipa. C'è una legge (D. Lgs. 175/2016) che vuole far essere più attente e responsabili le Province che partecipano a società, e quindi stabilisce che se le società perdono continuamente soldi, le Province devono mettere da parte i soldi per risolvere questo problema, togliendoli agli stipendi degli amministratori (art. 21). In particolare se per due anni di seguito una società ha un risultato economico negativo la Provincia ha diritto di allontanare gli amministratori. Se per quatto anni negli ultimi cinque anni una società ha perdite, cioè ha un a storia negativa (artt. 20 e 24), la Provincia può procedere a eliminarla. Il decreto legge 175/2016 ha alla base l'idea che occorre riordinare le partecipazioni a società da parte delle pubbliche amministrazioni e che per questo si possono anche applicare multe. La Provincia di catanzaro dunque è obbligata a controllare l'andamento delle società. La Provincia di Catanzaro ha partecipazioni alle società qui sotto elencate:",,Ente riscritto come Provincia per non confondere | verbo negativo non può prescindere sostituito da forma attiva deve derivare | Spezzare frase lunga | mettere tra parentesi il riferimento alla legge | inserire le maiuscole per identificare le stesse sigle D.Lgs. | Usare il riferimento chiaro al numero della Legge già introdotta | Sciogliere le catene anaforiche,2024-03-26T16:28:26.473762,584.0
07108e7d68b7e897ed6a800be9802105,6,"È una società per azioni a maggioranza pubblica che ha sede nel Comune di Lamezia Terme, Zona Industriale area ex SIR. La società è stata costituita in data 17 marzo 1997. È iscritta nel Registro delle Imprese di Catanzaro dal 14 agosto 1997 (Codice fiscale 0212133095, n. R.E.A. CZ-154049). La società ha per oggetto la promozione di attività dirette al rilancio ed allo sviluppo produttivo e occupazionale dell'area ex SIR di Lamezia Terme nel quadro dell'utilizzo di risorse rivenienti dai fondi nazionali di cui alla legge n. 263/93, alle leggi regionali n. 488/92 e n. 341/95 e di altre normative regionali, nazionali e comunitarie nonché il rilancio economico e sociale di Lamezia Terme e del suo comprensorio. Il capitale sociale è pari ad € 3.500.000,00, interamente versato, suddiviso in 700.000 azioni del valore nominale di € 5,00. L'Amministrazione Provinciale di Catanzaro possiede una partecipazione di n. 97.312 azioni, per un valore nominale di € 486.560,00 pari al 13,90%.","È una società per azioni in cui l'amministrazione pubblica ha la maggior parte delle azioni. Si trova a Lamezia Terme nella Zona Industriale area ex SIR. La società è stata creata il 17 marzo 1997. È iscritta al Registro delle Imprese di Catanzaro dal 14 agosto 1997 (Codice fiscale 0212133095, n. R.E.A. CZ-154049). La società promuove attività per rilanciare e sviluppare la produzione e il lavoro nell'area ex SIR di Lamezia Terme. La società usa risorse che arrivano dai fondi nazionali (in base alla Legge n. 263/93, alle Leggi regionali n. 488/92 e n. 341/95 e in base a altre normative regionali, nazionali e comunitarie) e per sviluppare economicamente e socialmente Lamezia Terme e il suo territorio. Il capitale sociale della Società è di € 3.500.000,00, interamente versato, suddiviso in 700.000 azioni del valore nominale di € 5,00. La Provincia di Catanzaro possiede una partecipazione di n. 97.312 azioni, per un valore nominale di € 486.560,00 pari al 13,90%.",,Sciogliere i concetti | Usare parole comuni | Uniformare le citazioni di legge mettendole sempre tra parentesi tonde | Sostituire verbi a nomi d'azione,2024-03-26T16:32:52.574543,203.0
07108e7d68b7e897ed6a800be9802105,7,"La compagine societaria è costituita da 26 soci tutti Soggetti Promotori del Patto Territoriale Lametino ed i cui azionisti di riferimento sono – oltre alla PROVINCIA di Catanzaro, il COMUNE di Lamezia Terme con una partecipazione del 28,52%, la Regione Calabria attraverso ""FINCALABRA S.P.A."", con una partecipazione del 20%, ""INVITALIA SPA"" attraverso ""Investire Partecipazioni"", con una partecipazione del 20%, la C.C.I.A.A. di Catanzaro, con una partecipazione del 14,14% - detentori del 97% delle azioni.","La società è formata da 26 soci tutti Soggetti Promotori del Patto Territoriale Lametino. I proprietari  delle azioni sono – oltre alla PROVINCIA di Catanzaro - il COMUNE di Lamezia Terme che ha il 28,52% delle azioni, la Regione Calabria attraverso la società ""FINCALABRA S.P.A."" che ha il 20% delle azioni, la società ""INVITALIA SPA"" attraverso la società ""Investire Partecipazioni"" che ha il 20% delle azioni, la C.C.I.A.A. di Catanzaro che ha il 14,14% delle azioni: tutte questi proprietari insieme hanno il 97% delle azioni.",,Parole semplici e ripetute per designare gli stessi oggetti di discorso | verbo avere che sostituisce partecipazione,2024-03-26T16:35:47.710340,174.0
07108e7d68b7e897ed6a800be9802105,8,Il consiglio di amministrazione è composto da cinque amministratori di cui uno nominato dal Comune di Lamezia Terme.,Il consiglio di amministrazione è composto da cinque amministratori: uno di loro è scelto e eletto dal Comune di Lamezia Terme.,,Interruzione con due punti e uso della giustapposizione in luogo di una relativa di difficile comprensione,2024-03-26T16:36:34.482904,46.0
07108e7d68b7e897ed6a800be9802105,9,"Con la L. R. 2 agosto 2013, n. 42, pubblicata sul B.U.R. n. 15 dell'1 agosto 2013, supplemento straordinario n. 3 del 8 agosto 2013 – recante ad oggetto ""Riconoscimento delle Agenzie di sviluppo Locale"" – la ""LAMEZIAEUROPA S.P.A."" ha ottenuto il riconoscimento di ""Agenzia di Sviluppo Locale"". Ai sensi dell'articolo 3, comma 2, della suddetta legge regionale, le ""Agenzie di Sviluppo Locale"" hanno lo scopo di ""promuovere lo sviluppo sociale, economico ed occupazionale, di qualificare le competenze e le risorse umane e di accrescere la competitività e l'attrattività dei territori di riferimento valorizzando i sistemi produttivi locali, in piena sinergia con gli strumenti della programmazione regionale e della pianificazione territoriale"". Va evidenziato che la partecipazione in ""Lamezia Europa S.p.A."" ricade nelle ipotesi di cui all'articolo 20, comma 2, lett. b) (società con un numero di amministratori superiore a quello dei dipendenti) e lett. d) (società che, nel triennio precedente, ha conseguito un fatturato medio non superiore a un milione di euro).","La società ""LAMEZIAEUROPA S.P.A."" ha ottenuto il riconoscimento di ""Agenzia di Sviluppo Locale"" (sulla base della Legge Regionale L. R. 2 agosto 2013, n. 42, pubblicata sul B.U.R. n. 15 dell'1 agosto 2013, supplemento straordinario n. 3 del 8 agosto 2013; tale legge è intitolata ""Riconoscimento delle Agenzie di sviluppo Locale""). Le ""Agenzie di Sviluppo Locale"" hanno lo scopo di ""promuovere lo sviluppo sociale, economico ed occupazionale, di qualificare le competenze e le risorse umane e di accrescere la competitività e l'attrattività dei territori di riferimento valorizzando i sistemi produttivi locali, in piena sinergia con gli strumenti della programmazione regionale e della pianificazione territoriale"" (questo lo dice l'articolo 3, comma 2, della legge regionale n. 42). Però la partecipazione della Provincia alla società ""Lamezia Europa S.p.A."" è regolata dall'articolo 20, comma 2, lett. b) (che parla di: società con un numero di amministratori maggiore del numero di dipendenti) e lett. d) (che parla di: società che negli ultimi tre anni ha guadagnato min media meno di un milione di euro).",,"Anticipare l'affermazione, l'informazione e spostare il riferimento di legge subito dopo, tra parentesi tonde | Introdurre i titoli o le sintesi delle leggi e degli articoli con espressioni del tipo 'che parla di'",2024-03-26T16:41:43.132350,240.0
07108e7d68b7e897ed6a800be9802105,10,"Pertanto, risulta in contrasto con le previsioni di cui all'art. 24, comma1, TUSP, che prescrive, per tale partecipazione l'adozione di una misura di razionalizzazione di cui all'art. 20, commi 1 e 2.","Per questo motivo la partecipazione alla società da parte della Provincia va contro le cose scritte nell'art. 24, comma1, della legge TUSP. Infatti in base a questo articolo date le cose che abbiamo appena detto bisognerebbe che la Provincia applica la regola di razionalizzare (art. 20, commi 1 e 2 della legge TUSP).",,Spezzare le frasi lunghe | Usare espressioni comuni (va contro le cose scritte nell'articolo),2024-03-26T16:44:05.430989,105.0
