original_text,document,paragraph_index,simplified_text
La Carta dei Servizi (di seguito Carta) è uno strumento operativo voluto da una direttiva della Presidenza del Consiglio dei Ministri del 27 gennaio 1994 che fissa i principi ai quali deve uniformarsi l'erogazione dei servizi pubblici.,396505aaf67c46b9ec1a6818d8fb9af6,1,"La Carta dei Servizi, anche chiamata Carta, è un documento operativo richiesto da una direttiva della Presidenza del Consiglio dei Ministri del 27 gennaio 1994. Questo documento stabilisce i principi che devono essere seguiti nell'offerta dei servizi pubblici."
"A tale scopo l'art. 2 comma 461 della Legge Finanziaria anno 2008 ha stabilito che gli Enti locali, per garantire l'universalità, la qualità e l'economicità dei servizi, sono tenuti a definire una ""carta della qualità dei servizi"" d'intesa con le organizzazioni dei consumatori.",396505aaf67c46b9ec1a6818d8fb9af6,2,"Per assicurare che i servizi offerti dagli Enti locali siano universali, di qualità ed economici, devono creare una ""carta della qualità dei servizi"" in collaborazione con le organizzazioni dei consumatori, come previsto dall'articolo 2, comma 461 della Legge Finanziaria del 2008."
"Nella carta vanno precisati gli standard delle prestazioni erogate, le modalità di accesso alle informazioni, quelle per fare reclamo e l'accesso alle procedure conciliative e giudiziarie.",396505aaf67c46b9ec1a6818d8fb9af6,3,"Nella carta devono essere indicati chiaramente i servizi offerti, come ottenere informazioni, come presentare reclami e come accedere alle procedure di conciliazione e giudiziarie."
"A tal proposito per riferimento si rimanda alle ""Linee Guida"" pubblicate dalla Presidenza del Consiglio dei Ministri sulla G.U. n. 72 del 2013. Il confronto con le associazioni dei consumatori deve essere costante.",396505aaf67c46b9ec1a6818d8fb9af6,4,"Per ulteriori informazioni, puoi consultare le ""Linee Guida"" pubblicate dalla Presidenza del Consiglio dei Ministri sulla Gazzetta Ufficiale n. 72 del 2013. È importante mantenere un dialogo costante con le associazioni dei consumatori."
"La Carta ha la finalità di qualificare il livello dei servizi offerto nei riguardi non solo del committente del servizio, ma soprattutto nei riguardi dei singoli utilizzatori dello stesso, garantendo il controllo delle attività svolte, il colloquio continuo con l'utenza e l'intervento per l'attuazione ed il rispetto dei principi della ""Carta"".",396505aaf67c46b9ec1a6818d8fb9af6,5,"La Carta serve a migliorare la qualità dei servizi per i cittadini, controllando le attività, dialogando con loro e garantendo il rispetto dei principi della ""Carta""."
"La Carta rappresenta quindi l'impegno dell'ATI (Associazione Temporanea d'Imprese) ad assicurare la qualità nei confronti dei clienti e dei fruitori dei servizi in genere, entro gli standard stabiliti nel documento ed agisce sulla chiarezza del rapporto e sulle strategie di miglioramento continuo del prodotto servizio.",396505aaf67c46b9ec1a6818d8fb9af6,6,"La Carta impegna l'Associazione Temporanea d'Imprese a garantire la qualità dei servizi per i clienti e gli utenti, rispettando gli standard indicati nel documento. Inoltre, la Carta mira a migliorare costantemente i servizi offerti, promuovendo la chiarezza nelle relazioni con i clienti."
"La Carta si applica alle seguenti attività:
- Raccolta e trasporto rifiuti solidi urbani, urbani ingombranti, speciali assimilati agli urbani, urbani pericolosi.
- Raccolta differenziata
- Pulizia stradale sia meccanizzata che manuale
- Smaltimento rifiuti solidi urbani indifferenziati, rifiuti solidi urbani differenziati, urbani ingombranti, speciali assimilati agli urbani, urbani pericolosi
- Servizi accessori: pulizia caditoie stradali, diserbo stradale meccanizzato e chimico, rimozione manifesti abusivi, cancellazione scritte abusive",396505aaf67c46b9ec1a6818d8fb9af6,7,"La Carta si applica a queste attività:
- Raccolta e trasporto dei rifiuti solidi urbani, inclusi quelli ingombranti, speciali assimilati a quelli urbani e quelli pericolosi.
- Raccolta differenziata.
- Pulizia delle strade sia con mezzi meccanizzati che manualmente.
- Smaltimento dei rifiuti solidi urbani non differenziati, dei rifiuti solidi urbani differenziati, dei rifiuti ingombranti urbani, dei rifiuti speciali assimilati a quelli urbani e dei rifiuti pericolosi.
- Servizi accessori come la pulizia delle griglie di scolo delle acque piovane, lo sradicamento delle erbacce lungo le strade con mezzi meccanici e chimici, la rimozione dei manifesti abusivi e la cancellazione delle scritte abusive."
"I principi della ""Carta"" sono correlabili ai criteri di qualità del servizio, di tutela del cittadino quale fruitore dello stesso e di garanzia del rispetto della qualità e dell'ambiente.",396505aaf67c46b9ec1a6818d8fb9af6,8,"I principi della ""Carta"" sono simili ai criteri di qualità del servizio, alla protezione del cittadino che lo utilizza e alla garanzia del rispetto della qualità e dell'ambiente."
"Nella Carta il cittadino trova informazioni chiare sulla metodologia di erogazione e standard di qualità dei servizi, sui propri diritti e modalità di tutela, nonché gli indirizzi, i contatti, le procedure, i tempi e tutto ciò che serve per capire il funzionamento del sistema.",396505aaf67c46b9ec1a6818d8fb9af6,9,"La Carta fornisce al cittadino informazioni chiare su come vengono erogati i servizi e sui criteri di qualità adottati. Inoltre, spiega i diritti del cittadino, come difenderli e fornisce dettagli sugli indirizzi, i contatti, le procedure e i tempi necessari per comprendere il funzionamento del sistema."
L'utente ha pertanto l'opportunità di interagire con l'Azienda fornendo indicazioni sulla qualità del servizio e suggerimenti per migliorarlo e renderlo completo.,396505aaf67c46b9ec1a6818d8fb9af6,10,Gli utenti possono dare suggerimenti all'Azienda per migliorare la qualità del servizio e renderlo più completo.
