original_text,document,paragraph_index,simplified_text
La Carta dei Servizi (di seguito Carta) è uno strumento operativo voluto da una direttiva della Presidenza del Consiglio dei Ministri del 27 gennaio 1994 che fissa i principi ai quali deve uniformarsi l'erogazione dei servizi pubblici.,396505aaf67c46b9ec1a6818d8fb9af6,1,La Carta dei Servizi è uno strumento creato seguendo una direttiva della Presidenza del Consiglio dei Ministri del 27 gennaio 1994. Questa direttiva stabilisce le regole che i servizi pubblici devono seguire.
"A tale scopo l'art. 2 comma 461 della Legge Finanziaria anno 2008 ha stabilito che gli Enti locali, per garantire l'universalità, la qualità e l'economicità dei servizi, sono tenuti a definire una ""carta della qualità dei servizi"" d'intesa con le organizzazioni dei consumatori.",396505aaf67c46b9ec1a6818d8fb9af6,2,"L'articolo 2, comma 461, della Legge Finanziaria del 2008 richiede che gli Enti locali creino una ""carta della qualità dei servizi"". Questo documento, realizzato insieme alle organizzazioni dei consumatori, serve per assicurare che i servizi siano universali, di buona qualità ed economici."
"Nella carta vanno precisati gli standard delle prestazioni erogate, le modalità di accesso alle informazioni, quelle per fare reclamo e l'accesso alle procedure conciliative e giudiziarie.",396505aaf67c46b9ec1a6818d8fb9af6,3,"Nel documento dobbiamo specificare gli standard dei servizi offerti, come ottenere informazioni, come fare un reclamo e come accedere alle procedure di conciliazione e giudiziarie."
"A tal proposito per riferimento si rimanda alle ""Linee Guida"" pubblicate dalla Presidenza del Consiglio dei Ministri sulla G.U. n. 72 del 2013. Il confronto con le associazioni dei consumatori deve essere costante.",396505aaf67c46b9ec1a6818d8fb9af6,4,"Per maggiori dettagli, si può consultare le ""Linee Guida"" pubblicate dalla Presidenza del Consiglio dei Ministri, presenti sulla Gazzetta Ufficiale numero 72 del 2013. È importante mantenere un dialogo continuo con le associazioni dei consumatori."
"La Carta ha la finalità di qualificare il livello dei servizi offerto nei riguardi non solo del committente del servizio, ma soprattutto nei riguardi dei singoli utilizzatori dello stesso, garantendo il controllo delle attività svolte, il colloquio continuo con l'utenza e l'intervento per l'attuazione ed il rispetto dei principi della ""Carta"".",396505aaf67c46b9ec1a6818d8fb9af6,5,"La Carta mira a migliorare la qualità dei servizi non solo per chi li commissiona, ma soprattutto per chi li utilizza. Assicura il monitoraggio delle attività, il dialogo costante con gli utenti e interviene per garantire l'applicazione e il rispetto dei suoi principi."
"La Carta rappresenta quindi l'impegno dell'ATI (Associazione Temporanea d'Imprese) ad assicurare la qualità nei confronti dei clienti e dei fruitori dei servizi in genere, entro gli standard stabiliti nel documento ed agisce sulla chiarezza del rapporto e sulle strategie di miglioramento continuo del prodotto servizio.",396505aaf67c46b9ec1a6818d8fb9af6,6,"La Carta è l'impegno dell'Associazione Temporanea d'Imprese (ATI) a garantire la qualità dei servizi ai clienti e agli utenti, seguendo gli standard definiti nel documento. Essa mira a rendere più chiaro il rapporto con i clienti e a migliorare continuamente il servizio offerto."
"La Carta si applica alle seguenti attività:
- Raccolta e trasporto rifiuti solidi urbani, urbani ingombranti, speciali assimilati agli urbani, urbani pericolosi.
- Raccolta differenziata
- Pulizia stradale sia meccanizzata che manuale
- Smaltimento rifiuti solidi urbani indifferenziati, rifiuti solidi urbani differenziati, urbani ingombranti, speciali assimilati agli urbani, urbani pericolosi
- Servizi accessori: pulizia caditoie stradali, diserbo stradale meccanizzato e chimico, rimozione manifesti abusivi, cancellazione scritte abusive",396505aaf67c46b9ec1a6818d8fb9af6,7,"La Carta regola le seguenti attività:
- Raccolta e trasporto di tutti i tipi di rifiuti urbani, inclusi quelli ingombranti, speciali e pericolosi.
- Raccolta differenziata dei rifiuti.
- Pulizia delle strade, sia con mezzi meccanici che manualmente.
- Smaltimento di tutti i tipi di rifiuti urbani, sia indifferenziati che differenziati, inclusi quelli ingombranti, speciali e pericolosi.
- Altri servizi: pulizia delle caditoie stradali, rimozione delle erbacce con metodi meccanici e chimici, rimozione di manifesti e scritte abusivi."
"I principi della ""Carta"" sono correlabili ai criteri di qualità del servizio, di tutela del cittadino quale fruitore dello stesso e di garanzia del rispetto della qualità e dell'ambiente.",396505aaf67c46b9ec1a6818d8fb9af6,8,"I principi della ""Carta"" si collegano ai criteri di qualità del servizio, alla protezione del cittadino come utente del servizio e alla garanzia del rispetto della qualità e dell'ambiente."
"Nella Carta il cittadino trova informazioni chiare sulla metodologia di erogazione e standard di qualità dei servizi, sui propri diritti e modalità di tutela, nonché gli indirizzi, i contatti, le procedure, i tempi e tutto ciò che serve per capire il funzionamento del sistema.",396505aaf67c46b9ec1a6818d8fb9af6,9,"La Carta fornisce al cittadino informazioni chiare su come vengono erogati i servizi e su quali sono gli standard di qualità. Spiega anche i diritti del cittadino e come può difenderli. Inoltre, include indirizzi, contatti, procedure, tempi e tutte le informazioni necessarie per comprendere come funziona il sistema."
L'utente ha pertanto l'opportunità di interagire con l'Azienda fornendo indicazioni sulla qualità del servizio e suggerimenti per migliorarlo e renderlo completo.,396505aaf67c46b9ec1a6818d8fb9af6,10,L'utente può quindi comunicare con l'Azienda per dare opinioni sulla qualità del servizio e proporre idee per migliorarlo e completarlo.
