document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
396505aaf67c46b9ec1a6818d8fb9af6,1,La Carta dei Servizi (di seguito Carta) è uno strumento operativo voluto da una direttiva della Presidenza del Consiglio dei Ministri del 27 gennaio 1994 che fissa i principi ai quali deve uniformarsi l'erogazione dei servizi pubblici.,La Carta dei Servizi (di seguito Carta) è uno strumento deciso dalla Presidenza del Consiglio dei Ministri il 27 gennaio 1994: essa fissa i principi per offrire servizi pubblici.,,,2024-03-31T10:46:59.850704,45.0
396505aaf67c46b9ec1a6818d8fb9af6,2,"A tale scopo l'art. 2 comma 461 della Legge Finanziaria anno 2008 ha stabilito che gli Enti locali, per garantire l'universalità, la qualità e l'economicità dei servizi, sono tenuti a definire una ""carta della qualità dei servizi"" d'intesa con le organizzazioni dei consumatori.","Perciò l'art. 2 comma 461 della Legge Finanziaria anno 2008 ha stabilito che gli Enti locali, per garantire l'universalità, la qualità e l'economicità dei servizi, sono tenuti a definire una ""carta della qualità dei servizi"" insieme alle organizzazioni dei consumatori.",,,2024-04-02T17:21:40.916780,31.0
396505aaf67c46b9ec1a6818d8fb9af6,3,"Nella carta vanno precisati gli standard delle prestazioni erogate, le modalità di accesso alle informazioni, quelle per fare reclamo e l'accesso alle procedure conciliative e giudiziarie.","Nella carta vanno scritti i livelli dei servizi offerti, come si riesce a ricevere le informazioni, come si può presentare lamentela e come si può iniziare una partica per fare un accordo o per andare in tribunale.",,,2024-04-02T17:23:18.364397,97.0
396505aaf67c46b9ec1a6818d8fb9af6,4,"A tal proposito per riferimento si rimanda alle ""Linee Guida"" pubblicate dalla Presidenza del Consiglio dei Ministri sulla G.U. n. 72 del 2013. Il confronto con le associazioni dei consumatori deve essere costante.","A tal proposito invitiamo a consultare le ""Linee Guida"" pubblicate dalla Presidenza del Consiglio dei Ministri sulla G.U. n. 72 del 2013. Il confronto con le associazioni dei consumatori deve essere costante.",,,2024-04-02T17:26:07.207629,30.0
396505aaf67c46b9ec1a6818d8fb9af6,5,"La Carta ha la finalità di qualificare il livello dei servizi offerto nei riguardi non solo del committente del servizio, ma soprattutto nei riguardi dei singoli utilizzatori dello stesso, garantendo il controllo delle attività svolte, il colloquio continuo con l'utenza e l'intervento per l'attuazione ed il rispetto dei principi della ""Carta"".","La Carta serve a qualificare il livello dei servizi offerto nei riguardi non solo di chi affida il servizio, ma soprattutto nei riguardi di coloro che lo utilizzano, e serve a garantire che le attività svolte sono controllate, e che ci sia colloquio continuo con gli utenti e che si interviene per attuare e rispettare i principi della ""Carta"".",,,2024-04-02T17:27:35.024149,87.0
396505aaf67c46b9ec1a6818d8fb9af6,6,"La Carta rappresenta quindi l'impegno dell'ATI (Associazione Temporanea d'Imprese) ad assicurare la qualità nei confronti dei clienti e dei fruitori dei servizi in genere, entro gli standard stabiliti nel documento ed agisce sulla chiarezza del rapporto e sulle strategie di miglioramento continuo del prodotto servizio.","La Carta rappresenta l'impegno dell'ATI (Associazione Temporanea d'Imprese) per assicurare la qualità verso i clienti e chi usa i servizi in genere, entro i livelli stabiliti nel documento; essa attesta la chiarezza del rapporto e le strategie per migliorare sempre il servizio.",,,2024-04-02T17:28:43.180180,67.0
396505aaf67c46b9ec1a6818d8fb9af6,7,"La Carta si applica alle seguenti attività:
- Raccolta e trasporto rifiuti solidi urbani, urbani ingombranti, speciali assimilati agli urbani, urbani pericolosi.
- Raccolta differenziata
- Pulizia stradale sia meccanizzata che manuale
- Smaltimento rifiuti solidi urbani indifferenziati, rifiuti solidi urbani differenziati, urbani ingombranti, speciali assimilati agli urbani, urbani pericolosi
- Servizi accessori: pulizia caditoie stradali, diserbo stradale meccanizzato e chimico, rimozione manifesti abusivi, cancellazione scritte abusive","La Carta si applica alle seguenti attività:
- Raccolta e trasporto rifiuti solidi cittadini, rifiuti cittadini ingombranti, rifiuti speciali simili a quelli cittadini e infine rifiuti cittadini pericolosi.
- Raccolta differenziata
- Pulizia stradale sia con macchine sia fatta a mano
- Smaltimento dei rifiuti solidi cittadini indifferenziati, rifiuti solidi cittadini differenziati, cittadini ingombranti, speciali simili ai rifiuti cittadini e ai rifiuti cittadini pericolosi
- Servizi accessori: pulizia delle strade, eliminare l'erba nelle strade sia con macchine sia con prodotti chimici, eliminare i manifesti abusivi, cancellare le scritte abusive",,,2024-04-02T17:30:44.416090,120.0
396505aaf67c46b9ec1a6818d8fb9af6,8,"I principi della ""Carta"" sono correlabili ai criteri di qualità del servizio, di tutela del cittadino quale fruitore dello stesso e di garanzia del rispetto della qualità e dell'ambiente.","I principi della ""Carta"" i criteri su cui si basa la qualità del servizio, la protezione del cittadino che utilizza il servizio e la garanzia che la qualità e l'ambiente saranno rispettati.",,,2024-04-02T17:31:43.812261,59.0
396505aaf67c46b9ec1a6818d8fb9af6,9,"Nella Carta il cittadino trova informazioni chiare sulla metodologia di erogazione e standard di qualità dei servizi, sui propri diritti e modalità di tutela, nonché gli indirizzi, i contatti, le procedure, i tempi e tutto ciò che serve per capire il funzionamento del sistema.","Nella Carta il cittadino trova informazioni chiare sulla modo in cui è offerto il servizio e sui livelli di qualità dei servizi, sui propri diritti e su come li può difendere, inoltre trova gli indirizzi, i contatti, le procedure, i tempi e tutto ciò che serve per capire il funzionamento del sistema.",,,2024-04-02T17:32:29.860072,45.0
396505aaf67c46b9ec1a6818d8fb9af6,10,L'utente ha pertanto l'opportunità di interagire con l'Azienda fornendo indicazioni sulla qualità del servizio e suggerimenti per migliorarlo e renderlo completo.,L'utente ha pertanto la possibilità di interagire con l'Azienda e può fornire indicazioni sulla qualità del servizio e suggerimenti per migliorarlo e renderlo completo.,,,2024-04-02T17:32:53.511550,23.0
