original_text,document,paragraph_index,simplified_text
"Il presente allegato disciplina la procedura per la messa in esercizio, l'accreditamento e i conseguenti provvedimenti relativi all'attività delle unità d'offerta sociosanitarie, nel rispetto dei requisiti definiti previsti dalla normativa nazionale e regionale vigente.",3e0abd25f3bcf417e9e0a8b74e158ef5,1,"Questo documento spiega come avviare, autorizzare e gestire le attività delle strutture sanitarie, rispettando i requisiti stabiliti dalla legge nazionale e regionale."
"L'esercizio delle unità d'offerta sociosanitarie, ad eccezione di quelle con piano programma in corso e ancora soggette ad autorizzazione all'esercizio, è subordinato alla presentazione di una segnalazione certificata di inizio attività (SCIA) ai sensi dell'articolo 19 della legge 7 agosto 1990, n. 241, Nuove norme in materia di procedimento amministrativo e di diritto di accesso ai documenti amministrativi.",3e0abd25f3bcf417e9e0a8b74e158ef5,2,"Per poter esercitare le unità d'offerta sociosanitarie, tranne quelle con un piano programma già in corso e ancora in attesa di autorizzazione, è necessario presentare una segnalazione certificata di inizio attività (SCIA) in conformità all'articolo 19 della legge 7 agosto 1990, n. 241, che riguarda le nuove norme sul procedimento amministrativo e il diritto di accesso ai documenti amministrativi."
"La SCIA deve essere presentata nei seguenti casi:
- messa in esercizio di nuova unità d'offerta;
- trasferimento in altra sede di unità d'offerta già abilitata all'esercizio, anche all'interno dello stesso edificio;
- variazione della capacità ricettiva;
- variazioni nell'assetto dei servizi o delle prestazioni erogate;
- trasformazione di unità d'offerta esistente in altra tipologia;
- modifica dell'articolazione degli spazi della medesima unità di offerta, qualora le modifiche comportino, anche senza interventi edilizi, il mutare delle condizioni previste dal regolamento d'igiene o di sicurezza dei locali (come ad esempio: trasformazione di uffici in ambulatorio o palestre, trasformazione di aree di socializzazione in aree dove vengono erogate prestazioni sanitarie).
- eventi modificativi del soggetto gestore per le unità di offerta non accreditate (a titolo esemplificativo: nel caso di persone giuridiche private può trattarsi di subentro di un nuovo soggetto gestore, scioglimento, fusione per incorporazione o costituzione di un nuovo ente; nel caso di enti pubblici può trattarsi di successione tra enti, anche per effetto di intervenute modifiche del quadro normativo di riferimento)",3e0abd25f3bcf417e9e0a8b74e158ef5,3,"Quando è necessario presentare la Segnalazione Certificata di Inizio Attività (SCIA):
- quando si avvia una nuova attività;
- quando si sposta un'attività già autorizzata in un'altra sede, anche nello stesso edificio;
- quando si modificano i posti letto disponibili;
- quando si cambiano i servizi offerti o le prestazioni fornite;
- quando si trasforma un tipo di attività in un altro;
- quando si modificano gli spazi di un'attività, se ciò comporta cambiamenti nelle condizioni di igiene o sicurezza (ad esempio: trasformare uffici in ambulatori o palestre, trasformare aree comuni in aree sanitarie).
- quando cambia il gestore di un'attività non accreditata (ad esempio: per enti privati potrebbe essere il passaggio a un nuovo gestore, la chiusura, la fusione o la creazione di un nuovo ente; per enti pubblici potrebbe essere la successione tra enti a causa di modifiche normative)."
"Al fine di semplificare il procedimento, non è necessario produrre nuovamente documenti e dichiarazioni sostitutive di certificazioni o di atto notorio ancora in corso di validità già prodotti in altri procedimenti, ma è sufficiente citare nella SCIA il procedimento nel quale i documenti sono stati prodotti. Analogamente, nel caso di SCIA per varianti o modifiche (punti 3, 4 e 6), la documentazione da produrre riguarda le sole variazioni intervenute, aggiornando se necessario le planimetrie precedentemente autorizzate o positivamente verificate",3e0abd25f3bcf417e9e0a8b74e158ef5,4,"Per semplificare, non è necessario fare nuovi documenti o dichiarazioni se quelli che hai fatto per altri procedimenti sono ancora validi. Basta che menzioni nella SCIA il procedimento per il quale li hai fatti. Se presenti una SCIA per modifiche o varianti (punti 3, 4 e 6), devi allegare solo i documenti relativi alle modifiche apportate, aggiornando le planimetrie autorizzate o verificate positivamente se necessario."
"Non sono soggette a presentazione di SCIA, ma a semplice comunicazione alla ATS e per conoscenza alla Regione, le seguenti fattispecie:
- variazione del legale rappresentante del soggetto gestore: alla comunicazione si devono allegare l'atto di nomina e l'autocertificazione del possesso dei requisiti soggettivi del nuovo legale rappresentante (utilizzando la modulistica regionale);
- trasformazione giuridica del soggetto gestore che non si sostanzi nel subentro di un nuovo soggetto gestore: alla comunicazione si allega la documentazione relativa alla trasformazione avvenuta;
- modifiche nell'articolazione degli spazi che non comportino il mutare delle condizioni previste dal regolamento d'igiene o di sicurezza dei locali e interventi di manutenzione ordinaria e straordinaria. Le suddette comunicazioni sono trasmesse alla ATS con gli elaborati grafici aggiornati e l'indicazione dettagliata e motivata delle variazioni eseguite",3e0abd25f3bcf417e9e0a8b74e158ef5,5,"Le seguenti situazioni non richiedono l'invio di una SCIA, ma è sufficiente inviare una comunicazione all'ATS e copia alla Regione:
- Cambio del legale rappresentante dell'ente gestore: è necessario inviare una comunicazione allegando l'atto di nomina e un'autocertificazione che attesti che il nuovo legale rappresentante possiede i requisiti richiesti (utilizzando i moduli forniti dalla Regione).
- Cambiamenti nella struttura legale dell'ente gestore che non comportano il passaggio a un nuovo ente gestore: è necessario inviare una comunicazione allegando la documentazione relativa alla trasformazione avvenuta.
- Modifiche nella disposizione degli spazi che non influiscono sul rispetto delle norme igienico-sanitarie o di sicurezza degli ambienti, interventi di manutenzione ordinaria e straordinaria. Queste comunicazioni devono essere inviate all'ATS insieme ai disegni aggiornati e una spiegazione dettagliata delle modifiche apportate."
"Il legale rappresentante del soggetto gestore (o il procuratore speciale) presenta la SCIA, utilizzando la modulistica regionale, alla ATS competente per territorio, per conoscenza al comune di ubicazione dell'unità d'offerta e alla Regione, mediante presentazione diretta, invio postale con raccomandata con avviso di ricevimento, posta elettronica certificata (PEC). Unicamente per la ATS, alla SCIA devono essere allegati autocertificazioni, attestazioni ed elaborati tecnici atti a comprovare la sussistenza dei requisiti minimi stabiliti dal D.P.R. 14 gennaio 1997, dal presente provvedimento e dalla normativa regionale vigente in relazione alle singole tipologie di unità d'offerta.",3e0abd25f3bcf417e9e0a8b74e158ef5,6,"Il legale rappresentante del soggetto gestore (o il procuratore speciale) deve presentare la Segnalazione Certificata di Inizio Attività (SCIA) utilizzando i moduli regionali. La SCIA va presentata all'Agenzia di Tutela della Salute (ATS) competente per la zona, con copia al comune dove si trova l'attività e alla Regione. La presentazione può avvenire direttamente, tramite posta raccomandata con ricevuta di ritorno, posta elettronica certificata (PEC). Alla SCIA da presentare all'ATS devono essere allegati documenti di autocertificazione, certificazioni e documenti tecnici che dimostrino di rispettare i requisiti minimi stabiliti dal Decreto del Presidente della Repubblica del 14 gennaio 1997, da questo provvedimento e dalla normativa regionale in vigore per ciascuna tipologia di attività."
"La SCIA riguarda una sola unità d'offerta sociosanitaria. In caso di segnalazione da parte dello stesso soggetto gestore per una pluralità di strutture, è necessaria la presentazione di una SCIA separata per ciascuna di esse.",3e0abd25f3bcf417e9e0a8b74e158ef5,7,"La Segnalazione Certificata di Inizio Attività (SCIA) si applica a una singola struttura sociosanitaria. Se lo stesso gestore segnala più strutture, deve presentare una SCIA separata per ciascuna di esse."
"Dalla data di presentazione della SCIA, cioè di effettiva ricezione della stessa da parte della ATS, il soggetto è abilitato a porre in esercizio la relativa unità d'offerta e assume la responsabilità diretta della relativa gestione.",3e0abd25f3bcf417e9e0a8b74e158ef5,8,"Dal momento in cui presenti la SCIA e la ATS la riceve, sei autorizzato a mettere in funzione l'unità d'offerta e a gestirla direttamente."
La presentazione della SCIA presuppone il possesso di tutti i requisiti minimi stabiliti dalle disposizioni vigenti per l'esercizio dell'unità d'offerta. Lo standard di personale deve essere assicurato in relazione alla progressiva presa in carico di utenti.,3e0abd25f3bcf417e9e0a8b74e158ef5,9,Per presentare la SCIA è necessario avere tutti i requisiti minimi richiesti per gestire l'attività. Bisogna garantire un adeguato numero di dipendenti in base all'aumento degli utenti serviti.
La ATS non può subordinare in alcun modo l'inizio dell'effettivo esercizio dell'unità di offerta alla preventiva positiva verifica di sussistenza dei requisiti dichiarati e attestati nella SCIA.,3e0abd25f3bcf417e9e0a8b74e158ef5,10,La ATS non può ritardare l'inizio dell'attività dell'unità di offerta fino a quando non ha verificato positivamente i requisiti dichiarati e certificati nella SCIA.
