original_text,document,paragraph_index,simplified_text
"Il presente allegato disciplina la procedura per la messa in esercizio, l'accreditamento e i conseguenti provvedimenti relativi all'attività delle unità d'offerta sociosanitarie, nel rispetto dei requisiti definiti previsti dalla normativa nazionale e regionale vigente.",3e0abd25f3bcf417e9e0a8b74e158ef5,1,"Questo documento stabilisce le regole per avviare, accreditare e gestire le attività delle strutture sociosanitarie, seguendo i requisiti stabiliti dalle leggi nazionali e regionali attuali."
"L'esercizio delle unità d'offerta sociosanitarie, ad eccezione di quelle con piano programma in corso e ancora soggette ad autorizzazione all'esercizio, è subordinato alla presentazione di una segnalazione certificata di inizio attività (SCIA) ai sensi dell'articolo 19 della legge 7 agosto 1990, n. 241, Nuove norme in materia di procedimento amministrativo e di diritto di accesso ai documenti amministrativi.",3e0abd25f3bcf417e9e0a8b74e158ef5,2,"Per avviare le unità d'offerta sociosanitarie, tranne quelle che hanno già un piano in corso e che necessitano ancora di una autorizzazione, è necessario presentare una segnalazione certificata di inizio attività (SCIA). Questo è richiesto dall'articolo 19 della legge del 7 agosto 1990, numero 241, che tratta delle nuove regole sui procedimenti amministrativi e sul diritto di accesso ai documenti amministrativi."
"La SCIA deve essere presentata nei seguenti casi:
- messa in esercizio di nuova unità d'offerta;
- trasferimento in altra sede di unità d'offerta già abilitata all'esercizio, anche all'interno dello stesso edificio;
- variazione della capacità ricettiva;
- variazioni nell'assetto dei servizi o delle prestazioni erogate;
- trasformazione di unità d'offerta esistente in altra tipologia;
- modifica dell'articolazione degli spazi della medesima unità di offerta, qualora le modifiche comportino, anche senza interventi edilizi, il mutare delle condizioni previste dal regolamento d'igiene o di sicurezza dei locali (come ad esempio: trasformazione di uffici in ambulatorio o palestre, trasformazione di aree di socializzazione in aree dove vengono erogate prestazioni sanitarie).
- eventi modificativi del soggetto gestore per le unità di offerta non accreditate (a titolo esemplificativo: nel caso di persone giuridiche private può trattarsi di subentro di un nuovo soggetto gestore, scioglimento, fusione per incorporazione o costituzione di un nuovo ente; nel caso di enti pubblici può trattarsi di successione tra enti, anche per effetto di intervenute modifiche del quadro normativo di riferimento)",3e0abd25f3bcf417e9e0a8b74e158ef5,3,"Devi presentare la SCIA (Segnalazione Certificata di Inizio Attività) nei seguenti casi:

1. Quando avvii una nuova attività.
2. Quando trasferisci un'attività già esistente in un'altra sede, anche se all'interno dello stesso edificio.
3. Quando cambi il numero di persone che la tua attività può accogliere.
4. Quando apporti modifiche ai servizi o alle prestazioni che offri.
5. Quando trasformi il tipo di attività che gestisci.
6. Quando cambi la disposizione degli spazi della tua attività, se queste modifiche influenzano le condizioni di igiene o sicurezza previste dalle norme (per esempio, trasformare uffici in ambulatori o palestre, o cambiare aree comuni in aree sanitarie).
7. Quando ci sono cambiamenti nel gestore dell'attività, se questa non è accreditata. Questo può includere, per esempio, l'arrivo di un nuovo gestore, la fusione o la creazione di una nuova organizzazione in caso di enti privati, o il passaggio di gestione tra enti pubblici, anche a causa di cambiamenti nelle leggi."
"Al fine di semplificare il procedimento, non è necessario produrre nuovamente documenti e dichiarazioni sostitutive di certificazioni o di atto notorio ancora in corso di validità già prodotti in altri procedimenti, ma è sufficiente citare nella SCIA il procedimento nel quale i documenti sono stati prodotti. Analogamente, nel caso di SCIA per varianti o modifiche (punti 3, 4 e 6), la documentazione da produrre riguarda le sole variazioni intervenute, aggiornando se necessario le planimetrie precedentemente autorizzate o positivamente verificate",3e0abd25f3bcf417e9e0a8b74e158ef5,4,"Per semplificare la procedura, non è necessario presentare di nuovo documenti e dichiarazioni già validi e usati in altri procedimenti. Basta indicare nella SCIA il procedimento in cui sono stati già presentati questi documenti. Inoltre, se la SCIA riguarda modifiche o varianti (punti 3, 4 e 6), bisogna fornire solo i documenti relativi alle nuove modifiche. Se serve, aggiornate anche le planimetrie che erano state già approvate o controllate in precedenza."
"Non sono soggette a presentazione di SCIA, ma a semplice comunicazione alla ATS e per conoscenza alla Regione, le seguenti fattispecie:
- variazione del legale rappresentante del soggetto gestore: alla comunicazione si devono allegare l'atto di nomina e l'autocertificazione del possesso dei requisiti soggettivi del nuovo legale rappresentante (utilizzando la modulistica regionale);
- trasformazione giuridica del soggetto gestore che non si sostanzi nel subentro di un nuovo soggetto gestore: alla comunicazione si allega la documentazione relativa alla trasformazione avvenuta;
- modifiche nell'articolazione degli spazi che non comportino il mutare delle condizioni previste dal regolamento d'igiene o di sicurezza dei locali e interventi di manutenzione ordinaria e straordinaria. Le suddette comunicazioni sono trasmesse alla ATS con gli elaborati grafici aggiornati e l'indicazione dettagliata e motivata delle variazioni eseguite",3e0abd25f3bcf417e9e0a8b74e158ef5,5,"Non è necessario presentare una SCIA, ma basta una semplice comunicazione all'ATS e, per informazione, alla Regione per i seguenti casi:
- Cambio del legale rappresentante del gestore: bisogna allegare alla comunicazione l'atto di nomina e l'autocertificazione che conferma i requisiti del nuovo legale rappresentante, usando i moduli forniti dalla regione.
- Cambio della forma giuridica del gestore, senza che ci sia un nuovo gestore: si deve allegare alla comunicazione la documentazione che attesta il cambiamento.
- Modifiche negli spazi che non alterano le condizioni di igiene o sicurezza previste dal regolamento e lavori di manutenzione ordinaria o straordinaria: queste comunicazioni devono essere inviate all'ATS con i disegni aggiornati e una descrizione dettagliata e motivata delle modifiche fatte."
"Il legale rappresentante del soggetto gestore (o il procuratore speciale) presenta la SCIA, utilizzando la modulistica regionale, alla ATS competente per territorio, per conoscenza al comune di ubicazione dell'unità d'offerta e alla Regione, mediante presentazione diretta, invio postale con raccomandata con avviso di ricevimento, posta elettronica certificata (PEC). Unicamente per la ATS, alla SCIA devono essere allegati autocertificazioni, attestazioni ed elaborati tecnici atti a comprovare la sussistenza dei requisiti minimi stabiliti dal D.P.R. 14 gennaio 1997, dal presente provvedimento e dalla normativa regionale vigente in relazione alle singole tipologie di unità d'offerta.",3e0abd25f3bcf417e9e0a8b74e158ef5,6,"Il legale rappresentante del soggetto gestore, o un procuratore speciale, deve presentare la SCIA (Segnalazione Certificata di Inizio Attività) usando i moduli forniti dalla regione. Questa deve essere inviata all'ATS della zona, e per conoscenza anche al comune dove si trova l'attività e alla Regione. La presentazione può avvenire direttamente, tramite raccomandata con ricevuta di ritorno, o usando la posta elettronica certificata (PEC).

Per l'ATS, alla SCIA devono essere allegati documenti come autocertificazioni, attestazioni e progetti tecnici. Questi documenti devono dimostrare che sono stati rispettati i requisiti minimi richiesti dal D.P.R. del 14 gennaio 1997, dalle norme attuali di questo provvedimento e dalle leggi regionali, a seconda del tipo di attività."
"La SCIA riguarda una sola unità d'offerta sociosanitaria. In caso di segnalazione da parte dello stesso soggetto gestore per una pluralità di strutture, è necessaria la presentazione di una SCIA separata per ciascuna di esse.",3e0abd25f3bcf417e9e0a8b74e158ef5,7,"La SCIA deve essere presentata per ogni singola unità sociosanitaria. Se un gestore vuole segnalare più strutture, deve fare una SCIA per ognuna di esse."
"Dalla data di presentazione della SCIA, cioè di effettiva ricezione della stessa da parte della ATS, il soggetto è abilitato a porre in esercizio la relativa unità d'offerta e assume la responsabilità diretta della relativa gestione.",3e0abd25f3bcf417e9e0a8b74e158ef5,8,"Dal momento in cui l'ATS riceve la SCIA, il soggetto può iniziare a gestire l'unità d'offerta e diventa responsabile della sua gestione."
La presentazione della SCIA presuppone il possesso di tutti i requisiti minimi stabiliti dalle disposizioni vigenti per l'esercizio dell'unità d'offerta. Lo standard di personale deve essere assicurato in relazione alla progressiva presa in carico di utenti.,3e0abd25f3bcf417e9e0a8b74e158ef5,9,Per presentare la SCIA è necessario avere tutti i requisiti minimi richiesti dalle leggi attuali per gestire l'attività. Bisogna anche garantire che ci sia abbastanza personale in base al numero crescente di clienti che si prendono in carico.
La ATS non può subordinare in alcun modo l'inizio dell'effettivo esercizio dell'unità di offerta alla preventiva positiva verifica di sussistenza dei requisiti dichiarati e attestati nella SCIA.,3e0abd25f3bcf417e9e0a8b74e158ef5,10,L'ATS non può ritardare l'inizio dell'attività dell'unità di offerta fino a che non abbia verificato e confermato che i requisiti dichiarati nella SCIA sono veri.
