document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
3e0abd25f3bcf417e9e0a8b74e158ef5,1,"Il presente allegato disciplina la procedura per la messa in esercizio, l'accreditamento e i conseguenti provvedimenti relativi all'attività delle unità d'offerta sociosanitarie, nel rispetto dei requisiti definiti previsti dalla normativa nazionale e regionale vigente.","Questo allegato regola la procedura per avviare, accreditare e gestire l'attività delle unità d'offerta sociosanitarie, rispettando i requisiti definiti dalle leggi nazionali e regionali.",,,2024-04-02T18:36:31.311241,83.0
3e0abd25f3bcf417e9e0a8b74e158ef5,2,"L'esercizio delle unità d'offerta sociosanitarie, ad eccezione di quelle con piano programma in corso e ancora soggette ad autorizzazione all'esercizio, è subordinato alla presentazione di una segnalazione certificata di inizio attività (SCIA) ai sensi dell'articolo 19 della legge 7 agosto 1990, n. 241, Nuove norme in materia di procedimento amministrativo e di diritto di accesso ai documenti amministrativi.","Per inviare un'offerta di servizi sociosanitari, escluse quelle che sono in corso e che devono ricevere autorizzazione all'esercizio, si deve presentare una segnalazione certificata che l'attività inizia (il documento si chiama SCIA) e questo in base all'articolo 19 della Legge 7 agosto 1990, n. 241, che si intitola Nuove norme in materia di procedimento amministrativo e di diritto di accesso ai documenti amministrativi.",,,2024-04-16T09:08:41.798982,122.0
3e0abd25f3bcf417e9e0a8b74e158ef5,3,"La SCIA deve essere presentata nei seguenti casi:
- messa in esercizio di nuova unità d'offerta;
- trasferimento in altra sede di unità d'offerta già abilitata all'esercizio, anche all'interno dello stesso edificio;
- variazione della capacità ricettiva;
- variazioni nell'assetto dei servizi o delle prestazioni erogate;
- trasformazione di unità d'offerta esistente in altra tipologia;
- modifica dell'articolazione degli spazi della medesima unità di offerta, qualora le modifiche comportino, anche senza interventi edilizi, il mutare delle condizioni previste dal regolamento d'igiene o di sicurezza dei locali (come ad esempio: trasformazione di uffici in ambulatorio o palestre, trasformazione di aree di socializzazione in aree dove vengono erogate prestazioni sanitarie).
- eventi modificativi del soggetto gestore per le unità di offerta non accreditate (a titolo esemplificativo: nel caso di persone giuridiche private può trattarsi di subentro di un nuovo soggetto gestore, scioglimento, fusione per incorporazione o costituzione di un nuovo ente; nel caso di enti pubblici può trattarsi di successione tra enti, anche per effetto di intervenute modifiche del quadro normativo di riferimento)","La SCIA deve essere presentata nei seguenti casi:
- quando si attiva una nuova unità d'offerta;
- quando viene trasferita in un'altra sede una unità d'offerta che era già abilitata all'esercizio, anche se il trasferimento avviene nello stesso edificio;
- variazione della capacità ricettiva;
- variazioni nella struttura dei servizi o delle prestazioni offerte;
- trasformazione di unità d'offerta che esiste in un'altra tipologia;
- modifica dell'articolazione degli spazi della stessa unità di offerta, se le modifiche comportano, anche senza interventi edilizi, che mutano le condizioni previste dal regolamento d'igiene o di sicurezza dei locali (come ad esempio: trasformazione di uffici in ambulatorio o palestre, trasformazione di aree di socializzazione in aree dove vengono offerte prestazioni sanitarie).
- eventi che modificano il soggetto gestore per le unità di offerta non ancora accreditate (ad esempio: nel caso di persone giuridiche private può trattarsi di subentro di un nuovo soggetto gestore, di scioglimento, di fusione perché si incorpora e si costituisce un nuovo ente; nel caso di enti pubblici può trattarsi di successione tra enti, anche per effetto di intervenute modifiche del quadro delle leggi)",,,2024-04-16T15:11:26.028560,170.0
3e0abd25f3bcf417e9e0a8b74e158ef5,4,"Al fine di semplificare il procedimento, non è necessario produrre nuovamente documenti e dichiarazioni sostitutive di certificazioni o di atto notorio ancora in corso di validità già prodotti in altri procedimenti, ma è sufficiente citare nella SCIA il procedimento nel quale i documenti sono stati prodotti. Analogamente, nel caso di SCIA per varianti o modifiche (punti 3, 4 e 6), la documentazione da produrre riguarda le sole variazioni intervenute, aggiornando se necessario le planimetrie precedentemente autorizzate o positivamente verificate","Per rendere semplice il procedimento non serve produrre nuovamente documenti e dichiarazioni sostitutive di certificazioni o di atto notorio ancora validi e già inviati in altri procedimenti, ma è sufficiente citare nella SCIA il procedimento nel quale i documenti sono stati prodotti. allo stesso modo, nel caso di SCIA per varianti o modifiche (punti 3, 4 e 6), la documentazione da produrre riguarda le sole variazioni fatte, aggiornando se necessario le planimetrie (disegno dei metri quadrati degli spazi) precedentemente autorizzate o positivamente verificate",,,2024-04-16T15:29:01.168187,85.0
3e0abd25f3bcf417e9e0a8b74e158ef5,5,"Non sono soggette a presentazione di SCIA, ma a semplice comunicazione alla ATS e per conoscenza alla Regione, le seguenti fattispecie:
- variazione del legale rappresentante del soggetto gestore: alla comunicazione si devono allegare l'atto di nomina e l'autocertificazione del possesso dei requisiti soggettivi del nuovo legale rappresentante (utilizzando la modulistica regionale);
- trasformazione giuridica del soggetto gestore che non si sostanzi nel subentro di un nuovo soggetto gestore: alla comunicazione si allega la documentazione relativa alla trasformazione avvenuta;
- modifiche nell'articolazione degli spazi che non comportino il mutare delle condizioni previste dal regolamento d'igiene o di sicurezza dei locali e interventi di manutenzione ordinaria e straordinaria. Le suddette comunicazioni sono trasmesse alla ATS con gli elaborati grafici aggiornati e l'indicazione dettagliata e motivata delle variazioni eseguite","Non sono obbligate a presentare la SCIA, ma devono solo comunicare alla ATS (e informare per conoscenza la Regione), le seguenti situazioni:
- variazione del legale rappresentante del soggetto che gestisce società: alla comunicazione si devono allegare l'atto di nomina e l'autocertificazione del possesso dei requisiti del nuovo legale rappresentante (utilizzando la modulistica regionale);
- trasformazione giuridica del soggetto che gestisce società che non diventi il subentrare di un nuovo soggetto che gestisce società: alla comunicazione si allega la documentazione relativa alla trasformazione avvenuta;
- modifiche nell'organizzazione degli spazi che non comportino il mutare delle condizioni previste dal regolamento d'igiene o di sicurezza dei locali oppure interventi di manutenzione ordinaria e straordinaria. Queste comunicazioni sono trasmesse alla ATS con gli elaborati grafici aggiornati e l'indicazione precisa e motivata delle variazioni eseguite",,,2024-04-16T15:31:57.645273,133.0
3e0abd25f3bcf417e9e0a8b74e158ef5,6,"Il legale rappresentante del soggetto gestore (o il procuratore speciale) presenta la SCIA, utilizzando la modulistica regionale, alla ATS competente per territorio, per conoscenza al comune di ubicazione dell'unità d'offerta e alla Regione, mediante presentazione diretta, invio postale con raccomandata con avviso di ricevimento, posta elettronica certificata (PEC). Unicamente per la ATS, alla SCIA devono essere allegati autocertificazioni, attestazioni ed elaborati tecnici atti a comprovare la sussistenza dei requisiti minimi stabiliti dal D.P.R. 14 gennaio 1997, dal presente provvedimento e dalla normativa regionale vigente in relazione alle singole tipologie di unità d'offerta.","Il legale rappresentante del soggetto che gestisce la società (o il procuratore speciale) utilizza la modulistica regionale per presentare la SCIA alla ATS competente per territorio e mette in copia il comune in cui si trova l'unità d'offerta. Presenta il modulo alla Regione o di persona o per posta con raccomandata con avviso di ricevimento, o per posta elettronica certificata (PEC). Nell'inviare alla ATS chi gestisce la società deve allegare alla SCIA autocertificazioni, attestazioni ed elaborati tecnici che dimostrano che il gestore ha i requisiti minimi stabiliti dal D.P.R. 14 gennaio 1997, dal provvedimento che sta leggendo e dalle leggi regionali per le singole tipologie di unità d'offerta.",,,2024-04-16T15:46:42.270870,176.0
3e0abd25f3bcf417e9e0a8b74e158ef5,7,"La SCIA riguarda una sola unità d'offerta sociosanitaria. In caso di segnalazione da parte dello stesso soggetto gestore per una pluralità di strutture, è necessaria la presentazione di una SCIA separata per ciascuna di esse.","La SCIA riguarda una sola unità d'offerta sociosanitaria. In caso di segnalazione da parte dello stesso soggetto che gestisce società per molte strutture, è necessaria la presentazione di una SCIA separata per ciascuna di esse.",,,2024-04-16T15:49:49.651672,23.0
3e0abd25f3bcf417e9e0a8b74e158ef5,8,"Dalla data di presentazione della SCIA, cioè di effettiva ricezione della stessa da parte della ATS, il soggetto è abilitato a porre in esercizio la relativa unità d'offerta e assume la responsabilità diretta della relativa gestione.","Dalla data in cui viene presentata la SCIA e la ATS riceve la SCIA, il soggetto può aprire l'unità d'offerta e assumere la responsabilità diretta della gestione di essa.",,,2024-04-16T15:50:42.955423,52.0
3e0abd25f3bcf417e9e0a8b74e158ef5,9,La presentazione della SCIA presuppone il possesso di tutti i requisiti minimi stabiliti dalle disposizioni vigenti per l'esercizio dell'unità d'offerta. Lo standard di personale deve essere assicurato in relazione alla progressiva presa in carico di utenti.,La presentazione della SCIA si può fare se si possiedono tutti i requisiti minimi stabiliti dalle leggi per l'esercizio dell'unità d'offerta. La qualità di personale deve essere assicurata via via che vengono presi utenti.,,,2024-04-16T15:51:36.600790,53.0
3e0abd25f3bcf417e9e0a8b74e158ef5,10,La ATS non può subordinare in alcun modo l'inizio dell'effettivo esercizio dell'unità di offerta alla preventiva positiva verifica di sussistenza dei requisiti dichiarati e attestati nella SCIA.,La ATS non può far aspettare l'inizio dell'effettivo esercizio dell'unità di offerta al fatto di verificare che ci siano i requisiti dichiarati e attestati nella SCIA.,,,2024-04-16T15:53:46.188187,129.0
