doc_id,entity,document_type,document_topic,region,document_title,document_publishing_date,root_uri,document_uri,filename,document_download_date
11c0884cd85b8f55188904146bdfcf61,Comune di Lavello (PZ),service_charter,garbage,basilicata,CARTA DELLA QUALITA’ DEL SERVIZIO INTEGRATO GESTIONE RIFIUTI NEL TERRITORIO COMUNALE DI LAVELLO (PZ),2023-02-22,https://www.halleyweb.com/c076043/zf/index.php/trasparenza-rifiuti/index/carta-qualita,https://www.halleyweb.com/c076043/zf/index.php/trasparenza-rifiuti/index/download-allegato/allegato/25,CARTA_DELLA_QUALITA_LAVELLO.pdf,2023-07-08
96e8e4abfde2827b54dfed2638205eed,Comune di Avigliano (PZ),service_charter,garbage,basilicata,Carta della Qualità del Servizio - Comune di Avigliano,2021-02-04,https://www.trasparenzatari.it/trasparenzatari/?COMUNE=A519,https://www.trasparenzatari.it/trasparenzatari/ajax.php?P1X=QXJtTG1MdE01cmxta1ZWSHA2S0pvNkhES2J1S0k5c2tTY3hib1dOVGxpcWdXVm5VTFNOc2FjcXZiWVBGWDIvbXl6N0g5QnY0bEFCRXpLaDBWMkMxN09mYjd3MWdzeGxoTFVMK3p2b1NRL0wreDUrU3FPWk9teGJjWHBaZVBTRGhhMmJHcjQwZ3hXUDI2ZzJaUFZIRXVnPT0=,Carta qualitÃ  dei Servizi (1).pdf,2023-07-08
a958e53905ca50a2b93e2a1725e08fec,Comune di Bernalda (MT),service_charter,garbage,basilicata,Carta dei Servizi - Comune di Bernalda,2019-01-16,https://www.comune.bernalda.matera.it/new/documenti/regolamenti.html,"https://www.comune.bernalda.matera.it/regolamenti/Carta%20dei%20Servizi%20-%20Igiene%20Urbana,%20Verde%20Pubblico%20e%20Canile%20Comunale.pdf","Carta dei Servizi - Igiene Urbana, Verde Pubblico e Canile Comunale.pdf",2023-07-08
816531692c773a254629d937ea15c2b1,Comune di Teana,tender,garbage,basilicata,"affidamento del servizio di raccolta, trasporto e conferimento rifiuti solidi urbani, e servizio di raccolta,trasporto e smaltimento rifiuti differenziati in discarica autorizzata (carta e cartone,vetro e plastica)",2015-04-09,https://portalebandi.regione.basilicata.it/PortaleBandi/detail-bando-siab.jsp?id=5011&Altri=S&codiceSiab=1&codiceBandoSiab=1&tipoSiab=Avviso,https://siab.regione.basilicata.it/WSScaricaDoc/rest/Documentazione/Avvisi?idAvviso=1&codiceSA=82000550762&numeroDocumento=1,Avviso.pdf,2023-07-08
cadfa4fc61cc1a383266b60b3883d40f,Comune di Tramutola,tender,garbage,basilicata,"mediante procedura aperta per l'affidamento in appalto del servizio di raccolta differenziata dei rifiuti con sistema porta a porta, spazzamento, trasporto e conferimento dei rifiuti urbani - cimiteriali - servizio-disinfestazione- derattizzazione e servizi accessori nel territorio del comune di tramutola e conferimento in discarica.",2019-03-15,https://portalebandi.regione.basilicata.it/PortaleBandi/detail-bando-siab.jsp?id=4595&Altri=S&codiceSiab=3&codiceBandoSiab=3&tipoSiab=Avviso,https://siab.regione.basilicata.it/WSScaricaDoc/rest/Documentazione/Avvisi?idAvviso=3&codiceSA=80007370762&numeroDocumento=1,Avviso.pdf,2023-07-08
e65512a67e3f8767fec9b972c71f46a6,"AMBIENTE E TERRITORIO, INFRASTRUTTURE,  OPERE PUBBLICHE E TRASPORTI",tender,garbage,basilicata,AGGIORNAMENTO ED ADEGUAMENTO DEL PIANO REGIONALE DI GESTIONE DEI RIFIUTI (,2013-08-28,https://portalebandi.regione.basilicata.it/PortaleBandi/detail-bando-altri.jsp?id=5302,https://portalebandi.regione.basilicata.it/PortaleBandi/GenericDownload?allegato=f8dbb9b21eff877de3b72ed8eafb955d,2 bando di gara.pdf,2023-07-08
f25789eab1c7f3c362d1d7efec057f9c,COMUNE DI CASTRONUOVO DI SANT ANDREA,tender,garbage,basilicata,"BANDO DI GARA PER L’APPALTO DEL SERVIZIO DI RACCOLTA, TRASPORTO E CONFERIMENTO RIFIUTI SOLIDI URBANI, E SERVIZIO DI RACCOLTA, TRASPORTO E SMALTIMENTO RIFIUTI DIFFERENZIATI IN DISCARICA AUTORIZZATA (CARTA E CARTONE, VETRO E PLASTICA).",2014-05-29,https://portalebandi.regione.basilicata.it/PortaleBandi/detail-bandoAltri.jsp?id=24303,https://portalebandi.regione.basilicata.it/PortaleBandi/GenericDownload?allegato=903e29d84684b8dccd1c2b6f0aebdb13,BANDO.pdf,2023-07-08
fe9dcf3ec872081581c813ffcc4f7603,DIPARTIMENTO STAZIONE UNICA APPALTANTE DELLA REGIONE BASILICATA (SUA-RB),tender,garbage,basilicata,"Accordo quadro per il servizio di raccolta, trasporto e snaltimento dei rifiuti ospedalieri per le Aziende del S.S.R.",2019-12-24,https://portalebandi.regione.basilicata.it/PortaleBandi/detail-bando-altri.jsp?id=6564,https://portalebandi.regione.basilicata.it/PortaleBandi/GenericDownload?allegato=6c955093922ed0afedbf7c9660eca24f,Bando GURI.pdf,2023-07-08
1efd300c977b2153c3a901880d26b4b4,Regione Basilicata,accreditation,healthcare,basilicata,Manuale di Accreditamento Strutture sanitarie Pubbliche e Private,2005-12-30,https://www.regione.basilicata.it/giunta/site/giunta/department.jsp?dep=100061&area=3043858&level=0,https://www.regione.basilicata.it/giuntacma/files/docs/DOCUMENT_FILE_3043867.pdf,DOCUMENT_FILE_3043867.pdf,2023-07-05
81a8f9698edcc29324e70194d0d9e101,Regione Basilicata,accreditation,healthcare,basilicata,Procedimento Amministrativo Accreditamento Istituzionale,2006-10-19,https://www.regione.basilicata.it/giunta/site/giunta/department.jsp?dep=100061&area=3043858&level=0,https://www.regione.basilicata.it/giuntacma/files/docs/DOCUMENT_FILE_548427.pdf,DOCUMENT_FILE_548427.pdf,2023-07-05
