original_text,document,paragraph_index,simplified_text
"Il presente Disciplinare ha per oggetto l'affidamento in appalto mediante procedura aperta del Servizio di igiene urbana, raccolta e trasporto e smaltimento dei rifiuti solidi urbani con modalità differenziata porta a porta nei Comuni di:
- Acquaviva D'Isernia
- Filignano 
- Forli Del Sannio
- Montenero Valcocchiara
- Pizzone
- Rionero Sannitic",6d52bcc84ee3fa9bfec74bb009537bd2,1,"Questo documento disciplina l'appalto del Servizio di igiene urbana, che include la raccolta, il trasporto e lo smaltimento dei rifiuti solidi urbani con modalità differenziata porta a porta nei seguenti Comuni:
- Acquaviva D'Isernia
- Filignano
- Forli Del Sannio
- Montenero Valcocchiara
- Pizzone
- Rionero Sannitico"
"Affidamento Servizio di igiene urbana, raccolta e trasporto e smaltimento dei Rifiuti Urbani con modalità differenziata domiciliare nel Comune di:
- Acquaviva D'Isernia
- Filignano 
- Forli Del Sannio
- Montenero Valcocchiara
- Pizzone
- Rionero Sannitic",6d52bcc84ee3fa9bfec74bb009537bd2,2,"Servizio di raccolta e smaltimento dei rifiuti urbani con differenziazione domiciliare nei seguenti comuni:
- Acquaviva D'Isernia
- Filignano
- Forli Del Sannio
- Montenero Valcocchiara
- Pizzone
- Rionero Sannitico"
Raccolta differenziata per tutte le utenze commerciali alimentari e nel settore della ristorazione presenti sul territorio comunale;,6d52bcc84ee3fa9bfec74bb009537bd2,3,Raccolta differenziata per i negozi di alimentari e i ristoranti in città.
"Gestione eventuale della raccolta differenziata presso postazioni stradali ad hoc, di adeguata capacità, opportunamente inserite nel contesto urbanistico ed ambientale circostante, senza procurare intralcio al traffico ordinario;",6d52bcc84ee3fa9bfec74bb009537bd2,4,"Organizzazione della raccolta differenziata presso apposite postazioni stradali di dimensioni adeguate, collocate in modo appropriato nell'ambiente urbano circostante, senza causare disagi alla circolazione stradale."
"Raccolta ""dedicata"" di rifiuti urbani ed assimilati agli urbani per almeno le seguenti frazioni di: RAEE (Rifiuti di apparecchiature elettriche ed elettroniche), ingombranti, pile, farmaci, verde, oli vegetali esausti, inerti, abiti usati e trasporto ad impianti autorizzati;",6d52bcc84ee3fa9bfec74bb009537bd2,5,"Raccolta dei seguenti tipi di rifiuti urbani e assimilati: RAEE (Rifiuti di apparecchiature elettriche ed elettroniche), ingombranti, pile, farmaci, verde, oli vegetali esausti, inerti, abiti usati. I rifiuti verranno trasportati presso impianti autorizzati."
"Raccolta dei rifiuti abbandonati nelle aree pubbliche o di pubblica fruizione, in tutto il territorio comunale;",6d52bcc84ee3fa9bfec74bb009537bd2,6,Raccolta dei rifiuti abbandonati nelle aree pubbliche o accessibili al pubblico in tutto il territorio del comune.
"Raccolta dei rifiuti cimiteriali nei civici cimiteri Area ""D""",6d52bcc84ee3fa9bfec74bb009537bd2,7,"Raccolta dei rifiuti nei cimiteri della zona ""D"""
"Trasporto e avvio a recupero delle frazioni raccolte, presso impianti debitamente autorizzati;",6d52bcc84ee3fa9bfec74bb009537bd2,8,Trasporto delle frazioni raccolte e avvio al recupero presso impianti autorizzati.
"Servizio di lavaggio, disinfezione e deodorazione dei contenitori posizionati su suolo pubblico per rifiuti di tutte le tipologie;",6d52bcc84ee3fa9bfec74bb009537bd2,9,"Pulizia, disinfestazione e profumazione dei bidoni dei rifiuti posti in luoghi pubblici."
"distribuzione di sacchi, mastelli e contenitori ed altro materiale (volantini materiali di raccolta), per la raccolta forniti dall'amministrazione proponente in fase di prima attuazione del progetto;",6d52bcc84ee3fa9bfec74bb009537bd2,10,"La distribuzione di sacchi, mastelli, contenitori e altri materiali (come volantini informativi sulla raccolta) sarà gestita dall'amministrazione che propone il progetto durante la sua fase iniziale."
"La durata dell'appalto è di 36 (trentasei) mesi decorrenti dalla data di avvio del servizio. È facoltà dell'Amministrazione, qualora, ai sensi dell'art. 32 comma 13 del D.lgs. 50/2016, ne ricorressero i presupposti, richiedere l'anticipata esecuzione del servizio.",6d52bcc84ee3fa9bfec74bb009537bd2,11,"L'appalto dura 36 mesi a partire dall'inizio del servizio. L'Amministrazione può chiedere l'esecuzione anticipata del servizio, se sussistono i requisiti di legge."
"I sottoelencati mezzi e attrezzature saranno dati in usufrutto all'esecutore del servizio previo sottoscrizione del comodato d'uso, dove sarà indicato le modalità dell'usufrutto, in sintesi saranno posti a carico del concessionario tutte le spese di gestione (bolli e assicurazioni) e manutenzione (ordinaria e straordinaria)",6d52bcc84ee3fa9bfec74bb009537bd2,12,Il concessionario dovrà sottoscrivere un contratto di comodato d'uso per poter utilizzare i seguenti mezzi e attrezzature. Sarà responsabile di tutte le spese di gestione (come bolli e assicurazioni) e di manutenzione (ordinaria e straordinaria). Il contratto indicherà le modalità di utilizzo dei mezzi e attrezzature.
"Iscrizione, per attività rientranti nell'oggetto del contratto, nel registro delle imprese presso la Camera di Commercio, Industria, Agricoltura e Artigianato della Provincia in cui l'impresa ha sede, o, se si tratta di concorrente di altro Stato membro dell'Unione Europea non residente in Italia, iscrizione nel corrispondente registro dello Stato di residenza, ai sensi dell'art. 83, comma 3, del D.lgs. 50/2016.",6d52bcc84ee3fa9bfec74bb009537bd2,13,"Per svolgere attività previste dal contratto, devi iscrivere la tua impresa nel registro delle imprese della Camera di Commercio della Provincia in cui hai la sede. Se sei un concorrente di un altro Stato membro dell'Unione Europea e non risiedi in Italia, devi iscriverti nel registro del tuo Stato di residenza, come stabilito dall'articolo 83, comma 3, del Decreto Legislativo 50/2016."
"Nel caso di Raggruppamenti Temporanei di Imprese, Consorzi ordinari, GEIE, aggregazioni tra le imprese aderenti al contratto di rete, i requisiti di cui ai precedenti punti 8.1) e 8.2), dovranno essere posseduti, a pena di esclusione, da ciascuna impresa componente. Nel caso di soggetti di cui all'art. 45, comma 2, lettere b) e c), del D.lgs. 50/2016, i medesimi requisiti dovranno essere posseduti, a pena di esclusione, dal Consorzio e dal Consorziato incaricato dell'esecuzione dei servizi;",6d52bcc84ee3fa9bfec74bb009537bd2,14,"Nei Raggruppamenti Temporanei di Imprese, nei Consorzi ordinari, nei GEIE e nelle aggregazioni tra le imprese che fanno parte del contratto di rete, ogni impresa deve possedere i requisiti indicati nei punti 8.1) e 8.2) per non essere esclusa. Per quanto riguarda i soggetti di cui all'articolo 45, comma 2, lettere b) e c) del Decreto Legislativo 50/2016, i requisiti devono essere soddisfatti sia dal Consorzio che dal Consorziato responsabile dell'esecuzione dei servizi, altrimenti saranno esclusi."
almeno due idonee dichiarazioni bancarie attestanti la capacità economica e finanziaria del concorrente sotto i profili della solidità finanziaria e della solvibilità in relazione agli impegni scaturenti dal contratto;,6d52bcc84ee3fa9bfec74bb009537bd2,15,Il concorrente deve fornire almeno due dichiarazioni bancarie che dimostrino la sua capacità economica e finanziaria. Queste dichiarazioni devono confermare la solidità finanziaria e la capacità di far fronte agli impegni derivanti dal contratto.
"fatturato minimo annuo, per gli ultimi tre esercizi, pari o superiore al valore stimato del presente appalto ai sensi dell'art. 83, comma 4, lett. a), del D.lgs. 50/2016 al fine di valutare l'effettiva capacità economica e finanziaria dell'operatore economico partecipante alla procedura;",6d52bcc84ee3fa9bfec74bb009537bd2,16,"Per partecipare alla procedura, l'operatore economico deve dimostrare di aver avuto un fatturato annuo minimo, pari o superiore al valore stimato dell'appalto negli ultimi tre anni, come richiesto dall'articolo 83, comma 4, lettera a) del Decreto Legislativo 50 del 2016. Questo serve a valutare la sua effettiva capacità economica e finanziaria."
"il requisito di cui al precedente paragrafo dovrà essere posseduto per almeno il 60% dall'impresa mandataria capogruppo e dalle imprese mandanti per almeno il 20%, fatto salvo che nel suo complesso il concorrente lo dovrà possedere per il 100%; ",6d52bcc84ee3fa9bfec74bb009537bd2,17,"L'impresa mandataria capogruppo e le imprese mandanti devono possedere almeno il 60% del requisito menzionato nel paragrafo precedente, mentre il concorrente nel suo complesso deve possederlo per il 100%, con le imprese mandanti che devono possederne almeno il 20%."
"il requisito di cui al precedente punto deve essere posseduto dal concorrente per il 100%, fermo restando che l'impresa mandataria capogruppo deve possedere almeno una referenza bancaria; Il periodo di attività documentabile per il rispetto dei requisiti di capacità economica e finanziaria di cui al precedente punto, (fatturato minimo annuo, realizzato negli ultimi tre esercizi), è da intendersi riferito agli anni 2013, 2014 e 2015 se già depositato, se ancora non depositato saranno presi in considerazioni gli esercizi riferiti agli anni 2012, 2013 e 2014.",6d52bcc84ee3fa9bfec74bb009537bd2,18,"Il concorrente deve possedere al 100% il requisito menzionato nel punto precedente. Inoltre, l'impresa mandataria capogruppo deve avere almeno una referenza bancaria. Per quanto riguarda il periodo di attività che può essere documentato per soddisfare i requisiti di capacità economica e finanziaria indicati nel punto precedente (fatturato minimo annuo realizzato negli ultimi tre anni), ci si riferisce agli anni 2013, 2014 e 2015 se i documenti sono già stati depositati. Se i documenti non sono ancora stati depositati, saranno presi in considerazione gli esercizi relativi agli anni 2012, 2013 e 2014."
"Avere in corso di esecuzione da non meno di un anno il servizio di raccolta differenziata domiciliare per almeno due comuni aventi popolazione residente, per ciascun comune, pari o superiore ai 2.000 abitanti. Il periodo di attività documentabile per il rispetto del requisito di cui al presente punto 8.4.2 è da intendersi riferito all'anno antecedente la data di pubblicazione del bando. ",6d52bcc84ee3fa9bfec74bb009537bd2,19,Il servizio di raccolta differenziata porta a porta deve essere attivo da almeno un anno in almeno due comuni con una popolazione di almeno 2.000 abitanti ciascuno. Il periodo di attività richiesto si riferisce all'anno precedente la pubblicazione del bando.
Il suddetto requisito deve essere soddisfatto con riferimento a due comuni aventi singolarmente popolazione pari o superiore agli 2.000 abitanti e non può essere soddisfatto con un unico comune di popolazione superiore a 2.000 abitanti.,6d52bcc84ee3fa9bfec74bb009537bd2,20,"Il requisito sopra menzionato richiede che siano presi in considerazione due comuni con una popolazione di almeno 2.000 abitanti ciascuno, escludendo la possibilità di considerare un unico comune con una popolazione superiore a 2.000 abitanti."
"Avere ottenuto almeno il 60% di media annua nei servizi di raccolta differenziata domiciliare in almeno due comuni, non necessariamente coincidenti con quelli di cui al precedente punto 8.4.2, e per il periodo minimo di un anno compreso nel triennio precedente la data di pubblicazione del bando (triennio 2013-2015). La media annua da considerare è quella relativa ad uno degli anni solari precedenti la data di pubblicazione del bando, ossia con riferimento ad almeno uno degli anni solari 2014 - 2015 e 2016. La soglia del 60% è riferita al risultato medio conseguito per ciascun anno del periodo di riferimento considerato e non come media dei risultati ottenuti nel triennio.",6d52bcc84ee3fa9bfec74bb009537bd2,21,"Per partecipare a questo bando, devi aver raggiunto almeno il 60% di raccolta differenziata domiciliare in almeno due comuni diversi per almeno un anno nel periodo tra il 2013 e il 2015. La media annua presa in considerazione deve riguardare uno degli anni precedenti la pubblicazione del bando, quindi uno tra il 2014, il 2015 o il 2016. Il 60% si riferisce al risultato medio di ciascun anno considerato, non alla media dei tre anni."
"I requisiti di capacità tecnica e professionale riportati nel precedente punto 8.4.1 (iscrizione all'Albo Nazionale Gestori Ambientali, ai sensi dell'art. 212 del D. Lgs. 152/2006 per le categorie e classi ivi indicate) devono intendersi come requisiti ""soggettivi"" necessari per assicurare il corretto espletamento del servizio e titolo autorizzatorio al suo esercizio, a norma del D.Lgs. 152/2006 e, pertanto, non sono suscettibili di alcuna forma di sostituzione, né per essi è possibile ricorrere all'avvalimento;",6d52bcc84ee3fa9bfec74bb009537bd2,22,"I requisiti di capacità tecnica e professionale richiesti nel punto precedente 8.4.1 (iscrizione all'Albo Nazionale Gestori Ambientali, come previsto dall'articolo 212 del Decreto Legislativo 152/2006 per le categorie e classi specificate) sono requisiti ""soggettivi"" indispensabili per garantire un corretto svolgimento del servizio e l'autorizzazione all'esercizio, come stabilito dal Decreto Legislativo 152/2006. Questi requisiti non possono essere sostituiti in alcun modo e non è possibile fare appello all'avvalimento per essi."
"I requisiti di capacità tecnica e professionale di cui ai precedenti punti 8.4.2 e 8.4.3 non sono da intendersi suddivisibili in proporzione alle quote di partecipazione nell'RTI e/o nella rete di imprese, non essendo applicabile il principio di corrispondenza tra quote di partecipazione al raggruppamento e quote di qualificazione ed esecuzione.",6d52bcc84ee3fa9bfec74bb009537bd2,23,I requisiti di capacità tecnica e professionale di cui ai punti 8.4.2 e 8.4.3 non possono essere divisi in base alle quote di partecipazione nell'RTI e/o nella rete di imprese. Non si applica il principio che le quote di partecipazione al raggruppamento corrispondano alle quote di qualificazione ed esecuzione.
"ciascuna impresa partecipante ed esecutrice del servizio dovrà necessariamente possedere i requisiti di cui ai precedenti punti 8.4.2 e 8.4.3 per almeno un comune, fatto salvo che nel suo complesso il concorrente li dovrà possedere per il 100%",6d52bcc84ee3fa9bfec74bb009537bd2,24,"Ogni impresa che partecipa ed esegue il servizio deve avere i requisiti indicati nei punti 8.4.2 e 8.4.3 per almeno un comune. Inoltre, nel complesso, il concorrente deve possedere tali requisiti al 100%."
"i requisiti economico - finanziari e tecnico - organizzativi per la partecipazione del consorzio alla gara sono sommati con riferimento ai soli consorziati esecutori. In sede di offerta, dovranno essere indicati il/i servizio/i o loro parti che saranno eseguiti da ciascuna impresa partecipante e la corrispondente percentuale;",6d52bcc84ee3fa9bfec74bb009537bd2,25,"Il consorzio deve sommare i requisiti economico-finanziari e tecnico-organizzativi dei soli consorziati esecutori per partecipare alla gara. Durante la presentazione dell'offerta, ogni impresa partecipante dovrà specificare i servizi o le loro parti che verranno eseguiti, indicando anche la relativa percentuale corrispondente."
"Certificazione di sistema di qualità riferito all'oggetto della procedura conforme alle norme europee della serie UNI EN ISO 9000 e alla vigente normativa nazionale, rilasciata da soggetti accreditati ai sensi delle norme europee della serie UNI CEI EN 45000 e della serie UNI CEI EN ISO/IEC. 17000. Il requisito dovrà essere dichiarato e provato con la produzione di copia del certificato autenticata ai sensi dell'art. 18 del D.P.R. 445/2000;",6d52bcc84ee3fa9bfec74bb009537bd2,26,"Certificato di qualità del sistema relativo all'argomento della procedura conforme alle norme europee UNI EN ISO 9000 e alla normativa nazionale in vigore, rilasciato da enti accreditati secondo le norme europee UNI CEI EN 45000 e UNI CEI EN ISO/IEC 17000. È necessario dichiarare e dimostrare il requisito presentando una copia autenticata del certificato in conformità all'articolo 18 del D.P.R. 445/2000."
"Certificazione di sistema di gestione ambientale riferito all'oggetto della procedura conforme alle norme europee della serie UNI EN ISO 14000 e alla vigente normativa nazionale, rilasciata da soggetti accreditati ai sensi delle norme europee della serie UNI CEI EN 45000 e della serie UNI CEI EN ISO/IEC. 17000. Il requisito dovrà essere dichiarato e provato con la produzione di copia del certificato autenticata ai sensi dell'art. 18 del D.P.R. 445/2000.",6d52bcc84ee3fa9bfec74bb009537bd2,27,"Certificato ambientale conforme alle norme europee UNI EN ISO 14000 e alla normativa nazionale, rilasciato da enti accreditati secondo le norme europee UNI CEI EN 45000 e UNI CEI EN ISO/IEC 17000. Per dimostrare il requisito, è necessario presentare una copia autenticata del certificato, come previsto dall'art. 18 del D.P.R. 445/2000."
"Certificazione di sistema di gestione ambientale riferito all'oggetto della procedura conforme alle norme europee della serie UNI EN ISO 18000 e alla vigente normativa nazionale, rilasciata da soggetti accreditati ai sensi delle norme europee della serie UNI CEI EN 45000 e della serie UNI CEI EN ISO/IEC. 17000. Il requisito dovrà essere dichiarato e provato con la produzione di copia del certificato autenticata ai sensi dell'art. 18 del D.P.R. 445/2000.",6d52bcc84ee3fa9bfec74bb009537bd2,28,"Certificato di gestione ambientale conforme alle norme europee UNI EN ISO 18000 e alla normativa nazionale, rilasciato da enti accreditati secondo le norme europee UNI CEI EN 45000 e UNI CEI EN ISO/IEC 17000. Per dimostrare il requisito, è necessario presentare una copia autenticata del certificato ai sensi dell'art. 18 del D.P.R. 445/2000."
"servizi di raccolta dei rifiuti urbani, prestati negli ultimi tre anni, per una popolazione complessivamente servita nel triennio di almeno 6.000 abitanti residenti;",6d52bcc84ee3fa9bfec74bb009537bd2,29,Servizi di raccolta dei rifiuti urbani offerti nei tre anni precedenti a una popolazione di almeno 6.000 residenti.
