original_text,document,paragraph_index,simplified_text
"Il presente Disciplinare ha per oggetto l'affidamento in appalto mediante procedura aperta del Servizio di igiene urbana, raccolta e trasporto e smaltimento dei rifiuti solidi urbani con modalità differenziata porta a porta nei Comuni di:
- Acquaviva D'Isernia
- Filignano 
- Forli Del Sannio
- Montenero Valcocchiara
- Pizzone
- Rionero Sannitic",6d52bcc84ee3fa9bfec74bb009537bd2,1,"Questo documento regola l'assegnazione del servizio di igiene urbana, che include la raccolta, il trasporto e lo smaltimento dei rifiuti solidi urbani. Il servizio sarà gestito con il sistema di raccolta differenziata porta a porta nei seguenti Comuni:
- Acquaviva D'Isernia
- Filignano
- Forli Del Sannio
- Montenero Valcocchiara
- Pizzone
- Rionero Sannitico

L'assegnazione avverrà tramite una procedura di gara aperta."
"Affidamento Servizio di igiene urbana, raccolta e trasporto e smaltimento dei Rifiuti Urbani con modalità differenziata domiciliare nel Comune di:
- Acquaviva D'Isernia
- Filignano 
- Forli Del Sannio
- Montenero Valcocchiara
- Pizzone
- Rionero Sannitic",6d52bcc84ee3fa9bfec74bb009537bd2,2,"Servizio di raccolta, trasporto e smaltimento dei rifiuti urbani con raccolta differenziata a domicilio nei seguenti comuni:
- Acquaviva D'Isernia
- Filignano
- Forli Del Sannio
- Montenero Valcocchiara
- Pizzone
- Rionero Sannitico"
Raccolta differenziata per tutte le utenze commerciali alimentari e nel settore della ristorazione presenti sul territorio comunale;,6d52bcc84ee3fa9bfec74bb009537bd2,3,Tutte le attività commerciali alimentari e i ristoranti presenti nel territorio comunale devono fare la raccolta differenziata.
"Gestione eventuale della raccolta differenziata presso postazioni stradali ad hoc, di adeguata capacità, opportunamente inserite nel contesto urbanistico ed ambientale circostante, senza procurare intralcio al traffico ordinario;",6d52bcc84ee3fa9bfec74bb009537bd2,4,"Organizzazione della raccolta differenziata in specifici punti stradali, di dimensioni adeguate, che si integrano bene con l'ambiente urbano e non ostacolano il normale traffico."
"Raccolta ""dedicata"" di rifiuti urbani ed assimilati agli urbani per almeno le seguenti frazioni di: RAEE (Rifiuti di apparecchiature elettriche ed elettroniche), ingombranti, pile, farmaci, verde, oli vegetali esausti, inerti, abiti usati e trasporto ad impianti autorizzati;",6d52bcc84ee3fa9bfec74bb009537bd2,5,"Raccolta specifica di rifiuti urbani e simili per le seguenti categorie: apparecchiature elettriche ed elettroniche usate, oggetti ingombranti, pile, farmaci scaduti, rifiuti verdi, oli vegetali usati, materiali inerti, abiti usati. I rifiuti raccolti verranno trasportati a impianti autorizzati."
"Raccolta dei rifiuti abbandonati nelle aree pubbliche o di pubblica fruizione, in tutto il territorio comunale;",6d52bcc84ee3fa9bfec74bb009537bd2,6,Raccolta dei rifiuti lasciati nelle aree pubbliche o accessibili al pubblico in tutto il territorio del comune.
"Raccolta dei rifiuti cimiteriali nei civici cimiteri Area ""D""",6d52bcc84ee3fa9bfec74bb009537bd2,7,"Raccolta dei rifiuti nei cimiteri dell'Area ""D"""
"Trasporto e avvio a recupero delle frazioni raccolte, presso impianti debitamente autorizzati;",6d52bcc84ee3fa9bfec74bb009537bd2,8,Trasportiamo e avviamo al recupero i materiali raccolti presso impianti che hanno le autorizzazioni necessarie.
"Servizio di lavaggio, disinfezione e deodorazione dei contenitori posizionati su suolo pubblico per rifiuti di tutte le tipologie;",6d52bcc84ee3fa9bfec74bb009537bd2,9,"Servizio di pulizia, disinfezione e rimozione degli odori dai contenitori per rifiuti di ogni tipo, situati in aree pubbliche."
"distribuzione di sacchi, mastelli e contenitori ed altro materiale (volantini materiali di raccolta), per la raccolta forniti dall'amministrazione proponente in fase di prima attuazione del progetto;",6d52bcc84ee3fa9bfec74bb009537bd2,10,"L'amministrazione che propone il progetto fornirà sacchi, mastelli, contenitori e altri materiali come volantini informativi, durante la prima fase di attuazione del progetto."
"La durata dell'appalto è di 36 (trentasei) mesi decorrenti dalla data di avvio del servizio. È facoltà dell'Amministrazione, qualora, ai sensi dell'art. 32 comma 13 del D.lgs. 50/2016, ne ricorressero i presupposti, richiedere l'anticipata esecuzione del servizio.",6d52bcc84ee3fa9bfec74bb009537bd2,11,"L'appalto dura 36 mesi e inizia dalla data di avvio del servizio. Se ci sono le condizioni previste dall'articolo 32, comma 13 del Decreto legislativo 50/2016, l'Amministrazione può chiedere di iniziare il servizio prima del previsto."
