original_text,document,paragraph_index,simplified_text
"La realtà, sempre più completa ed articolata, delle pubbliche amministrazioni, se da un lato, consente di offrire servizi diversificati alla cittadinanza, dall'altro si presenta spesso come un mondo di difficile accesso da parte del cittadino.",70da2ae575436d19518deae1ff2125b0,1,"Le pubbliche amministrazioni offrono servizi diversificati ai cittadini, ma spesso risultano di difficile accesso."
"In questo contesto, il principio ispiratore della carta dei servizi, è sicuramente quello di garantire il cittadino, mettendolo in condizione di conoscere ed accedere agevolmente ai pubblici servizi, erogati in un'ottica di trasparenza, imparzialità ed eguaglianza.",70da2ae575436d19518deae1ff2125b0,2,"La carta dei servizi ha come principale obiettivo garantire ai cittadini un accesso facile e trasparente ai servizi pubblici, con un'impostazione basata su trasparenza, imparzialità ed eguaglianza."
"La carta dei servizi rappresenta dunque, lo strumento fondamentale, attraverso il quale, il Corpo di Polizia Municipale del Comune di Firenze, intende far conoscere alla collettività il proprio modo di operare nel rispetto della legislazione vigente in materia di tutela sociale e qualità del servizio svolto.",70da2ae575436d19518deae1ff2125b0,3,La carta dei servizi del Corpo di Polizia Municipale del Comune di Firenze è lo strumento principale per far conoscere alla comunità come il corpo di polizia opera nel rispetto delle leggi sulla tutela sociale e sulla qualità dei servizi offerti.
"Al fine di assicurare la costante corrispondenza fra la carta dei servizi e la realtà dell'organizzazione, il documento viene periodicamente riesaminato ed aggiornato.",70da2ae575436d19518deae1ff2125b0,4,"Per garantire che la carta dei servizi sia sempre in linea con le attività dell'organizzazione, il documento viene regolarmente controllato e aggiornato."
"Il Corpo di Polizia Municipale di Firenze svolge dal 1854 le funzioni di polizia locale nella città. Secondo quanto previsto dalla normativa vigente (Legge 15 marzo 1986 n. 65 e da L.R. 19 febbraio 2020 n.11 Norme in materia di sicurezza urbana integrata e polizia locale). La Polizia Municipale espleta una molteplicità di compiti e funzioni che nel tempo si sono notevolmente ampliate e diversificate al fine di rispondere alle mutevoli esigenze della città e dei cittadini, al fine di garantire la convivenza civile e la tutela dei diritti di ognuno. Infatti, la Polizia Municipale opera per prevenire e reprime le violazioni alle norme contenute in leggi, regolamenti e provvedimenti dello Stato, della Regione e del Comune attraverso le funzioni di polizia stradale, giudiziaria e di pubblica sicurezza; opera altresì in ambito di informazione, notificazione, accertamento e rilevazione connessi alle proprie funzioni istituzionali. Inoltre vigila sulla integrità e conservazione del patrimonio pubblico e presta opera di soccorso alla popolazione e collabora ai servizi e alle operazioni di protezione civile.",70da2ae575436d19518deae1ff2125b0,5,"Il Corpo di Polizia Municipale di Firenze svolge le funzioni di polizia locale nella città dal 1854. Secondo la normativa attuale (Legge 15 marzo 1986 n. 65 e L.R. 19 febbraio 2020 n.11 Norme sulla sicurezza urbana integrata e polizia locale), la Polizia Municipale ha diversi compiti e funzioni che nel tempo sono cresciuti e si sono diversificati per rispondere meglio alle esigenze della città e dei cittadini, garantendo la convivenza civile e la tutela dei diritti di tutti. La Polizia Municipale lavora per prevenire e reprimere le violazioni delle leggi, dei regolamenti e dei provvedimenti dello Stato, della Regione e del Comune, svolgendo compiti di polizia stradale, giudiziaria e di pubblica sicurezza. Si occupa anche di informare, notificare, accertare e rilevare fatti legati ai suoi compiti istituzionali. Inoltre, controlla l'integrità e la conservazione del patrimonio pubblico, fornisce soccorso alla popolazione e collabora con i servizi e le operazioni di protezione civile."
La Direzione Corpo di Polizia Municipale è composta da circa 815 appartenenti al Corpo a cui si aggiungono 95 addetti amministrativi.,70da2ae575436d19518deae1ff2125b0,6,La Direzione del Corpo di Polizia Municipale conta circa 815 agenti di polizia insieme a 95 impiegati amministrativi.
"A presidio del territorio operano nel centro storico i Reparti Zona Centrale, Porta Romana, Fortezza e la Polizia a Cavallo, mentre nelle zone periferiche si trovano i Reparti Campo Marte, Gavinana, Isolotto e Rifredi. A questi si aggiunge l'attività svolta dal Reparto Polizia di Comunità che garantisce una capillare presenza sul territorio a garanzia della sicurezza dei cittadini. Tutto il personale di questi reparti effettua servizio in strada con particolare attenzione ai luoghi di aggregazione, come giardini e piazze ed è dunque a disposizione della cittadinanza per raccogliere le segnalazioni e rispondere alle necessità di presenza e di vicinanza e creare così una rete di contatto fra cittadini e Polizia Municipale quale primo referente con l'Amministrazione Comunale.",70da2ae575436d19518deae1ff2125b0,7,"Nel centro storico, ci sono i Reparti Zona Centrale, Porta Romana, Fortezza e la Polizia a Cavallo che presidiano il territorio. Nelle zone periferiche, invece, si trovano i Reparti Campo Marte, Gavinana, Isolotto e Rifredi. A questi si aggiunge il Reparto Polizia di Comunità che garantisce una presenza diffusa sul territorio per la sicurezza dei cittadini. Il personale di questi reparti svolge servizio per strada, prestando particolare attenzione ai luoghi di ritrovo come giardini e piazze. Sono disponibili per ascoltare le segnalazioni dei cittadini, rispondere alle loro esigenze di presenza e vicinanza, e creare un legame diretto tra i cittadini e la Polizia Municipale, che è il primo punto di contatto con l'Amministrazione Comunale."
"La sicurezza stradale è garantita dall'Area Sicurezza Stradale e Pronto Intervento tramite il reparto operativo Autoreparto e Pronto Intervento che conta anche su personale moto-montato ed è addetto prevalentemente al controllo della viabilità cittadina svolgendo compiti di sicurezza stradale e di pronto intervento, mentre la Sezione Ciclisti opera per favorire la mobilità ciclabile e la vigilanza delle piste ciclabili. Il Reparto Infortunistica Stradale si occupa del rilievo dei sinistri stradali e collabora strettamente con il personale che lavora all'interno e che gestisce lo sviluppo degli incidenti. A quest'ufficio, inoltre, converge tutta l'attività svolta dai reparti in materia di infortunistica stradale, il trattamento dei dati statistici e l'accesso agli atti. Sempre a tutela della sicurezza stradale contribuisce la Sezione Intersettoriale Sicurezza ed Educazione Stradale che svolge l'importante attività di educazione stradale e alla legalità nelle scuole e in occasione di iniziative promosse per divulgare ai bambini e ai ragazzi delle scuole il principio del rispetto delle regole.",70da2ae575436d19518deae1ff2125b0,8,"L'Area Sicurezza Stradale e Pronto Intervento si occupa della sicurezza sulle strade attraverso due reparti operativi: l'Autoreparto e Pronto Intervento, che dispone di personale moto-montato e si occupa principalmente del controllo del traffico in città per garantire la sicurezza stradale e intervenire prontamente in caso di necessità. Inoltre, c'è la Sezione Ciclisti che promuove l'uso della bicicletta e sorveglia le piste ciclabili. Il Reparto Infortunistica Stradale si occupa di documentare gli incidenti stradali e collabora strettamente con il personale responsabile della gestione degli incidenti. Questo reparto coordina tutte le attività legate agli incidenti stradali, alla raccolta dati statistici e all'accesso agli atti. Un ulteriore contributo alla sicurezza stradale è dato dalla Sezione Intersettoriale Sicurezza ed Educazione Stradale, che si impegna nell'educazione alla sicurezza stradale e al rispetto delle regole nelle scuole e in varie iniziative rivolte ai bambini e ai ragazzi."
"L'Area Prevenzione e Polizia Giudiziaria, a cui fanno capo numerosi reparti, si trovano il Reparto Antidegrado che si occupa di contrastare tutti i fenomeni di degrado urbano tra cui l'abusivismo commerciale, lo spaccio delle sostanze stupefacenti e l'antiborseggio; mentre il Reparto Sicurezza Urbana e Patrimonio effettua controlli specifici legati a situazioni di degrado soprattutto nell'ambito del patrimonio comunale. All'interno di questa Area si trovano anche il Reparto Anticrimine e Violenza di Genere che si occupa della prevenzione e dell'accertamento di reati emersi negli ambiti di competenza della Polizia Municipale e gestisce le attività delegate dall'Autorità Giudiziaria; il reparto Antievasione si occupa del contrasto all'evasione dei tributi locali provvedendo anche ad effettuare le segnalazioni qualificate all'Agenzia delle Entrate. A quest'Area fa capo tutta l'attività di polizia giudiziaria che converge alla sezione Atti su delega, dove vengono controllati gli aspetti legati alla correttezza e uniformità degli atti per la successiva trasmissione alla Procura della Repubblica.",70da2ae575436d19518deae1ff2125b0,9,"L'Area Prevenzione e Polizia Giudiziaria comprende diversi reparti. Uno di questi è il Reparto Antidegrado, che si occupa di contrastare il degrado urbano, come l'abusivismo commerciale, lo spaccio di droga e il furto con destrezza. Un altro reparto è il Reparto Sicurezza Urbana e Patrimonio, che effettua controlli legati al degrado, in particolare per quanto riguarda il patrimonio comunale. All'interno di questa Area c'è anche il Reparto Anticrimine e Violenza di Genere, che si occupa di prevenire e accertare reati di competenza della Polizia Municipale e svolge attività per conto dell'Autorità Giudiziaria. Il Reparto Antievasione si occupa di contrastare l'evasione dei tributi locali e segnala le violazioni all'Agenzia delle Entrate. Questa Area coordina l'attività di polizia giudiziaria che viene gestita dalla sezione Atti su delega. Qui vengono controllati gli atti per garantirne correttezza e uniformità prima di trasmetterli alla Procura della Repubblica."
"In ambito specialistico si trova l'Area Nuclei Speciali che con i propri reparti si occupa della tutela dell'ambiente e del territorio con i reparti di Polizia Ambientale e di Polizia Edilizia e della tutela dei consumatori con i reparti Autorizzazioni di Polizia, Mercati rionali e Tutela del Consumatore. Tali reparti operano per controllare il rispetto delle vigenti normative di settore, intervenendo sia d'iniziativa sia in collaborazione con i settori dell'Amministrazione Comunale coinvolti negli ambiti di specifica competenza.",70da2ae575436d19518deae1ff2125b0,10,"Nell'ambito specialistico c'è un'Area Nuclei Speciali che si occupa di proteggere l'ambiente, il territorio e i consumatori. Quest'area comprende i reparti di Polizia Ambientale, Polizia Edilizia, Autorizzazioni di Polizia, Mercati rionali e Tutela del Consumatore. Questi reparti controllano che le leggi vigenti vengano rispettate, intervenendo autonomamente o in collaborazione con i settori dell'Amministrazione Comunale competenti."
