original_text,document,paragraph_index,simplified_text
"La realtà, sempre più completa ed articolata, delle pubbliche amministrazioni, se da un lato, consente di offrire servizi diversificati alla cittadinanza, dall'altro si presenta spesso come un mondo di difficile accesso da parte del cittadino.",70da2ae575436d19518deae1ff2125b0,1,"Le pubbliche amministrazioni sono diventate più complesse e offrono molti servizi diversi ai cittadini. Tuttavia, spesso i cittadini trovano difficile accedere a questi servizi."
"In questo contesto, il principio ispiratore della carta dei servizi, è sicuramente quello di garantire il cittadino, mettendolo in condizione di conoscere ed accedere agevolmente ai pubblici servizi, erogati in un'ottica di trasparenza, imparzialità ed eguaglianza.",70da2ae575436d19518deae1ff2125b0,2,"Il principio fondamentale della carta dei servizi è garantire che i cittadini possano conoscere e accedere facilmente ai servizi pubblici. Questi servizi vengono offerti con trasparenza, imparzialità ed eguaglianza."
"La carta dei servizi rappresenta dunque, lo strumento fondamentale, attraverso il quale, il Corpo di Polizia Municipale del Comune di Firenze, intende far conoscere alla collettività il proprio modo di operare nel rispetto della legislazione vigente in materia di tutela sociale e qualità del servizio svolto.",70da2ae575436d19518deae1ff2125b0,3,"La Carta dei Servizi è lo strumento principale con cui la Polizia Municipale del Comune di Firenze vuole mostrare ai cittadini come lavora, rispettando le leggi attuali sulla protezione sociale e sulla qualità del servizio offerto."
"Al fine di assicurare la costante corrispondenza fra la carta dei servizi e la realtà dell'organizzazione, il documento viene periodicamente riesaminato ed aggiornato.",70da2ae575436d19518deae1ff2125b0,4,"Per garantire che la carta dei servizi rifletta sempre come funziona l'organizzazione, il documento viene regolarmente controllato e aggiornato."
"Il Corpo di Polizia Municipale di Firenze svolge dal 1854 le funzioni di polizia locale nella città. Secondo quanto previsto dalla normativa vigente (Legge 15 marzo 1986 n. 65 e da L.R. 19 febbraio 2020 n.11 Norme in materia di sicurezza urbana integrata e polizia locale). La Polizia Municipale espleta una molteplicità di compiti e funzioni che nel tempo si sono notevolmente ampliate e diversificate al fine di rispondere alle mutevoli esigenze della città e dei cittadini, al fine di garantire la convivenza civile e la tutela dei diritti di ognuno. Infatti, la Polizia Municipale opera per prevenire e reprime le violazioni alle norme contenute in leggi, regolamenti e provvedimenti dello Stato, della Regione e del Comune attraverso le funzioni di polizia stradale, giudiziaria e di pubblica sicurezza; opera altresì in ambito di informazione, notificazione, accertamento e rilevazione connessi alle proprie funzioni istituzionali. Inoltre vigila sulla integrità e conservazione del patrimonio pubblico e presta opera di soccorso alla popolazione e collabora ai servizi e alle operazioni di protezione civile.",70da2ae575436d19518deae1ff2125b0,5,"La Polizia Municipale di Firenze, attiva dal 1854, svolge le funzioni di polizia locale come previsto dalle leggi (Legge 15 marzo 1986 n. 65 e L.R. 19 febbraio 2020 n.11). Questo corpo di polizia ha diversi compiti che sono cresciuti e cambiati nel tempo per meglio rispondere alle esigenze dei cittadini e mantenere l'ordine e la sicurezza. La Polizia Municipale si occupa di prevenire e fermare le violazioni delle leggi, dei regolamenti e delle decisioni del governo locale e nazionale. Le sue attività includono la polizia stradale, giudiziaria e di pubblica sicurezza. Inoltre, si occupa di informare, notificare e verificare in relazione ai suoi compiti ufficiali. Vigila anche sulla protezione dei beni pubblici, aiuta la popolazione in caso di emergenza e collabora con la protezione civile."
La Direzione Corpo di Polizia Municipale è composta da circa 815 appartenenti al Corpo a cui si aggiungono 95 addetti amministrativi.,70da2ae575436d19518deae1ff2125b0,6,Il Corpo di Polizia Municipale è formato da circa 815 membri e lavorano con loro anche 95 addetti amministrativi.
"A presidio del territorio operano nel centro storico i Reparti Zona Centrale, Porta Romana, Fortezza e la Polizia a Cavallo, mentre nelle zone periferiche si trovano i Reparti Campo Marte, Gavinana, Isolotto e Rifredi. A questi si aggiunge l'attività svolta dal Reparto Polizia di Comunità che garantisce una capillare presenza sul territorio a garanzia della sicurezza dei cittadini. Tutto il personale di questi reparti effettua servizio in strada con particolare attenzione ai luoghi di aggregazione, come giardini e piazze ed è dunque a disposizione della cittadinanza per raccogliere le segnalazioni e rispondere alle necessità di presenza e di vicinanza e creare così una rete di contatto fra cittadini e Polizia Municipale quale primo referente con l'Amministrazione Comunale.",70da2ae575436d19518deae1ff2125b0,7,"Nel centro storico lavorano i Reparti Zona Centrale, Porta Romana, Fortezza e la Polizia a Cavallo. Nelle zone periferiche, invece, ci sono i Reparti Campo Marte, Gavinana, Isolotto e Rifredi. Inoltre, il Reparto Polizia di Comunità opera su tutto il territorio per garantire la sicurezza dei cittadini. Tutti i membri di questi reparti lavorano in strada, prestando particolare attenzione ai luoghi di ritrovo come giardini e piazze. Sono disponibili per ascoltare le segnalazioni dei cittadini e rispondere alle loro esigenze di sicurezza e vicinanza. Questo aiuta a creare un collegamento diretto tra i cittadini e la Polizia Municipale, che rappresenta il primo punto di contatto con l'Amministrazione Comunale."
"La sicurezza stradale è garantita dall'Area Sicurezza Stradale e Pronto Intervento tramite il reparto operativo Autoreparto e Pronto Intervento che conta anche su personale moto-montato ed è addetto prevalentemente al controllo della viabilità cittadina svolgendo compiti di sicurezza stradale e di pronto intervento, mentre la Sezione Ciclisti opera per favorire la mobilità ciclabile e la vigilanza delle piste ciclabili. Il Reparto Infortunistica Stradale si occupa del rilievo dei sinistri stradali e collabora strettamente con il personale che lavora all'interno e che gestisce lo sviluppo degli incidenti. A quest'ufficio, inoltre, converge tutta l'attività svolta dai reparti in materia di infortunistica stradale, il trattamento dei dati statistici e l'accesso agli atti. Sempre a tutela della sicurezza stradale contribuisce la Sezione Intersettoriale Sicurezza ed Educazione Stradale che svolge l'importante attività di educazione stradale e alla legalità nelle scuole e in occasione di iniziative promosse per divulgare ai bambini e ai ragazzi delle scuole il principio del rispetto delle regole.",70da2ae575436d19518deae1ff2125b0,8,"L'Area Sicurezza Stradale e Pronto Intervento assicura la sicurezza sulle strade attraverso il reparto Autoreparto e Pronto Intervento. Questo reparto, che include anche personale su moto, si occupa principalmente di controllare il traffico in città e di intervenire rapidamente in caso di necessità. Inoltre, la Sezione Ciclisti lavora per migliorare la mobilità in bicicletta e per vigilare sulle piste ciclabili.

Il Reparto Infortunistica Stradale si dedica alla registrazione degli incidenti stradali e lavora in stretta collaborazione con altri operatori per gestire le situazioni di incidente. Questo ufficio raccoglie anche tutte le informazioni relative agli incidenti stradali, gestisce i dati statistici e permette l'accesso ai documenti relativi.

La Sezione Intersettoriale Sicurezza ed Educazione Stradale gioca un ruolo fondamentale nell'educare alla sicurezza stradale e al rispetto delle leggi. Questa sezione organizza attività educative nelle scuole e durante eventi speciali per insegnare a bambini e ragazzi l'importanza di seguire le regole del traffico."
"L'Area Prevenzione e Polizia Giudiziaria, a cui fanno capo numerosi reparti, si trovano il Reparto Antidegrado che si occupa di contrastare tutti i fenomeni di degrado urbano tra cui l'abusivismo commerciale, lo spaccio delle sostanze stupefacenti e l'antiborseggio; mentre il Reparto Sicurezza Urbana e Patrimonio effettua controlli specifici legati a situazioni di degrado soprattutto nell'ambito del patrimonio comunale. All'interno di questa Area si trovano anche il Reparto Anticrimine e Violenza di Genere che si occupa della prevenzione e dell'accertamento di reati emersi negli ambiti di competenza della Polizia Municipale e gestisce le attività delegate dall'Autorità Giudiziaria; il reparto Antievasione si occupa del contrasto all'evasione dei tributi locali provvedendo anche ad effettuare le segnalazioni qualificate all'Agenzia delle Entrate. A quest'Area fa capo tutta l'attività di polizia giudiziaria che converge alla sezione Atti su delega, dove vengono controllati gli aspetti legati alla correttezza e uniformità degli atti per la successiva trasmissione alla Procura della Repubblica.",70da2ae575436d19518deae1ff2125b0,9,"L'Area Prevenzione e Polizia Giudiziaria comprende diversi reparti con compiti specifici. Il Reparto Antidegrado si occupa di combattere il degrado urbano, inclusi l'abusivismo commerciale, lo spaccio di droga e il furto con destrezza. Il Reparto Sicurezza Urbana e Patrimonio si concentra sui controlli del degrado legati al patrimonio comunale.

Inoltre, all'interno dell'Area, troviamo il Reparto Anticrimine e Violenza di Genere, che previene e verifica i reati nell'ambito di competenza della Polizia Municipale e gestisce le attività assegnate dall'Autorità Giudiziaria. Il reparto Antievasione lotta contro l'evasione dei tributi locali e segnala le irregolarità all'Agenzia delle Entrate.

L'intera attività di polizia giudiziaria dell'Area si riunisce nella sezione Atti su delega, che si assicura che gli atti siano corretti e uniformi prima di inviarli alla Procura della Repubblica."
"In ambito specialistico si trova l'Area Nuclei Speciali che con i propri reparti si occupa della tutela dell'ambiente e del territorio con i reparti di Polizia Ambientale e di Polizia Edilizia e della tutela dei consumatori con i reparti Autorizzazioni di Polizia, Mercati rionali e Tutela del Consumatore. Tali reparti operano per controllare il rispetto delle vigenti normative di settore, intervenendo sia d'iniziativa sia in collaborazione con i settori dell'Amministrazione Comunale coinvolti negli ambiti di specifica competenza.",70da2ae575436d19518deae1ff2125b0,10,"L'Area Nuclei Speciali si occupa di proteggere l'ambiente e il territorio attraverso i reparti di Polizia Ambientale e di Polizia Edilizia. Si occupa anche della protezione dei consumatori con i reparti Autorizzazioni di Polizia, Mercati rionali e Tutela del Consumatore. Questi reparti controllano che le leggi di settore siano rispettate, agendo da soli o in collaborazione con altri settori del Comune che hanno competenze specifiche in questi ambiti."
