document,paragraph_index,original_text,simplified_text,original_text_isssues_detected,simplification_rules_applied,tagging_date,tagging_elapsed_time
70da2ae575436d19518deae1ff2125b0,1,"La realtà, sempre più completa ed articolata, delle pubbliche amministrazioni, se da un lato, consente di offrire servizi diversificati alla cittadinanza, dall'altro si presenta spesso come un mondo di difficile accesso da parte del cittadino.",La complessità delle pubbliche amministrazioni consente di offrire servizi diversificati alla cittadinanza. Tuttavia le pubbliche amministrazioni sono spesso difficilmente accessibili al cittadino.,,,2024-03-29T20:12:59.887019,141.0
70da2ae575436d19518deae1ff2125b0,2,"In questo contesto, il principio ispiratore della carta dei servizi, è sicuramente quello di garantire il cittadino, mettendolo in condizione di conoscere ed accedere agevolmente ai pubblici servizi, erogati in un'ottica di trasparenza, imparzialità ed eguaglianza.","La carta dei servizi intende garantire il cittadino, facendogli conoscere agevolmente i pubblici servizi erogati. Promuove quindi trasparenza, imparzialità ed eguaglianza.",,,2024-03-29T20:14:53.075206,111.0
70da2ae575436d19518deae1ff2125b0,3,"La carta dei servizi rappresenta dunque, lo strumento fondamentale, attraverso il quale, il Corpo di Polizia Municipale del Comune di Firenze, intende far conoscere alla collettività il proprio modo di operare nel rispetto della legislazione vigente in materia di tutela sociale e qualità del servizio svolto.",La carta dei servizi rappresenta dunque uno strumento fondamentale. Con la carta il Corpo di Polizia Municipale del Comune di Firenze fa conoscere alla collettività il proprio modo di operare nel rispetto delle leggi attuali sulla tutela sociale e la qualità del servizio svolto.,,,2024-03-29T20:16:27.531279,92.0
70da2ae575436d19518deae1ff2125b0,4,"Al fine di assicurare la costante corrispondenza fra la carta dei servizi e la realtà dell'organizzazione, il documento viene periodicamente riesaminato ed aggiornato.","Per assicurare la costante corrispondenza fra la carta dei servizi e l'organizzazione, il documento viene periodicamente riesaminato ed aggiornato.",,,2024-03-29T20:17:29.590808,60.0
70da2ae575436d19518deae1ff2125b0,5,"Il Corpo di Polizia Municipale di Firenze svolge dal 1854 le funzioni di polizia locale nella città. Secondo quanto previsto dalla normativa vigente (Legge 15 marzo 1986 n. 65 e da L.R. 19 febbraio 2020 n.11 Norme in materia di sicurezza urbana integrata e polizia locale). La Polizia Municipale espleta una molteplicità di compiti e funzioni che nel tempo si sono notevolmente ampliate e diversificate al fine di rispondere alle mutevoli esigenze della città e dei cittadini, al fine di garantire la convivenza civile e la tutela dei diritti di ognuno. Infatti, la Polizia Municipale opera per prevenire e reprime le violazioni alle norme contenute in leggi, regolamenti e provvedimenti dello Stato, della Regione e del Comune attraverso le funzioni di polizia stradale, giudiziaria e di pubblica sicurezza; opera altresì in ambito di informazione, notificazione, accertamento e rilevazione connessi alle proprie funzioni istituzionali. Inoltre vigila sulla integrità e conservazione del patrimonio pubblico e presta opera di soccorso alla popolazione e collabora ai servizi e alle operazioni di protezione civile.","Il Corpo di Polizia Municipale di Firenze svolge dal 1854 le funzioni di polizia locale nella città. Secondo quanto previsto dalle leggi attuali (Legge 15 marzo 1986 n. 65 e da L.R. 19 febbraio 2020 n.11 Norme sulla sicurezza urbana integrata e polizia locale), la Polizia Municipale ha molti compiti e funzioni. Nel tempo questi compiti si sono molto ampliati per rispondere alle nuove esigenze della città e dei cittadini, per garantire la convivenza civile e la tutela dei diritti di ognuno. Infatti, la Polizia Municipale previene e reprime le violazioni alle norme contenute in leggi, regolamenti e provvedimenti dello Stato, della Regione e del Comune. Questa opera di prevenzione e repressione prevede le funzioni di polizia stradale, giudiziaria e di pubblica sicurezza. Il Corpo di Polizia Municipale opera inoltre in ambito di informazione, notificazione, accertamento e rilevazione connessi alle proprie funzioni istituzionali. Inoltre vigila sulla integrità e conservazione del patrimonio pubblico e soccorre la popolazione e collabora ai servizi e alle operazioni di protezione civile.",,,2024-03-29T20:24:50.924950,431.0
70da2ae575436d19518deae1ff2125b0,6,La Direzione Corpo di Polizia Municipale è composta da circa 815 appartenenti al Corpo a cui si aggiungono 95 addetti amministrativi.,La Direzione Corpo di Polizia Municipale è composta da circa 815 appartenenti al Corpo. Ci sono anche 95 addetti amministrativi.,,,2024-03-29T20:25:17.959978,25.0
70da2ae575436d19518deae1ff2125b0,7,"A presidio del territorio operano nel centro storico i Reparti Zona Centrale, Porta Romana, Fortezza e la Polizia a Cavallo, mentre nelle zone periferiche si trovano i Reparti Campo Marte, Gavinana, Isolotto e Rifredi. A questi si aggiunge l'attività svolta dal Reparto Polizia di Comunità che garantisce una capillare presenza sul territorio a garanzia della sicurezza dei cittadini. Tutto il personale di questi reparti effettua servizio in strada con particolare attenzione ai luoghi di aggregazione, come giardini e piazze ed è dunque a disposizione della cittadinanza per raccogliere le segnalazioni e rispondere alle necessità di presenza e di vicinanza e creare così una rete di contatto fra cittadini e Polizia Municipale quale primo referente con l'Amministrazione Comunale.","I Reparti Zona Centrale, Porta Romana, Fortezza e la Polizia a Cavallo operano nel centro storico. Nelle zone periferiche si trovano i Reparti Campo Marte, Gavinana, Isolotto e Rifredi. A questi si aggiunge l'attività svolta dal Reparto Polizia di Comunità. Il Reparto Polizia di Comunità garantisce una presenza diffusa sul territorio per garantire la sicurezza dei cittadini. Tutto il personale di questi reparti fa un servizio in strada. Dedica particolare attenzione ai luoghi di aggregazione, come giardini e piazze. Si mette a disposizione della cittadinanza per raccogliere le segnalazioni e per rispondere alle necessità di presenza e di vicinanza. Crea così un contatto fra cittadini e Polizia Municipale che è il primo referente con l'Amministrazione Comunale.",,,2024-03-29T20:30:50.802141,327.0
70da2ae575436d19518deae1ff2125b0,8,"La sicurezza stradale è garantita dall'Area Sicurezza Stradale e Pronto Intervento tramite il reparto operativo Autoreparto e Pronto Intervento che conta anche su personale moto-montato ed è addetto prevalentemente al controllo della viabilità cittadina svolgendo compiti di sicurezza stradale e di pronto intervento, mentre la Sezione Ciclisti opera per favorire la mobilità ciclabile e la vigilanza delle piste ciclabili. Il Reparto Infortunistica Stradale si occupa del rilievo dei sinistri stradali e collabora strettamente con il personale che lavora all'interno e che gestisce lo sviluppo degli incidenti. A quest'ufficio, inoltre, converge tutta l'attività svolta dai reparti in materia di infortunistica stradale, il trattamento dei dati statistici e l'accesso agli atti. Sempre a tutela della sicurezza stradale contribuisce la Sezione Intersettoriale Sicurezza ed Educazione Stradale che svolge l'importante attività di educazione stradale e alla legalità nelle scuole e in occasione di iniziative promosse per divulgare ai bambini e ai ragazzi delle scuole il principio del rispetto delle regole.","L'Area Sicurezza Stradale e Pronto Intervento garantisce la sicurezza stradale. Per questo impiega il reparto operativo Autoreparto e Pronto Intervento che conta anche su personale moto-montato. Questo reparto prevalentemente acontrolla la viabilità cittadina e svolge compiti di sicurezza stradale e di pronto intervento. La Sezione Ciclisti favorisce la mobilità delle biciclette e la vigilanza delle piste ciclabili. Il Reparto Infortunistica Stradale si occupa degli incidenti stradali e collabora strettamente con il personale che lavora all'interno e che gestisce le pratiche degli incidenti. Quest'ufficio, inoltre, si occupa di tutta l'attività sugli infortuni stradali. Tratta tutti i dati statistici e l'accesso agli atti. Anche la Sezione Intersettoriale Sicurezza ed Educazione Stradale tutela la sicurezza sulle strade. Pertanto svolge l'importante attività di educazione stradale e alla legalità nelle scuole. Promuove anche iniziative per divulgare ai bambini e ai ragazzi delle scuole il principio del rispetto delle regole.",frasi lunghe | stile nominale | passivo,spezzare le frasi | sostituzione con verbi | sostituzione con attivo,2024-03-29T20:49:46.328155,880.0
70da2ae575436d19518deae1ff2125b0,9,"L'Area Prevenzione e Polizia Giudiziaria, a cui fanno capo numerosi reparti, si trovano il Reparto Antidegrado che si occupa di contrastare tutti i fenomeni di degrado urbano tra cui l'abusivismo commerciale, lo spaccio delle sostanze stupefacenti e l'antiborseggio; mentre il Reparto Sicurezza Urbana e Patrimonio effettua controlli specifici legati a situazioni di degrado soprattutto nell'ambito del patrimonio comunale. All'interno di questa Area si trovano anche il Reparto Anticrimine e Violenza di Genere che si occupa della prevenzione e dell'accertamento di reati emersi negli ambiti di competenza della Polizia Municipale e gestisce le attività delegate dall'Autorità Giudiziaria; il reparto Antievasione si occupa del contrasto all'evasione dei tributi locali provvedendo anche ad effettuare le segnalazioni qualificate all'Agenzia delle Entrate. A quest'Area fa capo tutta l'attività di polizia giudiziaria che converge alla sezione Atti su delega, dove vengono controllati gli aspetti legati alla correttezza e uniformità degli atti per la successiva trasmissione alla Procura della Repubblica.","L'Area Prevenzione e Polizia Giudiziaria è fatta di molti reparti. Tra questi ci sono 
il Reparto Antidegrado che contrasta tutti i fenomeni di degrado urbano tra cui l'abusivismo commerciale, lo spaccio delle sostanze stupefacenti e l'antiborseggio; 
il Reparto Sicurezza Urbana e Patrimonio che controlla le situazioni di degrado soprattutto nell'ambito del patrimonio comunale;
il Reparto Anticrimine e Violenza di Genere che previene e accerta i reati emersi negli ambiti della Polizia Municipale e gestisce le attività delegate dall'Autorità Giudiziaria; 
il Reparto Antievasione che contrasta l'evasione dei tributi locali e fa le segnalazioni qualificate all'Agenzia delle Entrate. 

Quest'Area comprende tutta l'attività di polizia giudiziaria che converge alla sezione Atti su delega. In questa sezione vengono controllati gli aspetti legati alla correttezza e uniformità degli atti per il successivo invio alla Procura della Repubblica.",,,2024-03-29T20:58:21.976209,298.0
70da2ae575436d19518deae1ff2125b0,10,"In ambito specialistico si trova l'Area Nuclei Speciali che con i propri reparti si occupa della tutela dell'ambiente e del territorio con i reparti di Polizia Ambientale e di Polizia Edilizia e della tutela dei consumatori con i reparti Autorizzazioni di Polizia, Mercati rionali e Tutela del Consumatore. Tali reparti operano per controllare il rispetto delle vigenti normative di settore, intervenendo sia d'iniziativa sia in collaborazione con i settori dell'Amministrazione Comunale coinvolti negli ambiti di specifica competenza.","L'Area Nuclei Speciali è un gruppo specialistico e si occupa della tutela dell'ambiente e del territorio con i reparti di Polizia Ambientale e di Polizia Edilizia. Si occupa della tutela dei consumatori con i reparti Autorizzazioni di Polizia, Mercati rionali e Tutela del Consumatore. Questi reparti controllano il rispetto delle leggi di settore, e intervengono sia d'iniziativa sia in collaborazione con i settori dell'Amministrazione Comunale coinvolti negli propri ambiti di competenza.",frasi lunghe,spezzare frasi,2024-03-29T21:12:37.801474,225.0
