original_text,document,paragraph_index,simplified_text
"L'obiettivo primario del Servizio è la diffusione e il rispetto delle norme che regolano la convivenza civile sul territorio comunale. In particolare il servizio svolto si propone alla cittadinanza per meglio far conoscere i servizi offerti e per un migliore orientamento nel territorio (informazione su dislocazione di servizi di pubblica utilità, parcheggi, toponomastica vie, ecc.).",aae5c6f0c213946d265cb98c08106c0b,1,"L'obiettivo principale del Servizio è diffondere e far rispettare le regole per una buona convivenza civile nel territorio comunale. Il servizio aiuta i cittadini a conoscere meglio i servizi disponibili e a orientarsi nel territorio. Fornisce informazioni sulla posizione di servizi pubblici essenziali, parcheggi, nomi delle strade e altro."
"I Servizi di Polizia Locale Reparto Operativo del Comune svolgono la propria attività a favore del rispetto delle regole di convivenza nella città di Rovigo, basandosi su alcuni principi fondamentali, enunciati di seguito al punto 9) ed attuati sempre con spirito di servizio. ",aae5c6f0c213946d265cb98c08106c0b,2,"Il Reparto Operativo della Polizia Locale del Comune di Rovigo lavora per garantire che le regole di convivenza nella città siano rispettate. Questa attività si basa su alcuni principi fondamentali, descritti nel punto 9), e viene sempre svolta con spirito di servizio."
"L'operatore di Polizia Locale, quindi, rappresenta un importante punto di riferimento per la collettività. Nell'ambito delle sue funzioni, esso svolge i propri compiti in maniera autorevole, dando prova di preparazione professionale e sensibilità nel contatto relazionale. La sua attività, inoltre, è caratterizzata dal costante sforzo teso alla migliore interpretazione delle situazioni e delle problematiche incontrate, applicando un approccio educativo e orientato alla più adeguata risposta ai bisogni della cittadinanza. ",aae5c6f0c213946d265cb98c08106c0b,3,"L'operatore di Polizia Locale è un punto di riferimento importante per la comunità. Svolge i suoi compiti con autorità, mostrando competenza professionale e sensibilità nelle relazioni. Inoltre, lavora sempre per capire al meglio le situazioni e i problemi che incontra, usando un approccio educativo per rispondere adeguatamente ai bisogni dei cittadini."
"Le modalità di azione e di intervento partono dall'ascolto dei bisogni del cittadino, al fine di individuare soluzioni adeguate e orientate al benessere comune, per una migliore fruizione dei servizi e delle possibilità d'uso della città.",aae5c6f0c213946d265cb98c08106c0b,4,"Per migliorare i servizi e rendere la città più fruibile, iniziamo ascoltando i bisogni dei cittadini. Così facendo, possiamo trovare soluzioni che migliorino il benessere di tutti."
"Il Servizio di Polizia Locale Reparto Operativo agisce al fine di garantire l'ordinato svolgimento delle seguenti attività: controllo della mobilità e sicurezza stradale; tutela della vivibilità e della qualità urbana, nonché salvaguardia della sicurezza sociale.",aae5c6f0c213946d265cb98c08106c0b,5,Il Reparto Operativo della Polizia Locale lavora per assicurare che le seguenti attività si svolgano in modo ordinato: controllo del traffico e della sicurezza sulle strade; protezione della qualità della vita e dell'ambiente urbano; difesa della sicurezza sociale.
"attività di controllo esercitata sugli utenti della strada, volta a prevenire e reprimere i comportamenti che creano pericolo per la sicurezza e l'incolumità dei cittadini sulle strade, o che ledono il diritto alla mobilità; ",aae5c6f0c213946d265cb98c08106c0b,6,Le forze dell'ordine controllano gli utenti della strada per prevenire e fermare comportamenti pericolosi che possono mettere a rischio la sicurezza e l'incolumità dei cittadini o violare il diritto di muoversi liberamente.
azioni di regolamentazione e sostegno finalizzate ad un più fluido scorrimento della viabilità locale.,aae5c6f0c213946d265cb98c08106c0b,7,"Azioni per regolare e sostenere il traffico, rendendo più fluido il movimento nelle strade locali."
"Le priorità di intervento sono sviluppate attraverso azioni mirate a far rispettare il Codice della Strada (eccesso di velocità, transito con il semaforo rosso, rispetto dell'uso del casco, divieto di uso del telefono cellulare nei casi previsti, obbligo di cinture di sicurezza, ecc.), in accordo con le strategie dell'Amministrazione Comunale, e rifacendosi inoltre alle analisi dei fenomeni propri della mobilità locale ed ai dati relativi alle componenti di rischio per gli utenti della strada. Tali campagne vengono promosse e supportate da azioni di informazione continua: l'educazione stradale scolastica ne rappresenta un momento fondamentale, incidendo sulla formazione delle fasce giovanili della popolazione.",aae5c6f0c213946d265cb98c08106c0b,8,"Le azioni principali per migliorare la sicurezza stradale includono il rispetto del Codice della Strada. Questo significa controllare che non si superi il limite di velocità, che non si passi con il semaforo rosso, che si usi sempre il casco, che non si usi il telefono cellulare alla guida se non permesso e che si allaccino le cinture di sicurezza. Queste azioni sono in linea con le strategie del Comune e si basano sull'analisi del traffico locale e sui dati dei rischi per chi usa la strada. Supportiamo queste campagne con informazioni continue e con l'educazione stradale nelle scuole, che è essenziale per insegnare ai giovani l'importanza della sicurezza stradale."
"Comprende le attività operative specifiche per la promozione di un sistema integrato di sicurezza in base alle direttive impartite dalla Prefettura. In tal senso la Polizia Locale opera d'iniziativa ed anche in collaborazione con altre forze di Polizia, con altri settori della Amministrazione Comunale e con le istituzioni locali preposte alle problematiche sociali che possono incidere sul territorio in termini di sicurezza e vivibilità. Le specifiche azioni intraprese sono finalizzate a monitorare e contrastare la microcriminalità e fenomeni di disagio urbano, quali ad esempio lo spaccio di sostanze stupefacenti, gli edifici occupati abusivamente, e così via. La Polizia Locale si impegna inoltre, con tutte le risorse presenti sul territorio e attraverso gli agenti di quartiere, a prevenire e controllare fenomeni di disturbo della quiete pubblica, nonché ad intervenire in situazioni di conflitto o che comportino problemi alla convivenza dei cittadini.",aae5c6f0c213946d265cb98c08106c0b,9,"La Polizia Locale lavora per promuovere un sistema di sicurezza integrato, seguendo le direttive della Prefettura. Questa attività viene svolta sia autonomamente sia in collaborazione con altre forze di polizia, con altri settori del Comune e con le istituzioni locali che si occupano di problemi sociali che influenzano la sicurezza e la qualità della vita nel territorio. Le azioni della Polizia Locale mirano a controllare e combattere la piccola criminalità e i problemi di disagio urbano, come lo spaccio di droga e l'occupazione abusiva di edifici. Inoltre, la Polizia Locale utilizza tutte le risorse disponibili e gli agenti di quartiere per prevenire e gestire i disturbi alla quiete pubblica e intervenire in situazioni di conflitto o che possono creare problemi di convivenza tra i cittadini."
"Cittadini residenti e non residenti che usufruiscono dei servizi della Polizia Locale, con le modalità illustrate al punto precedente.",aae5c6f0c213946d265cb98c08106c0b,10,"I cittadini, sia residenti che non residenti, che usano i servizi della Polizia Locale devono seguire le modalità spiegate nel punto precedente."
L'Ufficio Cassa è aperto negli stessi giorni dalle ore 08.30 alle ore 12.30.,aae5c6f0c213946d265cb98c08106c0b,11,L'Ufficio Cassa è aperto tutti i giorni dalle 08:30 alle 12:30.
"Mediante libero accesso agli uffici negli orari di apertura al pubblico si effettuano le seguenti prestazioni: 
- Informazioni generali; 
- Informazioni e chiarimenti relativi ad eventuali preavvisi di contravvenzione; 
- Ritiro e consegna atti",aae5c6f0c213946d265cb98c08106c0b,12,"Durante gli orari di apertura, potete venire negli uffici per ricevere i seguenti servizi:
- Informazioni generali;
- Spiegazioni su possibili avvisi di multa;
- Ritiro e consegna di documenti."
"È possibile ricevere informazioni mediante appuntamento, che può essere richiesto e fissato anche telefonicamente ai seguenti numeri",aae5c6f0c213946d265cb98c08106c0b,13,Puoi richiedere un appuntamento e fissarlo chiamando i seguenti numeri.
"I destinatari del servizio possono esercitare il loro diritto, nell'ambito del processo di erogazione del servizio, a partecipare al miglioramento dei procedimenti in termini di semplificazione, trasparenza, efficienza ed efficacia.",aae5c6f0c213946d265cb98c08106c0b,14,"I destinatari del servizio hanno il diritto di partecipare al miglioramento del servizio stesso. Possono contribuire a rendere i procedimenti più semplici, trasparenti, efficienti ed efficaci."
"I destinatari del servizio possono esercitare il loro diritto, nell'ambito del processo di erogazione del servizio, a partecipare all'istruttoria del procedimento di interesse, esercitando i diritti.",aae5c6f0c213946d265cb98c08106c0b,15,I destinatari del servizio hanno il diritto di partecipare all'istruttoria del procedimento che li riguarda durante il processo di erogazione del servizio.
Nell'esercizio di tali diritti l'utente riceve l'assistenza del responsabile del procedimento o dell'istruttore incaricato.,aae5c6f0c213946d265cb98c08106c0b,16,"Quando l'utente esercita questi diritti, il responsabile del procedimento o l'istruttore incaricato lo assiste."
"L'erogazione del servizio avviene di norma con continuità, regolarità e senza interruzioni nei giorni e negli orari stabiliti al punto 6. ",aae5c6f0c213946d265cb98c08106c0b,17,"Il servizio viene fornito in modo continuo e regolare, senza interruzioni, nei giorni e negli orari indicati al punto 6."
"Eventuali interruzioni nell'erogazione del servizio, dovute a cause di forza maggiore o eventualmente programmate, saranno tempestivamente comunicate all'utenza, unitamente alla motivazione dell'interruzione, di norma nei seguenti modi: 
- con affissioni di cartelli agli ingressi degli uffici; 
- pubblicate sul sito Internet del Comune nella pagina ""Polizia Locale"", all'interno della ""Guida ai servizi comunali""",aae5c6f0c213946d265cb98c08106c0b,18,"Se il servizio viene interrotto per cause di forza maggiore o per interruzioni programmate, informeremo subito gli utenti. Le informazioni su perché il servizio è stato interrotto saranno comunicate così:
- Mettendo cartelli agli ingressi degli uffici;
- Pubblicando le informazioni sulla pagina ""Polizia Locale"" del sito Internet del Comune, nella sezione ""Guida ai servizi comunali""."
"I Servizi di Polizia Locale Reparto Operativo improntano la propria azione organizzativa e di erogazione delle prestazioni ai principi di efficienza ed efficacia, specificando che:
- per efficienza si intende la fornitura di prestazioni e servizi al massimo livello quantitativo e qualitativo rispetto alle risorse a disposizione ed ai programmi stabiliti;
- per efficacia si intende la fornitura di prestazioni e servizi al massimo livello quantitativo e qualitativo rispetto ai bisogni ed alle necessità degli utenti, ricercando la soddisfazione degli stessi",aae5c6f0c213946d265cb98c08106c0b,19,"Il Reparto Operativo della Polizia Locale lavora seguendo due principi fondamentali: efficienza ed efficacia. Questo significa che:
- L'efficienza è la capacità di offrire servizi e prestazioni di alta qualità, utilizzando al meglio le risorse disponibili e rispettando i programmi previsti.
- L'efficacia è la capacità di rispondere completamente ai bisogni degli utenti, mirando alla loro totale soddisfazione attraverso servizi e prestazioni di alta qualità."
"Gli operatori dei Servizi di Polizia Locale Reparto Operativo ispirano i loro comportamenti nei confronti degli utenti a criteri di obiettività, giustizia ed imparzialità.",aae5c6f0c213946d265cb98c08106c0b,20,"Gli operatori del Reparto Operativo della Polizia Locale agiscono sempre in modo obiettivo, giusto e imparziale nei confronti dei cittadini."
"I responsabili del Reparto Operativo si impegnano a far sì che il comportamento dei propri collaboratori sia ispirato a presupposti di gentilezza, cortesia e disponibilità nei rapporti con gli utenti, auspicando che l'atteggiamento di questi ultimi sia improntato ad un criterio di proficua collaborazione, tale da agevolare in ogni occasione la corretta erogazione del servizio. ",aae5c6f0c213946d265cb98c08106c0b,21,"I responsabili del Reparto Operativo si impegnano a garantire che i loro collaboratori siano sempre gentili, cortesi e disponibili con gli utenti. Sperano che anche gli utenti collaborino attivamente, per facilitare la corretta erogazione del servizio in ogni occasione."
I responsabili del Reparto Operativo si impegnano inoltre a favorire l'applicazione di tali elementi relazionali nei confronti degli utenti anche attraverso opportune e specifiche azioni formative dirette agli operatori di ogni ordine e grado.,aae5c6f0c213946d265cb98c08106c0b,22,"I responsabili del Reparto Operativo si impegnano a promuovere l'uso di questi elementi relazionali con gli utenti. Faranno ciò anche organizzando corsi di formazione specifici per tutti gli operatori, a prescindere dal loro ruolo."
"Gli operatori del servizio si impegnano, nei rapporti con gli utenti, ad utilizzare in ogni occasione di comunicazione, sia verbale che scritta, un linguaggio semplificato e comprensibile ai destinatari, ponendo particolare cura alla spiegazione dei termini tecnico/giuridici. ",aae5c6f0c213946d265cb98c08106c0b,23,"Gli operatori del servizio si impegnano a usare un linguaggio semplice e chiaro in ogni comunicazione con gli utenti, sia parlata che scritta. Si prenderanno cura di spiegare bene i termini tecnici e giuridici."
"Gli stessi operatori, in orario di servizio, garantiscono all'utenza la loro agevole identificabilità attraverso l'esposizione di una placca indicante con caratteri ben leggibili il loro rispettivo numero di matricola.",aae5c6f0c213946d265cb98c08106c0b,24,"Durante l'orario di lavoro, gli operatori rendono facile riconoscerli mostrando chiaramente un cartellino con il loro numero di matricola."
"Allo scopo di favorire il rapido decorso delle pratiche che presuppongono l'intervento di più reparti, appartenenti anche a Settori diversi, i Servizi di Polizia Locale Reparto Operativo promuovono la costituzione di un Tavolo di Coordinamento intersettoriale, con riunioni periodiche e programmate, allo scopo di costituire un dispositivo destinato a meglio coordinare l'attività tra uffici, in linea con quanto affermato al punto 9.c.",aae5c6f0c213946d265cb98c08106c0b,25,"Per velocizzare il lavoro su pratiche che richiedono la collaborazione di diversi reparti e settori, il Servizio di Polizia Locale Reparto Operativo ha deciso di creare un Tavolo di Coordinamento intersettoriale. Questo gruppo si riunirà regolarmente per organizzare meglio il lavoro tra gli uffici, seguendo le indicazioni del punto 9.c."
I Servizi di Polizia Locale Reparto Operativo adottano gli strumenti utili ad assicurare la piena informazione degli utenti circa le modalità di prestazione dei servizi.,aae5c6f0c213946d265cb98c08106c0b,26,Il Reparto Operativo della Polizia Locale usa strumenti che permettono di informare completamente gli utenti su come vengono erogati i servizi.
"forniscono, tramite gli operatori, tutte le informazioni verbali per il soddisfacimento delle richieste degli utenti; ",aae5c6f0c213946d265cb98c08106c0b,27,Gli operatori danno tutte le informazioni necessarie per rispondere alle richieste degli utenti.
"garantiscono, per ogni procedimento elencato più avanti al punto 11 della presente Carta di Servizio, che gli atti notificati agli utenti contengono le necessarie indicazioni per l'inoltro di eventuali ricorsi. In tale prospettiva, garantiscono altresì che ogni riferimento di legge sarà seguito dalla riproduzione dello stralcio della norma pertinente ovvero dal suo Titolo, allo scopo di ottenere il massimo di chiarezza e comprensibilità; ",aae5c6f0c213946d265cb98c08106c0b,28,"Per ogni procedimento descritto al punto 11 di questa Carta di Servizio, assicuriamo che gli atti notificati agli utenti includano tutte le informazioni necessarie per presentare eventuali ricorsi. Inoltre, garantiamo che ogni riferimento legale sarà accompagnato dal testo specifico della norma o dal suo titolo, per garantire la massima chiarezza e comprensibilità."
"forniscono informazioni agli utenti sui loro diritti di partecipazione, accesso e trasparenza sulla situazione di una pratica, in particolare comunicando esplicitamente e tempestivamente agli interessati: 
- il nominativo del responsabile del procedimento e dell'operatore che materialmente segue la pratica; 
- il termine previsto dalla legge per la chiusura del procedimento;",aae5c6f0c213946d265cb98c08106c0b,29,"Le istituzioni informano gli utenti sui loro diritti di partecipazione, accesso e trasparenza riguardo lo stato di una pratica. In particolare, comunicano chiaramente e rapidamente agli interessati:
- il nome del responsabile del procedimento e della persona che gestisce la pratica;
- il tempo massimo previsto dalla legge per concludere il procedimento."
